100 games AlphaBeta4 against Roxanne for AlphaBeta4: black and Roxanne: white.
"In first two columns winner gets 1 looser 0"

AlphaBeta4_Winning,Roxanne_Winning,Discs_AlphaBeta4,Discs_Roxanne
1,0, 51, 13 
1,0, 63, 1 
1,0, 48, 16 
1,0, 49, 0 
1,0, 49, 15 
1,0, 42, 22 
1,0, 48, 16 
1,0, 51, 13 
1,0, 53, 11 
1,0, 52, 12 
1,0, 61, 0 
0,1, 27, 37 
1,0, 34, 30 
1,0, 46, 18 
1,0, 54, 10 
1,0, 58, 2 
1,0, 49, 15 
1,0, 17, 0 
1,0, 40, 24 
1,0, 41, 23 
1,0, 53, 11 
1,0, 46, 18 
1,0, 38, 26 
1,0, 47, 17 
1,0, 56, 8 
1,0, 55, 9 
1,0, 53, 11 
1,0, 53, 2 
0,0, 32, 32 
1,0, 42, 22 
1,0, 58, 3 
1,0, 52, 12 
1,0, 55, 9 
1,0, 40, 24 
1,0, 51, 1 
1,0, 53, 0 
1,0, 54, 10 
1,0, 41, 23 
1,0, 55, 9 
1,0, 46, 18 
1,0, 54, 0 
1,0, 49, 15 
1,0, 40, 24 
1,0, 61, 2 
1,0, 47, 17 
1,0, 51, 13 
1,0, 61, 1 
1,0, 50, 14 
1,0, 46, 18 
1,0, 61, 3 
1,0, 47, 17 
1,0, 37, 27 
1,0, 56, 8 
1,0, 41, 23 
1,0, 59, 5 
1,0, 42, 22 
1,0, 36, 28 
1,0, 55, 9 
1,0, 50, 14 
1,0, 37, 27 
1,0, 37, 27 
1,0, 51, 13 
1,0, 51, 13 
1,0, 41, 0 
1,0, 57, 7 
1,0, 55, 9 
1,0, 58, 5 
1,0, 62, 1 
1,0, 57, 7 
1,0, 53, 11 
1,0, 49, 15 
0,1, 21, 43 
1,0, 55, 9 
1,0, 59, 4 
1,0, 62, 0 
1,0, 47, 17 
1,0, 60, 4 
0,1, 24, 40 
1,0, 59, 5 
1,0, 44, 20 
0,1, 30, 34 
1,0, 52, 12 
1,0, 63, 0 
1,0, 51, 13 
1,0, 60, 4 
1,0, 51, 13 
1,0, 50, 14 
1,0, 38, 26 
1,0, 55, 9 
1,0, 52, 12 
1,0, 47, 17 
1,0, 57, 4 
1,0, 56, 8 
1,0, 55, 8 
1,0, 52, 12 
1,0, 61, 3 
1,0, 51, 0 
1,0, 53, 11 
1,0, 52, 12 
1,0, 48, 16 
