100 games Roxanne against AlphaBeta4 for Roxanne: black and AlphaBeta4: white.
"In first two columns winner gets 1 looser 0"

Roxanne_Winning,AlphaBeta4_Winning,Discs_AlphaBeta4,Discs_Roxanne
0, 1, 51, 13 
0, 1, 52, 12 
0, 1, 60, 2 
0, 1, 49, 15 
0, 1, 44, 20 
0, 1, 54, 10 
0, 1, 49, 15 
0, 1, 46, 18 
0, 1, 54, 1 
0, 1, 52, 12 
0, 1, 52, 12 
0, 1, 43, 21 
0, 1, 60, 1 
0, 1, 43, 21 
0, 1, 60, 4 
0, 1, 52, 12 
0, 1, 58, 6 
0, 1, 55, 9 
0, 1, 46, 18 
0, 1, 63, 0 
0, 1, 55, 9 
0, 1, 59, 5 
0, 1, 53, 9 
0, 1, 35, 29 
0, 1, 44, 20 
0, 1, 45, 19 
0, 1, 61, 3 
0, 1, 58, 6 
0, 1, 55, 9 
0, 1, 48, 16 
0, 1, 53, 11 
0, 1, 36, 28 
0, 1, 57, 7 
0, 1, 51, 0 
0, 1, 56, 8 
0, 1, 61, 3 
0, 1, 42, 22 
0, 1, 56, 8 
0, 1, 52, 12 
0, 1, 55, 9 
0, 1, 49, 1 
0, 1, 50, 14 
0, 1, 59, 4 
0, 1, 54, 10 
0, 1, 59, 5 
0, 1, 56, 8 
0, 1, 53, 11 
0, 1, 53, 11 
0, 1, 55, 9 
0, 1, 48, 16 
0, 1, 22, 0 
0, 1, 58, 6 
0, 1, 52, 12 
1, 0, 23, 41 
0, 1, 18, 0 
0, 1, 51, 13 
0, 1, 49, 15 
0, 1, 41, 23 
0, 1, 50, 14 
0, 1, 37, 8 
0, 1, 54, 10 
0, 1, 22, 0 
0, 1, 53, 0 
0, 1, 46, 18 
0, 1, 49, 15 
0, 1, 55, 9 
0, 1, 49, 15 
0, 1, 56, 8 
0, 1, 47, 17 
0, 1, 44, 20 
0, 1, 49, 15 
0, 1, 52, 12 
0, 1, 49, 15 
0, 1, 59, 5 
0, 1, 55, 9 
0, 1, 54, 10 
0, 1, 59, 5 
0, 1, 52, 12 
0, 1, 51, 13 
0, 1, 62, 2 
0, 1, 47, 3 
0, 1, 46, 18 
0, 1, 52, 4 
0, 1, 48, 16 
0, 1, 45, 19 
0, 1, 56, 8 
1, 0, 22, 42 
0, 1, 54, 9 
0, 1, 52, 12 
1, 0, 26, 38 
0, 1, 58, 2 
0, 1, 41, 0 
0, 1, 52, 12 
0, 1, 50, 14 
0, 1, 44, 20 
0, 1, 50, 1 
0, 1, 40, 24 
0, 1, 51, 13 
0, 1, 60, 1 
0, 1, 42, 22 
