500 games Roxanne against AlphaBeta4 for Roxanne: black and AlphaBeta4: white.
"In first two columns winner gets 1 looser 0"

AlphaBeta4_Winning,Roxanne_Winning,Discs_AlphaBeta4,Discs_Roxanne
1, 0, 45, 19 
1, 0, 47, 17 
1, 0, 61, 1 
1, 0, 20, 0 
1, 0, 28, 0 
1, 0, 50, 14 
1, 0, 57, 7 
1, 0, 53, 11 
1, 0, 55, 9 
1, 0, 59, 4 
1, 0, 54, 10 
1, 0, 44, 4 
1, 0, 53, 11 
1, 0, 54, 10 
1, 0, 50, 14 
1, 0, 56, 8 
1, 0, 52, 12 
1, 0, 55, 9 
1, 0, 41, 23 
1, 0, 53, 11 
1, 0, 54, 10 
1, 0, 48, 16 
1, 0, 61, 2 
1, 0, 61, 3 
1, 0, 50, 14 
1, 0, 52, 12 
1, 0, 57, 7 
1, 0, 47, 17 
1, 0, 62, 2 
1, 0, 60, 4 
1, 0, 52, 12 
1, 0, 51, 13 
1, 0, 54, 10 
1, 0, 46, 18 
1, 0, 48, 16 
1, 0, 61, 0 
1, 0, 42, 22 
1, 0, 52, 12 
1, 0, 55, 9 
1, 0, 60, 4 
1, 0, 58, 4 
1, 0, 51, 12 
1, 0, 53, 11 
1, 0, 58, 6 
1, 0, 54, 10 
1, 0, 48, 16 
1, 0, 52, 11 
1, 0, 46, 18 
1, 0, 53, 11 
1, 0, 52, 12 
1, 0, 57, 7 
1, 0, 51, 13 
1, 0, 56, 8 
1, 0, 55, 9 
1, 0, 52, 12 
1, 0, 54, 10 
1, 0, 45, 19 
1, 0, 24, 0 
1, 0, 53, 11 
1, 0, 52, 12 
1, 0, 55, 9 
1, 0, 60, 4 
1, 0, 56, 8 
1, 0, 53, 11 
1, 0, 56, 8 
1, 0, 49, 15 
1, 0, 49, 15 
1, 0, 51, 13 
1, 0, 52, 12 
1, 0, 44, 0 
1, 0, 54, 10 
1, 0, 42, 22 
1, 0, 53, 11 
1, 0, 50, 13 
1, 0, 45, 19 
1, 0, 43, 21 
1, 0, 46, 18 
1, 0, 61, 3 
1, 0, 45, 19 
1, 0, 46, 18 
1, 0, 58, 6 
1, 0, 43, 21 
1, 0, 53, 10 
1, 0, 49, 15 
1, 0, 54, 10 
1, 0, 43, 21 
1, 0, 49, 15 
1, 0, 56, 8 
1, 0, 57, 7 
1, 0, 55, 9 
1, 0, 57, 6 
1, 0, 55, 9 
1, 0, 50, 14 
1, 0, 54, 10 
1, 0, 50, 0 
1, 0, 54, 10 
1, 0, 51, 13 
1, 0, 47, 17 
1, 0, 50, 14 
1, 0, 52, 12 
1, 0, 36, 28 
1, 0, 46, 18 
1, 0, 60, 4 
1, 0, 51, 13 
1, 0, 51, 13 
1, 0, 56, 3 
1, 0, 51, 13 
1, 0, 62, 1 
1, 0, 57, 6 
1, 0, 56, 8 
1, 0, 51, 13 
1, 0, 49, 15 
1, 0, 55, 9 
1, 0, 55, 9 
1, 0, 59, 5 
1, 0, 55, 9 
0, 1, 31, 33 
1, 0, 47, 17 
1, 0, 51, 13 
1, 0, 56, 7 
1, 0, 53, 11 
1, 0, 62, 2 
1, 0, 51, 13 
1, 0, 58, 6 
1, 0, 58, 6 
1, 0, 44, 20 
1, 0, 55, 9 
1, 0, 52, 12 
1, 0, 54, 3 
1, 0, 54, 10 
1, 0, 51, 13 
1, 0, 47, 17 
1, 0, 44, 20 
1, 0, 60, 4 
1, 0, 54, 10 
0, 1, 22, 42 
1, 0, 51, 0 
1, 0, 60, 4 
1, 0, 50, 14 
1, 0, 56, 8 
1, 0, 47, 17 
1, 0, 47, 17 
1, 0, 50, 14 
1, 0, 56, 3 
1, 0, 59, 5 
1, 0, 48, 16 
1, 0, 57, 7 
1, 0, 54, 10 
1, 0, 57, 7 
