50 games AlphaBeta4 against StaticBoard4 for AlphaBeta4: black and StaticBoard4: white.
"In first two columns winner gets 1 looser 0"

StaticBoard4_Winning,AlphaBeta4_Winning,Discs_StaticBoard4,Discs_AlphaBeta4
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
0,1,10,54
