50 games MCTSMaxIterRemember50 against Roxanne for MCTSMaxIterRemember50: black and Roxanne: white.
"In first two columns winner gets 1 looser 0"

MCTSMaxIterRemember50_Winning,Roxanne_Winning,Discs_MCTSMaxIterRemember50,Discs_Roxanne
0,0,32,32
0,1,21,43
0,1,28,36
0,1,24,40
0,1,22,42
0,1,16,48
1,0,34,30
0,0,32,32
0,1,20,44
1,0,40,24
0,0,27,27
0,1,25,39
0,1,28,36
0,1,23,41
1,0,36,28
0,1,31,33
0,1,22,42
0,1,21,43
0,1,19,45
1,0,37,27
1,0,35,29
0,1,18,46
1,0,35,29
0,1,30,34
0,1,16,48
0,0,31,31
0,1,26,38
0,1,11,53
1,0,38,26
0,1,20,44
0,1,23,41
0,1,23,41
0,1,26,38
0,1,17,47
1,0,47,17
0,1,17,47
0,1,18,46
0,1,19,45
0,1,25,39
0,1,0,64
0,1,9,55
1,0,35,29
0,1,24,40
0,1,23,41
1,0,37,27
1,0,36,28
0,1,21,43
0,1,20,44
0,1,26,38
0,1,23,41
