"100 games Negamax4 agains Roxanne for Negamax4: black and Roxanne: white."
"In first two columns winner gets 1 looser 0"

Negamax4_Winning,Roxanne_Winning,Discs_Negamax4,Discs_Roxanne
1, 0, 51, 12 
1, 0, 55, 9 
1, 0, 60, 4 
1, 0, 56, 8 
1, 0, 52, 12 
1, 0, 41, 23 
1, 0, 56, 6 
1, 0, 54, 10 
1, 0, 53, 11 
1, 0, 55, 9 
1, 0, 38, 0 
1, 0, 55, 9 
1, 0, 56, 8 
1, 0, 56, 8 
1, 0, 53, 11 
1, 0, 49, 15 
1, 0, 57, 7 
1, 0, 58, 6 
1, 0, 57, 7 
1, 0, 60, 4 
1, 0, 44, 20 
1, 0, 54, 10 
1, 0, 39, 25 
0, 1, 15, 49 
1, 0, 56, 8 
1, 0, 63, 1 
1, 0, 44, 20 
1, 0, 57, 7 
1, 0, 52, 12 
1, 0, 46, 18 
1, 0, 55, 9 
1, 0, 51, 13 
1, 0, 52, 12 
1, 0, 63, 1 
1, 0, 51, 13 
1, 0, 55, 9 
1, 0, 50, 14 
1, 0, 58, 6 
1, 0, 46, 18 
1, 0, 53, 11 
1, 0, 54, 10 
1, 0, 56, 8 
1, 0, 52, 12 
1, 0, 59, 5 
1, 0, 55, 9 
1, 0, 57, 7 
1, 0, 50, 14 
1, 0, 45, 19 
1, 0, 48, 16 
1, 0, 59, 5 
1, 0, 58, 6 
1, 0, 56, 8 
1, 0, 53, 11 
1, 0, 30, 3 
1, 0, 36, 28 
1, 0, 40, 24 
1, 0, 58, 1 
1, 0, 51, 13 
1, 0, 57, 7 
1, 0, 52, 11 
1, 0, 62, 1 
1, 0, 56, 8 
1, 0, 34, 30 
1, 0, 62, 2 
1, 0, 51, 13 
1, 0, 54, 10 
1, 0, 40, 24 
1, 0, 54, 0 
1, 0, 54, 10 
1, 0, 41, 23 
1, 0, 61, 3 
1, 0, 44, 20 
1, 0, 56, 8 
1, 0, 56, 8 
1, 0, 59, 1 
1, 0, 60, 4 
1, 0, 62, 2 
1, 0, 56, 8 
1, 0, 59, 2 
1, 0, 57, 7 
1, 0, 54, 10 
1, 0, 35, 29 
1, 0, 61, 2 
1, 0, 55, 9 
0, 1, 28, 36 
1, 0, 40, 24 
1, 0, 59, 5 
1, 0, 58, 6 
1, 0, 54, 10 
1, 0, 52, 12 
1, 0, 53, 11 
1, 0, 50, 14 
1, 0, 57, 7 
1, 0, 43, 21 
0, 1, 31, 33 
1, 0, 52, 12 
1, 0, 36, 28 
1, 0, 50, 14 
1, 0, 49, 15 
1, 0, 50, 14 
