"100 games Roxanne against Negamax4 for Roxanne: black and Negamax4: white."
"In first two columns winner gets 1 looser 0"

Negamax4_Winning,Roxanne_Winning,Discs_Negamax4,Discs_Roxanne
1, 0, 54, 10 
1, 0, 56, 8 
1, 0, 55, 8 
1, 0, 51, 13 
1, 0, 52, 12 
1, 0, 33, 31 
1, 0, 55, 9 
1, 0, 61, 3 
1, 0, 53, 11 
1, 0, 59, 2 
1, 0, 56, 8 
1, 0, 54, 10 
1, 0, 54, 10 
1, 0, 53, 11 
1, 0, 42, 22 
1, 0, 57, 6 
1, 0, 45, 19 
1, 0, 47, 17 
0, 1, 24, 40 
1, 0, 49, 15 
1, 0, 46, 18 
1, 0, 47, 17 
1, 0, 55, 9 
1, 0, 33, 31 
1, 0, 59, 5 
1, 0, 56, 8 
1, 0, 43, 21 
1, 0, 48, 16 
1, 0, 33, 31 
1, 0, 46, 4 
1, 0, 58, 3 
1, 0, 56, 5 
1, 0, 50, 14 
1, 0, 40, 24 
1, 0, 38, 26 
1, 0, 59, 2 
1, 0, 52, 12 
1, 0, 49, 15 
1, 0, 50, 14 
1, 0, 51, 13 
1, 0, 60, 1 
1, 0, 49, 15 
1, 0, 51, 13 
1, 0, 22, 0 
1, 0, 55, 9 
1, 0, 58, 6 
1, 0, 50, 11 
1, 0, 54, 10 
1, 0, 22, 0 
1, 0, 58, 2 
1, 0, 44, 20 
1, 0, 60, 4 
1, 0, 60, 2 
1, 0, 59, 2 
1, 0, 55, 9 
1, 0, 53, 11 
1, 0, 55, 9 
1, 0, 43, 21 
1, 0, 51, 13 
1, 0, 24, 0 
1, 0, 56, 8 
1, 0, 50, 14 
1, 0, 48, 16 
1, 0, 46, 4 
1, 0, 48, 0 
1, 0, 56, 1 
1, 0, 59, 5 
1, 0, 54, 10 
1, 0, 58, 5 
1, 0, 54, 10 
1, 0, 45, 19 
1, 0, 47, 17 
1, 0, 52, 12 
1, 0, 50, 14 
1, 0, 53, 11 
1, 0, 50, 14 
1, 0, 46, 18 
1, 0, 46, 18 
1, 0, 60, 0 
1, 0, 60, 4 
1, 0, 59, 2 
1, 0, 50, 14 
1, 0, 51, 13 
1, 0, 54, 10 
1, 0, 47, 17 
1, 0, 52, 12 
1, 0, 59, 5 
1, 0, 54, 10 
1, 0, 56, 8 
1, 0, 39, 25 
1, 0, 41, 22 
1, 0, 38, 26 
1, 0, 24, 0 
1, 0, 63, 1 
1, 0, 49, 15 
1, 0, 52, 12 
1, 0, 51, 13 
1, 0, 49, 15 
1, 0, 51, 13 
1, 0, 45, 19 
