50 games Roxanne against MCTSMaxIterRemember50 for Roxanne: black and MCTSMaxIterRemember50: white.
"In first two columns winner gets 1 looser 0"

MCTSMaxIterRemember50_Winning,Roxanne_Winning,Discs_MCTSMaxIterRemember50,Discs_Roxanne
0,1,27,37
1,0,34,30
0,1,20,44
0,1,12,52
1,0,34,30
0,1,31,33
0,1,15,49
0,1,21,43
0,1,21,43
0,1,0,64
1,0,37,27
0,1,29,35
0,1,0,64
0,1,22,42
0,1,22,42
0,1,17,47
0,1,0,64
0,0,32,32
0,1,0,64
0,1,8,56
0,1,18,46
1,0,38,26
0,1,0,64
0,1,23,41
0,1,21,43
0,1,25,39
0,1,31,33
0,1,23,41
0,0,32,32
0,1,20,44
0,1,0,64
0,1,18,46
0,1,25,39
0,1,27,37
0,1,25,39
0,1,0,64
0,1,19,45
0,1,18,46
0,1,0,64
0,1,0,64
0,1,19,45
0,1,10,54
0,1,0,64
0,1,18,46
0,1,27,37
0,1,9,55
0,1,18,46
1,0,34,30
0,1,0,64
1,0,35,29
