50 games StaticBoard4 against AlphaBeta4 for StaticBoard4: black and AlphaBeta4: white.
"In first two columns winner gets 1 looser 0"

StaticBoard4_Winning,AlphaBeta4_Winning,Discs_StaticBoard4,Discs_AlphaBeta4
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
0,1,1,63
