50 games Roxanne against StaticBoard4 for Roxanne: black and StaticBoard4: white.
"In first two columns winner gets 1 looser 0"

StaticBoard4_Winning,Roxanne_Winning,Discs_StaticBoard4,Discs_Roxanne
1,0,59,5
1,0,40,24
1,0,55,9
0,1,31,33
1,0,59,5
1,0,48,16
1,0,44,20
1,0,35,29
1,0,40,24
0,1,28,36
1,0,42,22
1,0,48,16
1,0,48,16
0,1,23,41
1,0,45,19
1,0,38,26
0,1,31,33
1,0,64,0
1,0,41,23
0,1,25,39
1,0,42,22
1,0,45,19
1,0,53,11
0,1,26,38
0,1,28,36
1,0,43,21
1,0,48,16
1,0,39,25
1,0,43,21
0,1,17,47
1,0,49,15
1,0,48,16
1,0,42,22
1,0,44,20
1,0,64,0
0,1,29,35
1,0,47,17
1,0,64,0
1,0,48,16
1,0,46,18
1,0,37,27
1,0,50,14
1,0,42,22
1,0,43,21
1,0,37,27
1,0,40,24
1,0,36,28
0,1,14,50
1,0,52,12
1,0,49,15

Results for StaticBoard4 black and Roxanne white:
Information,StaticBoard4,Roxanne,Draw
total wins,38,10,2
percentage wins,0.76,0.2,0.04
disc difference winnig,27.36842105263158,13.4

Results for StaticBoard4 white and Roxanne black:
Information,StaticBoard4,Roxanne,Draw
total wins,40,10,0
percentage wins,0.8,0.2,0.0
disc difference winnig,28.85,13.6

Total Results:
Information,StaticBoard4,Roxanne,Draw
total wins,78,20,2
percentage wins,0.78,0.2,0.02
disc difference winnig,28.128205128205128,13.5
