50 games StaticBoard4 against Roxanne for StaticBoard4: black and Roxanne: white.
"In first two columns winner gets 1 looser 0"

StaticBoard4_Winning,Roxanne_Winning,Discs_StaticBoard4,Discs_Roxanne
1,0,35,29
1,0,53,11
1,0,41,23
1,0,49,15
1,0,46,18
1,0,64,0
1,0,34,30
1,0,41,23
0,0,32,32
1,0,64,0
1,0,45,19
1,0,53,11
1,0,38,26
1,0,39,25
0,1,29,35
1,0,64,0
0,1,29,35
0,0,32,32
1,0,45,19
1,0,43,21
0,1,26,38
1,0,48,16
1,0,41,23
1,0,47,17
1,0,48,16
1,0,46,18
0,1,27,37
1,0,41,23
0,1,21,43
1,0,50,14
1,0,40,24
0,1,22,42
1,0,46,18
0,1,18,46
1,0,35,29
1,0,40,24
0,1,26,38
1,0,39,25
1,0,46,18
1,0,40,24
1,0,64,0
0,1,27,37
1,0,33,31
1,0,38,26
1,0,40,24
1,0,55,9
0,1,28,36
1,0,44,20
1,0,37,27
1,0,64,0

Results for StaticBoard4 black and Roxanne white
Information,StaticBoard4,Roxanne,Draw
total wins,38,10,2
percentage wins, 0.76,0.2,0.04
disc difference,27.36842105263158,13.4

Results for Roxanne black and StaticBoard4 white
Information,StaticBoard4,Roxanne,Draw
total wins,40,10,0
percentage wins, 0.8,0.2,0.0
disc difference,28.85,13.6

Total Results:
Information,StaticBoard4,Roxanne,Draw
total wins,78,20,2
percentage wins, 0.78,0.2,0.02
disc difference,28.128205128205128,13.5
