Contains move time for player DynamicRoxanne; opponent is Roxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.002568958000000343,0.00248962499999994,0.0024666249999993894,0.0023424580000002138,0.0022686670000000575,0.0022083339999996454,0.002111832999999841,0.002069792000000348,0.002003584000000558,0.0019239999999998147,0.0018100840000006002,0.0016769170000001665,0.0015689170000001695,0.0015537500000002424,0.0014460000000005024,0.0013485420000005632,0.0012594579999998246,0.0011535409999998691,0.0011329579999994621,0.001045624999999717,0.0009621659999998755,0.0008486669999996366,0.000741957999999876,0.000641041999999814,0.0005876669999995698,0.0004763749999998623,0.00037899999999968514,0.00027429200000028686,0.0001987080000001029,6.958300000015072e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04162912600000013
2,0.0025477079999998153,0.0024855840000004292,0.002400291999999915,0.00233304099999998,0.002308292000000378,0.0022412499999999724,0.0021903749999996336,0.002150499999999944,0.002077374999999826,0.0019531669999999224,0.0019092919999996738,0.0018199579999995663,0.0017158749999994782,0.0016550000000004061,0.0015791250000001256,0.0014710420000003666,0.0013224159999998264,0.001228874999999796,0.0011676249999998944,0.0010998750000004165,0.0009430420000002826,0.0008812080000000222,0.0007727080000003994,0.0006745420000004998,0.0005810830000001488,0.000515667000000164,0.0003966249999995952,0.00028754100000050187,0.0001761250000003045,6.649999999996936e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042951708000001254
3,0.0025684159999999068,0.0025082499999999897,0.0025259579999996618,0.00239579199999973,0.002264083000000028,0.002229041999999737,0.0021420000000000883,0.002069291999999834,0.0019671250000001805,0.0018366250000001472,0.0017358750000004974,0.0017103330000001193,0.0016003329999998428,0.0015667079999994726,0.0014730410000005634,0.0014080410000003596,0.0013882919999996801,0.0012860420000002648,0.0011922919999998172,0.0011137500000000244,0.0010054999999997705,0.0008891660000003299,0.0007790829999994031,0.0006875839999995748,0.000589875000000184,0.000492666000000419,0.0003750000000000142,0.0002636669999995789,0.00014874999999925365,0.00011912500000033077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423317059999988
4,0.002560625000000094,0.0025055830000004775,0.002418917000000853,0.0023461249999998657,0.002272292000000675,0.0021632089999998882,0.0020988750000006107,0.00201066700000041,0.0019275419999997823,0.0018453329999994494,0.001758999999999844,0.0017007500000003617,0.001641375000000167,0.0015470839999993657,0.0014456670000004834,0.0013895000000001545,0.001272082999999924,0.001176458999999852,0.0010915420000001674,0.0010201670000000718,0.0009085830000001849,0.0008151249999999166,0.0007227079999996278,0.0006294579999996941,0.0005187919999993795,0.0004154590000000624,0.00035845800000000594,0.00027258300000010394,0.0001682079999998365,6.933399999997647e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041071503000001286
5,0.002580707999999987,0.0025460419999996375,0.002434249999999416,0.00237558300000007,0.002317333999999782,0.0022551250000004686,0.002114832999999372,0.0020846670000000955,0.0020237080000002905,0.0018310420000000605,0.0017477089999999862,0.0017436669999995047,0.0016532919999994178,0.0015978329999999374,0.0015010000000001966,0.0014479590000000542,0.001445791000000085,0.0012609170000006387,0.0011750419999998485,0.0010705829999997363,0.0010247079999992081,0.0009224159999998705,0.000824874999999281,0.0007458749999997849,0.0006294169999998545,0.0005247499999994076,0.0004272920000003566,0.00030350000000023414,0.00024037499999973733,0.0001329170000001767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429832099999965
6,0.0026041669999994355,0.0025134160000002126,0.002480124999999944,0.0023903750000000556,0.0023562500000000597,0.0022658749999999728,0.0021904579999993956,0.002167250000000287,0.002076707999999705,0.0019638339999996646,0.001901042000000075,0.0018415000000002735,0.001715665999999949,0.0016035830000005191,0.0015549579999998286,0.0014489580000001112,0.0013010409999996142,0.0012254580000004012,0.0011574999999997004,0.0010354579999996005,0.0009586659999998304,0.0008434580000002967,0.0007505000000005424,0.0006717079999996045,0.0005683750000002874,0.0004788749999997677,0.00040545800000035825,0.00029874999999979224,0.00019212499999987642,7.004099999985414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043031577999999016
7,0.0025924159999997087,0.0024672080000005536,0.002476333000000608,0.002408292000000145,0.0023072090000004764,0.002239333000000343,0.002257042000000098,0.0021849999999998815,0.002081125000000128,0.002013041999999743,0.0019074999999997289,0.001855833000000473,0.001775582999999692,0.0016587079999998977,0.0016009169999993134,0.001439332999999543,0.0013857090000000127,0.0012782079999995588,0.0011873749999997685,0.0011119170000002399,0.0010102919999992466,0.0008854579999999501,0.0008146250000002908,0.0007058329999996005,0.0006189999999994811,0.0005095419999996409,0.00041270799999981733,0.00029824999999927826,0.00019512499999940758,7.99169999998739e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437588329999965
8,0.0025425420000004806,0.002512209000000709,0.00245337499999998,0.0023851659999998276,0.0023019579999994377,0.0022595410000008087,0.0021882080000006354,0.00210683300000003,0.0020383329999997812,0.0019781249999999417,0.0019094590000001688,0.0018479579999999274,0.0017434579999999755,0.0016614999999999824,0.0015245830000001348,0.0014526659999996028,0.0013769580000007053,0.0012369999999997106,0.0011491250000004172,0.0010785420000001267,0.0009813329999994735,0.00086783300000004,0.0007856250000006781,0.0007017920000000899,0.0005951249999993635,0.0005036250000003406,0.00041108300000036735,0.00035304100000033145,0.00029233299999997797,0.00023008299999993653,0.00013058399999987813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04359999600000286
9,0.002548209000000412,0.0024805830000005358,0.0024067909999994086,0.0024007500000005066,0.0023271249999998744,0.0022747919999996924,0.0021957499999993857,0.0021090839999997613,0.0019327920000007381,0.0018239169999993976,0.0017753749999993573,0.0017158750000003664,0.0016713750000008076,0.0015554169999996148,0.0014990830000005673,0.001390917000000158,0.0012949579999999017,0.0012378330000002435,0.00113916699999983,0.0010473750000006277,0.0009648340000003586,0.0008404589999999601,0.0007365830000001239,0.0006452499999998196,0.0005612079999997022,0.0004833330000000302,0.0003762499999995228,0.00027112500000026074,0.00018783300000002612,7.27090000003372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04196675200000133
10,0.002555249999999454,0.002483082999999553,0.0024292089999997657,0.0023689169999991933,0.002340124999999915,0.0022902079999997937,0.002177416999999515,0.002081707999999516,0.002058834000000509,0.0019376659999998935,0.001933457999999888,0.001801042000000308,0.0017287920000006451,0.0016372910000006513,0.0015192089999995773,0.0014399590000007123,0.0013347499999998291,0.0012329170000002776,0.0011516669999993567,0.0010901250000001639,0.0009878749999998604,0.0008870829999994001,0.0008265830000002694,0.000730040999999737,0.0006140830000003206,0.00051625000000044,0.0004705000000004844,0.0003491249999996171,0.00023120799999976072,0.00012737499999992963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04333174999999834
