Contains move time for player Gambler; opponent is Greedy
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0027263749999999476,0.002534832999999459,0.002465040999999779,0.0024154169999999198,0.002347915999999728,0.002270583999999687,0.0021769999999996514,0.002114040999999567,0.0020189579999998486,0.0020647910000004543,0.0018807909999996042,0.0017649159999999497,0.001685292000000338,0.0016299999999995762,0.0015330000000002286,0.0014747499999998581,0.0014199999999995327,0.0013062090000000026,0.0012232079999998646,0.0011584999999998402,0.0010873330000000792,0.0009985000000005684,0.0008992079999998737,0.0007749580000000478,0.0006818339999998813,0.0005837079999997385,0.00046870899999973403,0.0003710830000001053,0.00026100000000006673,0.0001353330000002373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04447328799999717
2,0.0026249999999992113,0.0025473750000006845,0.002510250000000269,0.0023929999999996454,0.002367500000000078,0.0023192080000002946,0.0022400420000003862,0.0021479170000002767,0.002082834000000311,0.0019964999999997346,0.0019107920000003276,0.001815750000000449,0.001794125000000868,0.0016970829999998216,0.0016697500000004695,0.0015579579999993598,0.00147679200000006,0.001435084000000586,0.0013524169999996616,0.0012404999999997557,0.001145457999999877,0.0010479580000000155,0.0010289580000000242,0.0008697500000005576,0.0007326249999994872,0.0006315839999997408,0.0005255829999999406,0.00040962500000052415,0.00028862499999959823,0.0001880830000002831,0.00012687500000030383,6.86669999998557e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04624366800000246
3,0.0026298749999993376,0.0026664580000002047,0.0025183750000001837,0.002433707999999868,0.00232429199999995,0.0022875420000003643,0.0022043750000007023,0.002166749999999773,0.002070458000000386,0.002031791999999477,0.0019362080000000503,0.001857040999999171,0.0017225000000005153,0.0017711250000003176,0.001609875000000649,0.0015249170000002366,0.001439750000000295,0.0013321250000002394,0.0012316249999999584,0.0012045829999998148,0.0010117079999991674,0.0009108749999997556,0.0008607500000001878,0.0007567079999999393,0.0006084999999993457,0.0005826660000005646,0.000459417000000073,0.00033954199999985946,0.0002468749999993136,0.00013129199999983854,7.058400000037324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04494229099999991
4,0.0026351250000002935,0.0025628750000006306,0.0025012499999998994,0.002441207999999584,0.00250020899999992,0.002293209000000296,0.0022690839999999213,0.002157416999999384,0.0020831669999994418,0.002081916999999933,0.001974167000000193,0.0019191669999996108,0.0018123330000001658,0.0016837920000005724,0.001582584000000331,0.0015061249999996917,0.0013891669999992473,0.001383500000000204,0.0012753750000005226,0.0011559170000001728,0.0010799999999999699,0.0009928750000005593,0.0009075000000002831,0.00076895900000018,0.000677957999999812,0.0005932080000006223,0.0004942500000000294,0.00038179099999968713,0.0002450840000003396,0.00011550000000060123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454647130000021
5,0.0026429580000000286,0.002562750000000058,0.002524791999999998,0.002443167000000024,0.002384457999999867,0.00227841700000031,0.002218917000000431,0.002156624999999579,0.002070041000000522,0.0019732499999998154,0.001906749999999846,0.001819249999999606,0.0017668750000003897,0.0017314160000001522,0.0016393749999998875,0.0015667090000004436,0.0014939589999993785,0.001413207999999777,0.001319249999999883,0.0012097499999992323,0.001097291999999861,0.0009588339999995199,0.0008382089999994236,0.0007641660000006212,0.0006455000000000766,0.0005493750000002962,0.00042529200000007705,0.0003204170000001838,0.00022458300000050002,0.00010466600000036408,7.037499999995589e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04512062600000011
6,0.0026650000000003615,0.002572958000000014,0.0025381670000008683,0.0024148749999994834,0.0023711249999998074,0.00232970800000043,0.0022796249999998963,0.0021329999999997185,0.0020104579999999928,0.0019860420000004098,0.001938917000000373,0.0018064579999998998,0.001791332999999895,0.0016962500000001768,0.0017142090000001886,0.0016126249999999231,0.0014540419999997667,0.001390541000000134,0.0012916250000003515,0.0012285829999996167,0.0011453340000002754,0.0010187500000000682,0.0009440420000004224,0.000823667000000583,0.0007300839999997422,0.0006058750000006441,0.000503750000000025,0.000385041999999558,0.0002641250000001705,0.00013337499999988012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045779585000002676
7,0.002662832999999587,0.0026573330000001505,0.002519500000000008,0.002432291999999947,0.0024047920000001,0.0023107079999995506,0.0022190410000000327,0.0021629589999996313,0.0021097499999997993,0.0020210000000000505,0.0019499999999998963,0.0018196660000002751,0.0018609579999999681,0.0017512090000000313,0.0016379159999999615,0.001513292000000277,0.0014433340000001849,0.0013477919999997923,0.001310208000000479,0.001153957999999733,0.0010797079999997905,0.0009873750000002346,0.0008750830000003873,0.0007873749999998125,0.0006641659999999661,0.0005795000000006212,0.0004677910000001617,0.00034908400000066564,0.00023141600000009532,0.00012550000000022266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04543553900000141
8,0.002739791999999852,0.0025760410000001954,0.0025192919999996732,0.0024855419999996187,0.0023654999999997983,0.002317416999999544,0.002194750000000134,0.002120709000000609,0.0020961250000004483,0.0020270409999998407,0.001953874999999883,0.00199637500000005,0.001901124999999837,0.001832291999999569,0.0017214999999994873,0.00166775000000019,0.0015577499999999134,0.0014256660000002697,0.0013308749999998426,0.001203499999999913,0.0011379160000002386,0.0010645410000007516,0.0009568330000000458,0.0008971669999997545,0.0007517919999999734,0.0006259169999998093,0.0005011249999995471,0.00038129200000014407,0.0002465830000000224,0.00013983400000050494,8.10830000004259e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046816999999999886
9,0.0028698750000000217,0.0027375000000002814,0.002609458000000231,0.0024094159999998865,0.0023469580000003987,0.0023336249999994507,0.00223579199999957,0.002210416999999687,0.0021045410000004594,0.0021047499999999886,0.001914999999999445,0.0018382920000004077,0.0017550410000000127,0.0016849580000002362,0.0015990830000003342,0.0015141669999998442,0.001412041999999225,0.0013925409999995253,0.0012326250000000982,0.0011784580000000489,0.0010904160000002605,0.0009894580000002762,0.0008503749999997368,0.0007762920000002893,0.0006620410000000021,0.0005668340000006822,0.0004663750000002409,0.00035604199999994535,0.00025608300000001805,0.0001389999999998892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04563745500000049
10,0.0026466250000005687,0.002566584000000205,0.002566583000000122,0.0024772500000000974,0.002442166999999884,0.002373999999999654,0.002225916999999633,0.0021251669999999834,0.002221375000000414,0.0020318750000001273,0.0019755410000001916,0.001848291999999141,0.0018440829999999409,0.0017692500000006106,0.001675833000000182,0.0015970830000000547,0.0014709579999996336,0.0014102500000001683,0.0013552919999995083,0.0012188330000002523,0.0011441249999997183,0.000996959000000075,0.0010339169999999953,0.0008098749999998489,0.0006877079999991764,0.0006423749999999728,0.0004996660000005093,0.000376666000000192,0.00025062499999961574,0.00013704199999953204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04642191599999901
11,0.0029234169999998727,0.002647082999999384,0.002572791999999602,0.002506832999999986,0.002468250000000616,0.002425875000000133,0.0022587079999993875,0.0022066249999994625,0.0021272919999999473,0.002001207999999366,0.0019541249999992516,0.0018687500000007518,0.001839249999999737,0.0017622500000005203,0.0017874579999999085,0.0015654590000000468,0.0015169170000000065,0.0014670419999998074,0.0013262919999998957,0.0011950000000000571,0.001076333000000318,0.0009918749999995313,0.0008727909999999284,0.0007675420000001765,0.0006799170000002519,0.0005786660000000055,0.00048174999999961443,0.0003900000000003345,0.00026404199999952027,0.00013608300000012008,7.183399999988183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04673145899999742
12,0.002745291000000094,0.0026859579999998218,0.0025737919999997416,0.0025118339999998796,0.002440707999999958,0.0023531660000006838,0.0022703750000001577,0.0022729999999997474,0.002158082999999422,0.0020963339999999775,0.0020169999999994914,0.0018989579999999506,0.0018152909999997746,0.0017205829999999978,0.0016424170000002292,0.0016073749999998554,0.0014953330000002651,0.0013765839999999585,0.0013414159999998176,0.0012717909999997445,0.0011660000000004445,0.0010758750000006145,0.0009487919999999761,0.00083949999999966,0.0007190829999998982,0.0006218330000002936,0.0005144579999996068,0.0003824999999997303,0.00025779200000020097,0.00013724999999986665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04695837199999886
13,0.0027547090000004104,0.002641832999999316,0.0025755840000005747,0.002608458000000091,0.0023633749999998344,0.0023121250000004423,0.0022774170000001703,0.002184957999999959,0.0020706659999998323,0.0019881669999994855,0.0019076250000003014,0.001854666999999921,0.001741041999999915,0.0016628750000000636,0.0015783329999994322,0.0015295840000000283,0.0014835419999998933,0.0013806250000003573,0.001316208999999624,0.0012318329999994049,0.0011520829999991378,0.0010506250000004158,0.0009157910000006098,0.0008334999999997095,0.0007229170000000451,0.0006014590000003039,0.0004716250000003086,0.00036225000000023044,0.00025612499999994043,0.0001401249999997134,7.408300000033563e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04604420999999981
14,0.0026366669999999814,0.002566041000000574,0.002484209000000348,0.002474417000000173,0.002520000000000522,0.0023958329999995698,0.0023557080000005115,0.0022993749999997704,0.0021575000000000344,0.0022051660000004247,0.002138291000000514,0.001976292000000157,0.0019290419999995478,0.0018234589999996942,0.0016510410000005749,0.0015790419999994754,0.001398833999999738,0.001375750000000231,0.0012279580000003065,0.0011874589999996132,0.0010419999999999874,0.0010010830000002358,0.0009191249999993545,0.0008107920000002267,0.0006822499999996623,0.0005823339999997401,0.00048024999999984885,0.0003699999999993153,0.00024570799999956705,0.0001922920000003714,0.00012516700000020364,6.90419999997971e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04690212700000007
