Contains move time for player Gambler; opponent is Roxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.002704624999999794,0.0026853329999996234,0.0030857500000003313,0.0024515420000001953,0.0023836250000002224,0.0022801669999994445,0.0022136670000003633,0.00214245800000068,0.0021434579999999315,0.001988875000000334,0.001964625000000275,0.0018621250000006029,0.0018025420000000736,0.0017006659999996288,0.0016406669999993184,0.0015361670000002547,0.001370584000000008,0.001295665999999862,0.0012902920000001927,0.0011636249999993353,0.0010604579999995423,0.0009690000000004417,0.0008802499999998048,0.0007898749999997179,0.0006906249999998337,0.0005641249999994713,0.00046975000000060163,0.00032779200000021547,0.00020166699999979443,0.00013258300000007495,6.95419999994229e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04586212599999939
2,0.0026479999999997617,0.0025396669999997457,0.002479750000000003,0.0024439579999997463,0.002327750000000073,0.0022376670000001653,0.0022219159999998794,0.002106584000000744,0.002033125000000524,0.001965375000000158,0.001905458000000415,0.0018007500000001286,0.0016626250000006948,0.0015804170000004447,0.0014906249999997456,0.0014760410000000945,0.0013603749999999692,0.0012451670000004356,0.0012000419999997902,0.0010988330000003543,0.0010387920000001216,0.0009331659999993747,0.0008359999999996148,0.0007685000000003939,0.0007611660000002018,0.0005830000000006663,0.0004415830000006338,0.0003283329999996809,0.00019200000000019202,6.841600000040415e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04377508100000416
3,0.002625958000000317,0.002581207999999613,0.002512083000000054,0.002451874999999326,0.0023357910000001425,0.0023298750000000368,0.0022122499999994716,0.0021342920000000376,0.002091959000000365,0.002031083000000322,0.0019423749999996076,0.0019069999999992149,0.0017877920000000103,0.0017054170000001534,0.0016179159999998305,0.0014890830000000577,0.0014108750000003667,0.0013294999999997614,0.0012417090000003128,0.0011145419999998296,0.0009814999999999685,0.0009003749999996202,0.0008001670000004069,0.0006867499999998472,0.0005970419999998811,0.0004900420000000238,0.0003799170000000629,0.0002802499999994268,0.0001760420000005425,5.8999999999365116e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044203667999997975
4,0.002715416000000026,0.002567791999999791,0.0024888340000002174,0.002423582999999674,0.002349624999999911,0.0022774999999999324,0.0022135830000005186,0.0021710409999995406,0.002096457999999579,0.0019627079999997576,0.0018530419999995829,0.0018234579999996114,0.0016849169999995084,0.0015660000000004004,0.001466999999999885,0.0013459999999998473,0.0013088750000003202,0.0012014169999998714,0.0010791659999993541,0.0009778340000003993,0.0009199170000000478,0.0007996249999999705,0.0008020420000001138,0.0006739160000002187,0.0005727090000000601,0.0005207089999998971,0.00048554199999983894,0.0002984169999997732,0.0001926669999994246,6.549999999982958e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429052929999969
5,0.0026229579999998975,0.0025567910000008354,0.0025418329999995493,0.002459791999999794,0.0023872919999998743,0.0022880000000000678,0.0022244169999998675,0.0021780829999995532,0.002140457999999512,0.001980542000000085,0.0019320409999998844,0.0018114169999998708,0.0017856670000000463,0.0016915839999995796,0.0016405000000005998,0.0015486669999997815,0.0014283750000005924,0.0013090829999997666,0.0012504160000004205,0.0011795409999999507,0.0010751659999996832,0.0010672079999993755,0.0008644590000006502,0.0007405000000000328,0.000633291999999841,0.0005091249999997771,0.0004201249999997714,0.0003224169999995752,0.0001980420000000649,0.0001384169999996132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044926207999997914
6,0.002636041999999783,0.002625999999999351,0.002524375000000134,0.0025042910000001584,0.0024786250000001786,0.0023049170000000174,0.00220420900000029,0.002150750000000201,0.002080708999999459,0.0019216249999995938,0.001919082999999766,0.001847500000000224,0.0018117090000000502,0.0016594169999999409,0.0016078329999995589,0.0015080840000001317,0.0014091670000002665,0.0013191250000001986,0.001273791000000024,0.0011321670000006279,0.0010605420000002752,0.0009661660000004346,0.0008743750000004269,0.000761792000000483,0.0006843749999996263,0.0005619170000006335,0.0004370420000006092,0.0003323750000001624,0.000205374999999286,7.350000000005963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04487687800000195
7,0.002660624999999861,0.0025762499999997246,0.0025037079999998824,0.0025491669999997413,0.002366666999999545,0.0022817499999998603,0.002195958999999803,0.002177875000000107,0.0020847499999998576,0.0020023330000000783,0.0019392909999993435,0.0018500829999998913,0.0017663749999998757,0.0017036250000002084,0.0016040409999993344,0.0015020000000003364,0.001383500000000204,0.00129287499999986,0.0012097090000002808,0.0011147080000002418,0.0010295840000003054,0.0008504589999995815,0.0007697079999999801,0.0006740409999999031,0.0005404170000007369,0.00046237500000056997,0.00037158399999981384,0.00028854099999975347,0.00017866700000013225,7.383300000007864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04400449999999889
8,0.002722499999999961,0.0026527499999993154,0.0025734169999998002,0.002512708000000252,0.0024648330000003327,0.0023695000000003574,0.002319417000000712,0.0021827089999995053,0.002069292000000722,0.001966750000000239,0.0018936670000000433,0.001827332999999598,0.0017871249999998895,0.0016962499999992886,0.0015775840000005203,0.0015179589999991805,0.0014134170000001944,0.0013315419999999634,0.0012655410000004252,0.001117707999999773,0.0010182499999995542,0.0009080830000005591,0.000824083000000364,0.0006910419999996975,0.0005947920000002327,0.0005433749999994575,0.0004568330000003229,0.0003289579999998793,0.0002086249999999623,7.695800000018238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044913001000000286
9,0.002704790999999318,0.002652083000000083,0.002557292000000544,0.0025159170000002007,0.0024151669999996628,0.002336041999999594,0.0022365830000001807,0.002196542000000079,0.002041166000000594,0.001959083000000028,0.0018365840000003075,0.001797958000000044,0.0017364159999999629,0.0016819169999999772,0.0015872089999993122,0.0014661249999994297,0.0013565829999997447,0.0012722499999995307,0.0011820829999997784,0.0010542920000000677,0.000977875000000239,0.000945875000000207,0.0008634160000005053,0.0007521669999999148,0.0006392499999998691,0.0005317919999994203,0.00041491699999962606,0.0003061669999997463,0.00018241599999946345,6.324999999929304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04426320799999672
10,0.00270249999999983,0.00262037500000023,0.0025547079999999056,0.002529625000000202,0.002500625000000589,0.0024524169999997625,0.0022269580000005007,0.0021630420000002815,0.0021019999999998262,0.0020127500000004517,0.0018677079999998014,0.0019427909999993886,0.0017552919999994643,0.001651916000000142,0.0015478749999999764,0.001487333000000035,0.00141295799999952,0.0013295829999995235,0.0012776660000000106,0.0011807499999996196,0.0010624169999999822,0.0009532919999992728,0.0008295419999999609,0.0007227920000003607,0.0005833339999998799,0.00047970899999949523,0.00041233299999987594,0.0002999589999994612,0.000181792000000236,5.970799999932552e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04490374999999691
