Contains move time for player MCTSMaxIterRemember50; opponent is Roxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,4.059304957999999,5.583000000086713e-06,3.5659621670000003,3.2316512500000005,3.2814105,4.541999999219115e-06,2.853032250000002,2.684795708000003,2.479241082999998,2.2623641250000013,2.0387923750000034,1.8981566659999984,1.7625731249999959,1.723808499999997,1.3244885419999974,1.1946263749999986,1.0810762089999955,0.9412089169999973,0.8555381669999989,0.6824636249999969,0.5705361250000038,0.44889145900000216,0.37599266699999845,0.2931348749999998,0.21608387500000248,0.14101645799999574,0.0930850830000054,2.6659999932121536e-06,0.015094791000002772,2.125000001740318e-06,0.0007698750000031396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.07511466599999
2,4.120154458000002,5.374999993534857e-06,3.6214539170000037,3.358747958000002,3.1916713750000056,2.926880167,2.753197957999994,2.464157,2.0347812080000125,2.0612580420000057,4.625000002533852e-06,1.7681875420000068,1.5417917910000085,1.4455692920000018,1.2918268329999876,1.1309384999999992,1.0030868750000081,0.8081329580000016,0.7462839169999995,0.630840916000011,0.5180307090000014,0.41345616700000676,0.32361204100000407,0.2523991670000072,0.19822308300000202,0.10912020899999675,2.4169999903733697e-06,0.028949000000011438,1.7499999955816747e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.74276525000006
3,4.080444374999999,4.625000002533852e-06,3.773535417000005,3.538862709,3.3241721670000004,3.011816499999995,2.9096634159999866,2.729515125000006,2.485771958000001,2.2793852920000006,2.1318259999999896,1.8941657080000027,1.7395728749999932,1.572633499999995,1.4030832500000088,1.2090117090000092,1.0642977910000013,0.707932332999988,0.8046838329999986,0.6676462089999973,0.5421848329999932,0.4371154159999975,0.3485822079999963,3.790999997477229e-06,0.20643912500000283,0.13068241599998487,0.07999591600000144,2.292000004899819e-06,0.032911291000004894,2.249999994319296e-06,0.001797750000008591,1.4580000140540506e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.10774353799998
4,4.273824625000003,4.499999988638592e-06,3.7602957500000116,4.119610125000008,2.9791409580000163,2.9513339169999995,2.869916125000003,2.646747750000003,2.4158060419999856,2.2026070000000004,2.095854416999998,1.8656185000000107,1.6680308340000067,1.4894574589999934,1.3522586249999904,1.1984028340000066,1.041136999999992,0.9340724589999923,0.7997518329999878,0.6681562919999919,0.5535639160000017,0.542345666000017,0.35819433300000014,0.28119454100001917,3.4169999878486124e-06,0.1427581250000003,0.09775662499998816,0.04902770900000064,2.417000018795079e-06,0.004764166000001069,1.8750000094769348e-06,0.00011333300000160307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.361753168000035
5,4.052368333000004,5.458000003955021e-06,3.6818598339999937,3.638923293000005,3.3267973750000124,2.9630247089999955,2.8950623749999806,2.633260207999996,2.4671920409999757,2.264715583999987,1.993107082999984,1.874290875000014,1.6919470420000096,1.5913486670000054,1.3757504169999777,1.275658582999995,1.1622592500000053,0.991437708999996,0.8162156249999839,0.7032341249999945,0.5669008339999948,0.46381187500000465,0.36805850000001783,0.32360404100001006,0.22234400000002097,0.15812470800000256,0.09683116700000483,0.054729499999979225,3.2080000096357253e-06,0.0019447079999963535,1.7910000167375983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.654812917999976
6,4.0877402920000065,3.6512313329999984,3.422378875000021,3.813163374999988,3.2975883750000037,3.0924523340000007,3.0259226249999926,2.6544417080000073,2.4444668329999786,2.1755121250000116,2.043570625000001,1.8059829580000155,1.616090249999985,1.4878238330000215,1.335879958000021,1.1288275829999748,1.0295995000000175,0.9359823339999593,0.7805002910000098,0.6251106249999907,0.5287678330000176,0.4301262920000113,0.32089133400000946,0.2652277079999976,0.15908291700003474,0.10134537499999396,2.7910000426345505e-06,0.008627790999980789,0.011663417000022491,2.04099995926299e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.280003331000074
7,4.0418056670000055,4.9580000336391095e-06,3.7373542079999993,4.666999984692666e-06,3.1054169999999885,5.708000003323832e-06,1.6327424579999956,7.106787958999973,7.37499999559077e-06,2.9537650419999864,2.2530290830000013,1.8519502500000158,3.292000030796771e-06,1.7810752919999686,2.0062011659999825,1.3711849999999686,1.358533542000032,1.200219666999999,1.0917032080000126,0.9323803749999797,0.8497928329999809,0.6597948329999781,0.5419473750000066,0.45648274999996374,0.370528290999971,0.2660925409999777,0.20341783300000316,0.14237987499996052,0.0896878330000277,0.04679166599999007,0.01359366700000919,2.375000008214556e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.064687788999834
8,4.128778082999986,3.8800175420000187,1.1083000003964116e-05,4.262010999999973,3.196275958000001,2.9357815829999936,2.7832525000000032,2.636586375000036,2.3858291660000077,2.182520957999998,1.9999032089999673,1.8069901249999702,1.6272857499999986,1.5547767080000199,1.5008548330000053,1.1893400410000368,0.9987738330000298,0.8687496669999746,0.7974958749999814,0.6350235000000453,0.5189272499999902,0.5094420839999998,0.33688841600002206,0.3166919999999891,0.16317462500001056,0.10704891700004282,0.06891329199999063,4.665999995268066e-06,0.007491833000017323,2.3749999513711373e-06,0.00011233399999355242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.39895558100005
9,4.109949832999973,3.663034375000052,3.5638217080000345,3.0562306659999763,3.086931416000027,2.9882307089999927,2.7705270419999692,2.6927969159999634,2.499425125000016,2.3413384169999745,2.006303207999963,1.7800162079999495,1.6135717500000055,1.4242189160000294,1.257586042000014,1.124184458000002,1.033815250000032,0.9140952909999669,0.7392626250000376,0.618991957999981,0.5232999169999744,0.43854641699999775,0.34721666699999787,0.2701499170000261,0.2690801249999595,0.13227766699998256,0.07977387500000077,0.03428466700000854,1.9580000412133813e-06,0.002034208999987186,0.0009458750000135296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.38194320699995
10,4.0741321250000055,4.541000009794516e-06,3.7227750420000234,3.175602958000013,3.2782198749999907,3.143567083999983,2.8883271249999893,2.573047792000011,2.4689076669999963,2.2704101659999765,2.1577913330000342,1.9188694999999711,1.733749624999973,1.5223270829999933,1.3345724999999788,1.2309324170000195,1.077305458000012,0.9390442499999949,0.8189723749999871,0.6915086660000043,0.5853692079999746,0.4951440000000389,0.4073637500000018,0.3170925000000011,0.2415625000000432,0.16178595799999584,0.12444066599999815,0.05575620799999115,2.082999969843513e-06,0.005744959000026029,1.9579999843699625e-06,0.00011666700004298036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.414448039000035
