Contains move time for player Roxanne; opponent is Gambler
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.002850417000000327,0.0026767500000000055,0.0025624589999999614,0.0025122499999996606,0.002433292000000087,0.0024167500000000786,0.0022831249999999415,0.0021901250000002648,0.00214137499999989,0.002043917000000839,0.001976459000000652,0.0018814999999996473,0.0017927500000007868,0.0017905830000000122,0.0016078749999994812,0.0015564159999996718,0.0014537080000005531,0.001369458000000101,0.001321875000000361,0.0011707080000000758,0.0010269170000007932,0.000924083000000131,0.0008330000000000837,0.0007425000000003124,0.0005932499999996566,0.00047233399999946357,0.0004077089999992012,0.00029408300000000054,0.0002409999999999357,0.00010316699999979306,5.829100000021015e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04572812600000198
2,0.002755332999999638,0.0026042500000000857,0.002524624999999503,0.0025079999999997327,0.002390249999999483,0.0023612499999998704,0.002264459000000052,0.00225279200000017,0.0021675839999995006,0.0020853330000001336,0.002026832999999506,0.0020524169999998065,0.001867833000000374,0.0018034580000003686,0.0016896659999998676,0.0015707090000001145,0.001510834000000294,0.0014224590000004866,0.0013032080000003887,0.001195499999999683,0.0010835409999998546,0.0010183750000001268,0.0009337080000006992,0.0008862090000008038,0.0006841670000001798,0.000514999999999155,0.00043333300000014674,0.0003292909999998983,0.0002350419999999076,0.0001357909999999407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04661124999999977
3,0.00269916700000028,0.0026311249999997344,0.0025913749999997293,0.0024410839999999823,0.0024042079999997412,0.002412624999999835,0.002291167000000094,0.0022497500000007165,0.002126999999999768,0.0020407499999999246,0.001900458999999799,0.0018015000000000114,0.0017117920000000453,0.0016822909999998359,0.0016867500000001812,0.0015348750000008238,0.0014233749999998935,0.0013139170000000533,0.0012320410000006277,0.001142333999999856,0.0010234589999997823,0.0009226660000001274,0.0008321250000005165,0.0007431669999995449,0.0006550409999999118,0.0005282920000002633,0.000427417000000041,0.0003533750000004332,0.00025141600000022635,0.00013741600000027887,7.733300000012377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04526929200000218
4,0.0026626249999992524,0.0026547919999995173,0.0024993340000003528,0.0024724999999996555,0.0025215829999991612,0.002369374999999785,0.0022596249999997653,0.0021600829999997018,0.0021525000000002237,0.002028250000000398,0.0019559579999999244,0.0019041250000002563,0.0018694999999997464,0.0017658749999993617,0.0016815420000000358,0.0015949580000000907,0.0014813330000000846,0.0014166250000000602,0.0012796249999995624,0.0011872080000001617,0.0011234580000003547,0.0009820420000004049,0.0008981669999998942,0.0007434159999997192,0.0006797079999998346,0.0005680410000001856,0.0004376669999999194,0.00031312499999991417,0.0002624999999998323,0.0001360410000001977,8.46670000003158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04614624799999767
5,0.002664957999999551,0.0026156249999997883,0.0025199999999996336,0.0025473339999999567,0.002433374999999849,0.0023515410000003456,0.0023029580000004657,0.002196416000000312,0.002142917000000466,0.0020355409999996965,0.0020180830000002814,0.0018632499999995389,0.00173924999999997,0.0016836660000008052,0.0015704590000007457,0.0015459169999996192,0.0013774169999996033,0.0012812079999999781,0.0011942500000001743,0.0011293339999998153,0.0010559579999993574,0.000991667000000085,0.0008537080000001751,0.0007213329999995466,0.0006246670000003007,0.0005276670000000649,0.000419499999999573,0.00033745799999973514,0.00024333300000023428,0.0001079580000000746,7.179199999995944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451685399999997
6,0.002680958000000011,0.002629125000000343,0.002546290999999812,0.002449583999999838,0.0024145420000003526,0.0023640829999997948,0.002238832999999829,0.0021663749999998316,0.0021031250000005386,0.0020174590000001658,0.0019219999999995352,0.0018434579999997425,0.001722499999999627,0.0017164159999998319,0.0015782499999996702,0.0014188330000006744,0.0013189579999997036,0.0012533330000001897,0.0012039169999997767,0.0011004580000006925,0.0010164169999997696,0.0009450829999995136,0.0008590000000001652,0.0006860839999998092,0.0005899999999998684,0.0005023330000000215,0.00039695799999961423,0.0003181249999997249,0.00022262499999925467,0.00011770900000040996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04434283199999811
7,0.0027532500000004845,0.0026265409999997047,0.002576333000000375,0.0024817500000002823,0.002416625000000394,0.002393666999999766,0.00233824999999932,0.0023428750000000775,0.002197208000000117,0.002078416999999888,0.001965124999999901,0.0019131670000005485,0.0018313750000000795,0.00174616699999941,0.001638666999999927,0.0015231250000002916,0.001464000000000354,0.0013517920000003514,0.00125133299999991,0.0011524170000001277,0.0010272080000000017,0.0009841249999995583,0.0009225000000006034,0.0008407090000002171,0.0007070000000002352,0.0006081249999994043,0.0004885830000000979,0.0003640420000001754,0.00025158400000080405,0.0001428340000000361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04637879400000244
8,0.0028336659999999014,0.002737375000000597,0.00266195800000002,0.002565125000000279,0.0025162080000002973,0.0024722080000003643,0.0024152080000003906,0.0023402499999995996,0.0022876250000001264,0.0022250839999999883,0.0021545830000002653,0.0020373329999996415,0.0019482080000008395,0.0018320410000001175,0.0017579169999999422,0.0016706250000000367,0.001575250000000139,0.0014537499999995873,0.0012917080000001135,0.0011680419999997582,0.0011069589999994633,0.0010154580000003577,0.0009350000000001302,0.0008208749999996101,0.0007187500000007674,0.0006059169999996783,0.00047795899999947267,0.00037549999999964,0.000223917000000462,0.00012116699999964453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04834566600000123
9,0.00277766700000015,0.0026945420000004106,0.0026028750000000045,0.0025837079999995183,0.002500792000000196,0.002444958999999969,0.0023901249999997987,0.0022602499999999637,0.0022524170000002286,0.002091208999999594,0.0020798749999997312,0.001985999999999599,0.001877458000000054,0.0018166669999999385,0.001652957999999316,0.0015834579999998155,0.0014534169999995683,0.0013762499999998568,0.0012667080000001718,0.0011938749999993448,0.0010679160000002241,0.0009782500000001804,0.0008183339999998651,0.0007407090000004501,0.0006593750000005727,0.000582708000000487,0.0004967080000000124,0.00037458299999926226,0.0002565420000006924,0.00013591700000059603,7.966700000050508e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04707591900000008
10,0.002757292000000078,0.0026775830000005385,0.0025935000000005815,0.002550249999999643,0.002461124999999953,0.002480041999999294,0.0022663749999995986,0.002182749999999345,0.002104874999999673,0.0020393340000000038,0.0020107910000000118,0.001959333000000285,0.0019391669999997418,0.0017911249999995604,0.0016957079999997404,0.0015677920000003454,0.001462291000000171,0.0013247500000002077,0.00123891699999934,0.0011498750000003,0.0010304590000007607,0.00090937499999999,0.000805291999999902,0.0007490839999997334,0.0006532500000000496,0.0005777500000005986,0.0004682499999999479,0.00036591700000077054,0.00026304100000018593,0.00013670799999943029,7.074999999989728e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04628275099999968
