Contains move time for player Roxanne; opponent is StaticBoard4
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.002507415999999374,0.0024797080000000804,0.002397292000000384,0.0023870419999996173,0.0022665420000000935,0.0022975000000009516,0.0022240409999998434,0.0021090419999989507,0.0020006250000008663,0.001925292000001022,0.0018618329999995353,0.001790249999999105,0.0016993750000011687,0.001567582999999928,0.0014392079999989704,0.0014917079999996474,0.001424291999999383,0.0012901660000004256,0.001163334000001015,0.0011013749999975175,0.0009894999999993104,0.0009192089999991992,0.0008182910000016363,0.0007287500000003888,0.000631667000000391,0.0005298750000015673,0.00041912499999696706,0.0003116660000017646,0.00019458299999897122,7.66670000018621e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04304295699999994
2,0.002560500000001298,0.0025360000000027583,0.0024650830000005897,0.0024256670000006864,0.0023811669999993512,0.002329124999999266,0.002290832999999992,0.002166415999997895,0.0020800409999992553,0.0019800409999994883,0.0019257089999982213,0.0017951250000010077,0.001728540999998529,0.0017358329999979105,0.0016311249999994004,0.0016222500000004914,0.00146458300000063,0.0013670830000016565,0.0012725000000024522,0.0011949589999993293,0.0010957090000012215,0.0009697500000029891,0.0008295830000015769,0.000707667000000356,0.0005941249999992237,0.0004914999999989789,0.00038954100000054837,0.0002687080000001174,0.00015170800000063878,0.00010416699999993284,5.874999999733177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04461378900000312
3,0.002554708000001682,0.00251070900000272,0.0024337080000016442,0.00243733300000315,0.0024109169999988467,0.002316916999998142,0.00215350000000214,0.0021577919999984374,0.002104374999998271,0.0020191250000003436,0.0019299589999981492,0.0018615420000003269,0.0017277080000006606,0.0016138749999967672,0.0015530419999976175,0.0015403749999975958,0.0014186249999994516,0.0013103329999992752,0.001218749999999602,0.0010714579999984153,0.000986165999997013,0.0009427909999999429,0.0008251659999984895,0.0006967079999995462,0.0005918339999979594,0.0004673329999960174,0.0003539589999945747,0.00024354100000323342,0.00021241700000018682,0.00013087500000352748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04379554099998373
4,0.0025699589999987893,0.002495457999998507,0.002411958000003267,0.002412792000001218,0.0024947920000002455,0.0023510840000042776,0.0022758750000022587,0.002222459000002175,0.0021768330000000446,0.0020027500000026066,0.0019457090000045696,0.0020090000000010377,0.0017932499999986362,0.001769875000000809,0.0015722079999989091,0.00149054099999546,0.0015528750000015634,0.0013402499999983775,0.0012222500000049763,0.0011037499999986267,0.001027415999999448,0.0009359579999994594,0.0008791670000007912,0.000735790999996766,0.0006240829999981656,0.0005183330000022579,0.0004125419999994051,0.0002827920000001427,0.00016737499999663896,5.466700000056335e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04485179200000999
5,0.0025618339999979867,0.002639500000000794,0.0024742080000024202,0.002396708999995667,0.002350249999999221,0.002310500000000104,0.002293541000000232,0.002189667000003226,0.002097958000000233,0.0020376659999996605,0.001943499999995879,0.0018463329999960365,0.0017708329999948091,0.0017423749999991855,0.0015772500000039713,0.0014886250000003542,0.0013382499999963215,0.001252582999995866,0.0012537909999963404,0.0011081250000017917,0.001015291999998169,0.0009032500000003552,0.000801832999997032,0.000709374999999568,0.0005962500000009641,0.00046479100000595963,0.00037537499999729107,0.0002518749999964598,0.00018533300000456165,5.679099999866821e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04403366299997913
6,0.00256437499999862,0.002687792000003242,0.0024711249999995744,0.002437999999997942,0.0023472909999995295,0.0023473749999993743,0.0022921670000002337,0.0021779579999972043,0.0019475409999998305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127362399999555
7,0.0026260409999991907,0.0025310830000009332,0.002467249999995147,0.0023674999999983015,0.002334749999995722,0.0023275830000031306,0.002281582999998477,0.002196542000000079,0.002085125000000687,0.0020262080000037486,0.0018632919999959086,0.0017586250000078962,0.001765542000001119,0.001648500000001718,0.0015437919999925498,0.0014696249999985866,0.001398833999999738,0.0013109590000084381,0.0012202500000029204,0.0011149159999916947,0.0009894580000064934,0.0009071669999940468,0.0008642079999958696,0.0008069170000055692,0.0006579159999944295,0.0005545829999960006,0.00044816599999819573,0.0003280420000066897,0.00020512500000791078,0.0001351670000104832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044234749000011675
8,0.002998833999996009,0.0025190000000065993,0.0024962079999966136,0.0024060420000040494,0.002380082999991373,0.002353208999991807,0.002348875000009798,0.0022293749999988677,0.0021171249999980546,0.0020122079999964626,0.0019497910000012553,0.0018540420000050517,0.0017823750000047767,0.0016849590000020953,0.0015731249999930697,0.0014723749999916436,0.001390916999994829,0.0013576249999971424,0.001170083999994631,0.001041750000013053,0.0009516249999990123,0.0008277090000063936,0.0007413339999970958,0.0006206250000104774,0.000521959000010952,0.0004269580000055839,0.0003740829999969719,0.00028374999999414285,0.00017250000000501586,7.449999999664669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044133045000009474
9,0.002601083000001836,0.002565124999989621,0.0024569169999892893,0.0024362909999950944,0.002392374999999447,0.0023347910000097727,0.002259584000000814,0.0021825830000068436,0.00210087500001066,0.002104291000009084,0.0019390829999963444,0.0018345409999938056,0.0017648749999921165,0.0016924999999901047,0.0015907500000054142,0.0014509159999960275,0.0014315829999986818,0.0013020419999918431,0.001207374999992794,0.0011028329999902553,0.001039042000002155,0.0009039159999986168,0.0008317499999890288,0.0007260000000002265,0.0006048750000076097,0.000491291999992427,0.0003816250000028276,0.00027537500000107684,0.0001575830000035694,0.00012712499999167903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044288995999949066
10,0.0027721670000033782,0.0025480829999935395,0.0024487499999992224,0.002388624999994704,0.0023577500000016016,0.002347874999998112,0.0024911670000022923,0.0021614999999997053,0.002027166000004854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02154308299999741
