Contains move time for player Roxanne; opponent is MCTSMaxIterRemember50
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0028284999999996785,0.002579082999998761,0.002547665999999893,0.0024002080000009585,0.002465958000001933,0.0022820839999972975,0.002242917000000233,0.0021543330000000083,0.002278708000002183,0.0020063329999970847,0.0019392919999958735,0.0018859170000027348,0.0019053339999999253,0.0017671250000006467,0.001652332999995565,0.0016112499999962893,0.0015025000000008504,0.001431541000002312,0.0012964999999951488,0.0012388330000021597,0.0011138750000014852,0.0009865419999997016,0.0008183330000051114,0.0006919580000044334,0.0006351250000022901,0.0005678329999980747,0.00047462499999539887,0.00034329199999660887,0.00027579200000360515,0.00016149999999726106,9.94170000012673e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04618470699999477
2,0.002518375000001072,0.002500834000002783,0.002471875000004786,0.0024376249999988886,0.002359792000000027,0.0023162499999997976,0.002296332999996764,0.0022271660000114935,0.0021382910000085076,0.0020981250000033924,0.002018292000002475,0.0020079170000002478,0.0019462919999995165,0.0018894170000010035,0.0017661250000031714,0.0016616249999970023,0.001535040999996795,0.0014613329999946245,0.001347249999994915,0.0012764590000102771,0.0011407500000046866,0.0010046250000073087,0.0009130830000003698,0.0008565840000045455,0.0007757919999988871,0.0006439999999940937,0.000523333000003845,0.00044683299999803694,0.0003404999999929714,0.0002779579999980797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047197875000030365
3,0.002549833000003332,0.0024993749999993042,0.0024549999999976535,0.002355750000006651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009859958000006941
4,0.0025668339999924683,0.0025226670000080276,0.0025244169999893984,0.0024284579999971356,0.002397249999987139,0.002351000000004433,0.002245207999990839,0.0021881669999999076,0.0021533749999917973,0.0021111249999989923,0.0020434999999991987,0.0018613329999936923,0.001803874999978916,0.0016845000000103028,0.001619208000022354,0.0015803329999926063,0.0014416669999945952,0.0013830409999968651,0.0012856670000189752,0.0012086670000144295,0.0010768329999848447,0.0009649159999867152,0.0008529159999852709,0.00076204199999097,0.0006494589999874734,0.0005374579999966045,0.00042979200000559104,0.00035966699999789853,0.0002594999999985248,0.00013724999999453757,7.987499998307612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04550999999989358
5,0.0025269999999864012,0.002527791999995088,0.002463833999996723,0.0023956659999839758,0.0023997920000056183,0.002324708000003284,0.0022616249999884985,0.0021443329999897287,0.0020715419999817186,0.002087125000002743,0.0020142090000092594,0.001927166999990959,0.0018210420000173144,0.0017606250000028467,0.0016774999999995543,0.0015720000000101209,0.0014629169999977876,0.0013644999999939955,0.0013018750000242107,0.0011634579999793004,0.001067790999996987,0.0009262499999920237,0.0008546249999881184,0.0007387919999928272,0.0006721670000047197,0.0005581250000261662,0.0004527080000116257,0.00039262499998926614,0.00028458300002398573,0.00021787500000414184,0.0001368329999991147,7.504099997390767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04564612499996201
6,0.002589958000015713,0.0025609589999930904,0.002666707999992468,0.0024434999999982665,0.002349916999975221,0.0022651250000080836,0.002237082999982931,0.0021819579999942107,0.0021475829999815232,0.0021795410000038373,0.0022344999999859283,0.0020313750000013897,0.001834333999994442,0.0018050420000008671,0.001671916999981704,0.0015762090000066564,0.0014530839999906675,0.0013732500000003256,0.0012704580000217902,0.0011426249999999527,0.0010524589999931777,0.0009427909999999429,0.0008568330000002788,0.0008312079999939215,0.000703749999985348,0.0005506659999809926,0.0004561669999816331,0.0003695000000050186,0.00031125000000997716,0.00019520800000805139,0.00013162499999452848,6.74160000073698e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04648399899988931
7,0.0025620000000117216,0.00253170799999225,0.0025072500000078435,0.002457624999976815,0.002386916999995492,0.002349916999975221,0.002304624999993621,0.0022163750000174787,0.0021643750000066575,0.002049417000023368,0.002024917000028381,0.001951249999990523,0.0018887500000346336,0.0017811669999900914,0.0016513749999944594,0.0015040420000218546,0.0014667909999843687,0.0013650829999960479,0.0012238750000506116,0.0011188330000209135,0.0010103340000000571,0.0009084589999588388,0.0008325830000330825,0.000686125000015636,0.0006045000000085565,0.0005280000000311702,0.00046000000003232344,0.00037095800001907264,0.0002757909999786534,0.00021883299996261485,0.00010924999997996565,5.420800005140336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04556533300018373
8,0.002606249999985266,0.0025989590000108365,0.0024758329999485795,0.0023848750000183827,0.0023433750000094733,0.002337791999991623,0.0025978339999710442,0.002132374999973763,0.0021048749999863503,0.002059750000000804,0.0020361670000283993,0.0018467500000269865,0.001873582999962764,0.0017562090000069475,0.001569834000008541,0.0014501669999731348,0.001365540999984205,0.001425749999953041,0.006837333000021317,0.0011030000000005202,0.0010309170000368795,0.0012390830000299502,0.0010073330000182068,0.0007643750000170257,0.0006409999999732463,0.0005712500000072396,0.00048116600004277643,0.0006895829999962189,0.00026820800002269607,0.00022504200001094432,0.0001375420000044869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05196175100002165
9,0.0025861250000502878,0.0027292919999695187,0.002513208000038958,0.002465999999969881,0.002368166999985988,0.0022818749999942156,0.002315375000023323,0.002202458999988721,0.0021385410000220872,0.0021579169999768055,0.002047915999980887,0.001977457999998933,0.0019350000000031287,0.0017772499999750835,0.001662708000026214,0.001593415999991521,0.0014902910000387237,0.001323334000005616,0.0012553340000067692,0.0011492090000047028,0.0010526249999998072,0.00100208300000304,0.0009017079999580346,0.0007637920000433951,0.000656625000033273,0.0005902080000055321,0.00047312500004181857,0.00036766699997770047,0.00024412499999471038,0.00017616700000644414,8.012500001086664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04627912500012599
10,0.002578167000024223,0.0025263329999916095,0.002485625000019809,0.0024627080000527712,0.004043249999995169,0.0023023749999993015,0.0022762500000226282,0.0021914579999702255,0.0021484580000219466,0.002168874999995296,0.0020197089999669515,0.001911584000026778,0.0018973330000449096,0.001844375000018772,0.001693417000012687,0.0015973750000171094,0.0015164999999797146,0.0014149159999874428,0.0012748749999786924,0.0012015840000003664,0.0012362499999767351,0.0011312080000038804,0.0008432500000026266,0.000688167000021167,0.000577082999996037,0.000499499999989439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04653062500011629
