Contains move time for player Roxanne; opponent is AlphaBeta7
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0029010419999995207,0.002568291999999417,0.002550750000004598,0.0025284580000004553,0.0025092079999922134,0.0023910419999992882,0.002328833999968083,0.002173624999954882,0.00211995899996964,0.002095749999966756,0.001960583000027327,0.0018650000001798617,0.001718750000009095,0.0016207909998229297,0.00493216700033372,0.003859875000671309,0.001532790999590361,0.001217707999785489,0.0011957500000789878,0.0010033750004367903,0.0009802909999052645,0.0009070839996638824,0.0008481670001856401,0.0007388329995592358,0.0006610410000575939,0.0005587499999819556,0.0004465000001800945,0.00043345900030544726,0.00035270900025352603,0.00023520800004916964,0.00013575000048149377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05137154200141403
2,0.002779499999633117,0.002644749999490159,0.002539291999710258,0.002472250000209897,0.002410332999716047,0.0023626669999430305,0.0022798750005676993,0.002216082999439095,0.011656291000690544,0.0020857089994024136,0.014426374999857217,0.0031967080003596493,0.00288616599937086,0.0016960839993771515,0.0015311249999285792,0.0015057499995236867,0.0013993329994264059,0.0013861670004189364,0.0012582919998749276,0.0011552500000107102,0.0010863340003197663,0.0009337499996036058,0.0009929170000759768,0.0009178749996863189,0.000554750000446802,0.0005357499994715909,0.00042720800047391094,0.0003527079998093541,0.0002512499995646067,0.00015337500008172356,0.000135541999952693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07022945899643673
3,0.002711666000323021,0.005068625000603788,0.0029123340000296594,0.002516375000595872,0.002477584000189381,0.0024092920002658502,0.0023095409997040406,0.0021820830006618053,0.0020586670007105567,0.002002959001401905,0.002051707999271457,0.001840791999711655,0.0017275419995712582,0.001599833000000217,0.001532708000013372,0.007520125000155531,0.0014011250004841713,0.0013576250003097812,0.001585957999850507,0.001051084000209812,0.0009228330000041751,0.0008693749987287447,0.0008450830009678612,0.0009565000000293367,0.0008113750009215437,0.0006510420007543871,0.0005598749994533136,0.0004609579991665669,0.00037516700103878975,0.0002672499995242106,0.00015574999997625127,0.00012233399866090622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05531516800328973
4,0.0027468329990369966,0.0025901249991875375,0.00259912500041537,0.002559458000177983,0.0023794589997123694,0.002361541999562178,0.0022933329983061412,0.009763791000295896,0.0020544590006466024,0.0019434999994700775,0.0018165000001317821,0.005860834000486648,0.0016554579997318797,0.001592417000210844,0.0014789589986321516,0.001361000002361834,0.0012266669982636813,0.0012415409983077552,0.001168374998087529,0.001083499999367632,0.0010330830009479541,0.0009427920012967661,0.0008135419993777759,0.0007859170000301674,0.0006790830011595972,0.0006126250009401701,0.000472041003376944,0.00045616599891218357,0.00037983299989718944,0.0002806669981509913,0.00015241700020851567,0.00010966599802486598,6.245800250326283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05655716599721927
5,0.002728916999330977,0.00260320899906219,0.0025071659983950667,0.0025081249987124465,0.0023707500004093163,0.0023548749995825347,0.002293083001859486,0.005333583998435643,0.0020147920004092157,0.0073338750007678755,0.01081908400010434,0.013738834000832867,0.001621166000404628,0.009728291995998006,0.0015381250050268136,0.0013812910037813708,0.006823750001785811,0.0012564580028993078,0.0011849169968627393,0.0011192499950993806,0.0010839589958777651,0.0009576669981470332,0.0008571250000386499,0.0007439999972120859,0.0006726659994455986,0.0005613339963019826,0.000502790993778035,0.00046145800297381356,0.0004127080028411001,0.00036787499993806705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08788112598631415
6,0.002711250002903398,0.010959624996758066,0.0025753340014489368,0.002514958003303036,0.002433333000226412,0.0026802919965120964,0.004862082998442929,0.010182999998505693,0.0033610840036999434,0.0020104590003029443,0.0018537079959060065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04614512599800946
7,0.002672791997611057,0.004319749998103362,0.00857295799505664,0.002544791997934226,0.0023855420004110783,0.003587708000850398,0.0022241660044528544,0.002106291998643428,0.0020564580045174807,0.0020364590018289164,0.001920791000884492,0.0017821669971453957,0.0017167080004583113,0.001636834000237286,0.001481040999351535,0.0014174160023685545,0.0013737920016865246,0.0012600000045495108,0.0011943339995923452,0.0011000840022461489,0.0010269580016029067,0.000884000000951346,0.0008082080021267757,0.0007275000025401823,0.0006777919988962822,0.0005697090018657036,0.0004896669997833669,0.0003455419937381521,0.00024012500216485932,0.00023833299928810447,0.00011108299804618582,6.075000419514254e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05356975101312855
8,0.002701917001104448,0.014404791996639688,0.005178875006095041,0.0024478749983245507,0.002383834005740937,0.002387874999840278,0.0022415830026147887,0.0021933329990133643,0.002150874999642838,0.0020363340008771047,0.0018753750046016648,0.0017987079991144128,0.0017288329981965944,0.0016167499998118728,0.0015417910035466775,0.0014512919951812364,0.0013972500019008294,0.0013876250013709068,0.0012593329956871457,0.0011596659969654866,0.0010265419987263158,0.0009504999979981221,0.0008365000030607916,0.0007180419997894205,0.0006495420020655729,0.0005762500004493631,0.0004396250005811453,0.00031091600249055773,0.00018699999782256782,0.00016395800048485398,6.758399831596762e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05927037500805454
9,0.0026693750041886233,0.004874625003139954,0.002528042001358699,0.002580209002189804,0.0023805000018910505,0.00238425000134157,0.0023122909988160245,0.002190416998928413,0.002102332997310441,0.0020082499977434054,0.0019369580040802248,0.001871833999757655,0.0018205829983344302,0.00174108400096884,0.0016972910016193055,0.0015687920022173785,0.0014682920009363443,0.0013726670003961772,0.0012301250026212074,0.0011542919964995235,0.001055583001289051,0.0009341669938294217,0.0008631660020910203,0.0007515840043197386,0.0006705419946229085,0.0006002080044709146,0.0004652500065276399,0.00036545799957821146,0.00023374999727820978,0.0001625419972697273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047994460015615914
10,0.0026802499996847473,0.002602625005238224,0.0026157920001423918,0.0025345829999423586,0.0024142499969457276,0.002356958997552283,0.002307167000253685,0.0022687090022373013,0.002190208004321903,0.0021344999986467883,0.001980000000912696,0.001853458998084534,0.0018588330058264546,0.0017651250018388964,0.001603291995706968,0.0015627079992555082,0.0014350830024341121,0.001307541002461221,0.0012207499967189506,0.0011595000032684766,0.0010339159998693503,0.0009127910016104579,0.0008275840009446256,0.0007491669966839254,0.0006563749993802048,0.0005254170027910732,0.0003840830031549558,0.0003392080034245737,0.000345499996910803,0.0002490839979145676,0.00013349999790079892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046007959012058564
11,0.002671499998541549,0.002577457998995669,0.0025197089998982847,0.0025176249982905574,0.002369792004174087,0.002317540995136369,0.0022312080036499538,0.005097833993204404,0.0020571249988279305,0.0019566659975680523,0.004830083998967893,0.005176375001610722,0.0016712500000721775,0.004909124996629544,0.0015079169970704243,0.0014138340047793463,0.001292415996431373,0.0012159170000813901,0.0011004170009982772,0.0010155839991057292,0.0009222500011674128,0.0008940420011640526,0.000770874998124782,0.0007491249998565763,0.0007548749999841675,
