Contains move time for player Gambler0; opponent is StaticBoard4
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.005723126232624054,0.005501195788383484,0.005372803658246994,0.005157988518476486,0.004979308694601059,0.004892304539680481,0.004828479140996933,0.004634663462638855,0.004487454891204834,0.004338439553976059,0.004185888916254044,0.003929559141397476,0.0036393217742443085,0.0034436583518981934,0.0032423287630081177,0.003131706267595291,0.002904210239648819,0.002713773399591446,0.0024876296520233154,0.002307325601577759,0.002063017338514328,0.0018663108348846436,0.0016889795660972595,0.0015099607408046722,0.0013144463300704956,0.0011461935937404633,0.0008881092071533203,0.0006168447434902191,0.00043286383152008057,0.00026172026991844177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09368961304426193
2,0.005696229636669159,0.0054652877151966095,0.005301680415868759,0.0052298493683338165,0.005063008517026901,0.004829980432987213,0.004659164696931839,0.004547063261270523,0.0043065473437309265,0.004255909472703934,0.004069637507200241,0.004069488495588303,0.0038449056446552277,0.0035992003977298737,0.0033721625804901123,0.0032159239053726196,0.003009568899869919,0.002863958477973938,0.002636358141899109,0.0023405812680721283,0.0020646899938583374,0.0018831975758075714,0.0017267055809497833,0.0015640892088413239,0.0013675466179847717,0.0011856593191623688,0.0009723380208015442,0.0007152147591114044,0.0005065985023975372,0.0002766028046607971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09463914856314659
3,0.005857124924659729,0.005689654499292374,0.005518730729818344,0.005413137376308441,0.0052539147436618805,0.004889529198408127,0.0047296322882175446,0.004531387239694595,0.004367019981145859,0.00426255539059639,0.004059270024299622,0.0038610659539699554,0.0036857575178146362,0.0035709477961063385,0.0032952502369880676,0.003135107457637787,0.0028931908309459686,0.0026780590415000916,0.00250248983502388,0.0022833049297332764,0.0020933449268341064,0.0018991418182849884,0.0016598105430603027,0.0014270991086959839,0.001270350068807602,0.0010780319571495056,0.0008235275745391846,0.0005863495171070099,0.0005156435072422028,0.00033478811383247375,0.00011849775910377502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09428371489048004
4,0.005732007324695587,0.005461640655994415,0.005251727998256683,0.00518147274851799,0.0049981772899627686,0.004784885793924332,0.004623819142580032,0.004543613642454147,0.00442688912153244,0.004336174577474594,0.004126012325286865,0.003918565809726715,0.003711216151714325,0.003487706184387207,0.0033135302364826202,0.0031122155487537384,0.0029348991811275482,0.0026665255427360535,0.00249442458152771,0.0022406093776226044,0.0020055584609508514,0.0018183402717113495,0.0016687959432601929,0.0013853423297405243,0.0011976063251495361,0.0010264478623867035,0.0007852464914321899,0.0007422454655170441,0.0005565769970417023,0.00034508854150772095,0.0001397840678691864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09301714599132538
5,0.0057649873197078705,0.005454264581203461,0.0052738189697265625,0.005136076360940933,0.005024615675210953,0.004840567708015442,0.004764717072248459,0.00454920157790184,0.004434254020452499,0.004219949245452881,0.003931701183319092,0.0038312040269374847,0.003457646816968918,0.003246515989303589,0.0031097345054149628,0.0029615946114063263,0.002866685390472412,0.0026546604931354523,0.0024265125393867493,0.002246428281068802,0.002070032060146332,0.0018635503947734833,0.001651085913181305,0.0014137662947177887,0.0011938177049160004,0.0010065697133541107,0.0008000507950782776,0.0007299445569515228,0.0005747117102146149,0.00036325305700302124,0.00011915341019630432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09198107197880745
6,0.005729097872972488,0.005481302738189697,0.005314156413078308,0.00515027716755867,0.0050292909145355225,0.004836022853851318,0.004658807069063187,0.004554353654384613,0.004438269883394241,0.004249114543199539,0.004159852862358093,0.003929104655981064,0.0038462579250335693,0.003586992621421814,0.003351878374814987,0.003216218203306198,0.0029643885791301727,0.0027905888855457306,0.002603735774755478,0.00237833708524704,0.0021912381052970886,0.001963309943675995,0.001746300607919693,0.0015111565589904785,0.0013172775506973267,0.0010788999497890472,0.0008677095174789429,0.0006311386823654175,0.00044409558176994324,0.0002138391137123108,0.000143490731716156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09437650442123413
7,0.005748722702264786,0.005477268248796463,0.0053564682602882385,0.00516325980424881,0.005004875361919403,0.004891898483037949,0.004667535424232483,0.004401847720146179,0.004290733486413956,0.004091661423444748,0.0039371103048324585,0.003962129354476929,0.0037972889840602875,0.0035958588123321533,0.003445371985435486,0.003264099359512329,0.0030547790229320526,0.002892136573791504,0.0026847459375858307,0.002453017979860306,0.0022553391754627228,0.0020084939897060394,0.0018152520060539246,0.0016429349780082703,0.0013882927596569061,0.0011698827147483826,0.0009121187031269073,0.0006938129663467407,0.000504959374666214,0.0002782568335533142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09485015273094177
8,0.005863398313522339,0.0056696683168411255,0.005547914654016495,0.005403831601142883,0.005260996520519257,0.005126059055328369,0.005008682608604431,0.0047820620238780975,0.004647713154554367,0.004496771842241287,0.004249200224876404,0.00408722460269928,0.003748103976249695,0.0036513544619083405,0.003422986716032028,0.003154989331960678,0.0029653534293174744,0.0027555711567401886,0.0025079287588596344,0.0023013725876808167,0.002092227339744568,0.0019754022359848022,0.0017914511263370514,0.0015463903546333313,0.0013030990958213806,0.0011127963662147522,0.0008816197514533997,0.0006307549774646759,0.00042358413338661194,0.00034754350781440735,0.00012171640992164612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09687776863574982
9,0.005761023610830307,0.005498915910720825,0.005343437194824219,0.005254585295915604,0.005017194896936417,0.004898421466350555,0.004726696759462357,0.004650086164474487,0.004474110901355743,0.004175253212451935,0.004153169691562653,0.003919661045074463,0.0037401318550109863,0.0036677345633506775,0.003429323434829712,0.0032447688281536102,0.002986326813697815,0.002790793776512146,0.0026400797069072723,0.0023785941302776337,0.0021402165293693542,0.0019818171858787537,0.0017551854252815247,0.001598019152879715,0.0013418644666671753,0.0011220164597034454,0.0008575543761253357,0.0006521418690681458,0.0004484802484512329,0.0002310536801815033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0948786586523056
10,0.005762167274951935,0.005476254969835281,0.005382057279348373,0.005150303244590759,0.004979919642210007,0.004843037575483322,0.004810575395822525,0.004541657865047455,0.004297025501728058,0.004148349165916443,0.003962941467761993,0.003912217915058136,0.003659091889858246,0.0034308433532714844,0.003283236175775528,0.0031544193625450134,0.0028893426060676575,0.002917356789112091,0.002642527222633362,0.0024358518421649933,0.0022305436432361603,0.0020100660622119904,0.001798521727323532,0.001588519662618637,0.0013889037072658539,0.001196444034576416,0.0010135062038898468,0.0008856616914272308,0.0006509758532047272,0.00038627535104751587,0.00011510029435157776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09494369477033615
