Contains move time for player Gambler; opponent is StaticBoard5
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.005542498081922531,0.00531044602394104,0.005411311984062195,0.005344916135072708,0.005037982016801834,0.004830621182918549,0.004771586507558823,0.004539661109447479,0.004142932593822479,0.003968801349401474,0.003758903592824936,0.003771349787712097,0.0035045668482780457,0.003200232982635498,0.0030930079519748688,0.002775423228740692,0.0025791488587856293,0.002455100417137146,0.002276141196489334,0.0021050013601779938,0.0018638521432876587,0.0016964226961135864,0.0015677586197853088,0.0014101341366767883,0.0012119784951210022,0.0010250583291053772,0.0007827170193195343,0.0005369521677494049,0.0003444291651248932,0.00011046603322029114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0889694020152092
2,0.0054219551384449005,0.005330879241228104,0.005073539912700653,0.00498446449637413,0.0048258937895298,0.004722971469163895,0.004526589065790176,0.004448223859071732,0.004101753234863281,0.003913920372724533,0.0038516707718372345,0.0037139058113098145,0.003520611673593521,0.0032630562782287598,0.003127720206975937,0.0029374510049819946,0.002712637186050415,0.002592034637928009,0.002491794526576996,0.0022200867533683777,0.001995351165533066,0.0016600564122200012,0.001478869467973709,0.0013218037784099579,0.0010908544063568115,0.0009045042097568512,0.0006939023733139038,0.0005011819303035736,0.00034543126821517944,0.0001466311514377594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08791974559426308
3,0.005634043365716934,0.0053110308945178986,0.00541410967707634,0.005204062908887863,0.004763983190059662,0.004623495042324066,0.004482422024011612,0.004371326416730881,0.004338480532169342,0.003985829651355743,0.0039519332349300385,0.0036826804280281067,0.0036210790276527405,0.0032876022160053253,0.003161545842885971,0.0030548982322216034,0.0026979558169841766,0.002413656562566757,0.0024339407682418823,0.0020591840147972107,0.0019004829227924347,0.0017311722040176392,0.0015038363635540009,0.0013060085475444794,0.0010930858552455902,0.000897485762834549,0.0006956048309803009,0.0005895085632801056,0.00035067275166511536,0.00012087076902389526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08868198841810226
4,0.00545477494597435,0.005411647260189056,0.0051719918847084045,0.005036972463130951,0.005054157227277756,0.004718568176031113,0.004576340317726135,0.004380702972412109,0.004154723137617111,0.004054024815559387,0.003901485353708267,0.00377577543258667,0.0035938024520874023,0.003385264426469803,0.0032106079161167145,0.003137592226266861,0.002845160663127899,0.002669520676136017,0.0024493634700775146,0.002240758389234543,0.00206037238240242,0.0018278136849403381,0.001606576144695282,0.001409534364938736,0.0012402795255184174,0.001010999083518982,0.0007617436349391937,0.0005609393119812012,0.0003315471112728119,0.00010940432548522949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09014244377613068
5,0.00548752024769783,0.0052921101450920105,0.00511561706662178,0.005096361041069031,0.005196239799261093,0.004672735929489136,0.00446980819106102,0.0043888576328754425,0.0041189976036548615,0.003987729549407959,0.0038158632814884186,0.0036577098071575165,0.003371249884366989,0.003239791840314865,0.002989109605550766,0.0028976984322071075,0.0027341991662979126,0.0025212839245796204,0.0022757910192012787,0.002114616334438324,0.0019370950758457184,0.0018478818237781525,0.0015227198600769043,0.0012732632458209991,0.0010814741253852844,0.0009313598275184631,0.0007635541260242462,0.0005482472479343414,0.00039190053939819336,0.00014674291014671326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08788752928376198
6,0.005496896803379059,0.005409054458141327,0.005229208618402481,0.005028422921895981,0.004933979362249374,0.00494283065199852,0.0046244412660598755,0.004450462758541107,0.00428023561835289,0.004059046506881714,0.0038545578718185425,0.0035769417881965637,0.003377065062522888,0.003275729715824127,0.00305730476975441,0.002896782010793686,0.002717491239309311,0.0024620704352855682,0.0022804923355579376,0.002058975398540497,0.0018230117857456207,0.0016945526003837585,0.001596696674823761,0.0013014376163482666,0.001056373119354248,0.0010427609086036682,0.0008127316832542419,0.000615239143371582,0.00044812262058258057,0.00026087090373039246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08866378664970398
7,0.005506686866283417,0.005413651466369629,0.005229383707046509,0.005079440772533417,0.004891909658908844,0.00478004664182663,0.004645675420761108,0.004545301198959351,0.004661012440919876,0.00412818044424057,0.0040000975131988525,0.00413089245557785,0.003716658800840378,0.0034969747066497803,0.0032576099038124084,0.003153592348098755,0.0028479285538196564,0.002706877887248993,0.002470206469297409,0.0024173595011234283,0.0020054318010807037,0.0018490701913833618,0.001729179173707962,0.0016444660723209381,0.0012571774423122406,0.0011194124817848206,0.0008980706334114075,0.0006760060787200928,0.00039293617010116577,0.00017216429114341736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09282340109348297
8,0.005469396710395813,0.005349438637495041,0.005556140094995499,0.004985962063074112,0.005256153643131256,0.004716169089078903,0.004970945417881012,0.004844184964895248,0.0044462718069553375,0.004376847296953201,0.004124850034713745,0.003928691148757935,0.003764878958463669,0.0035553164780139923,0.003430299460887909,0.003231331706047058,0.003008931875228882,0.0027089938521385193,0.0026058927178382874,0.0024686455726623535,0.0021799057722091675,0.0018603354692459106,0.0016761831939220428,0.001415397971868515,0.0012256614863872528,0.0010532885789871216,0.0007671602070331573,0.0005574822425842285,0.00037099048495292664,0.00013046711683273315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09403621405363083
9,0.005688808858394623,0.005510296672582626,0.0053253211081027985,0.005219355225563049,0.0050318241119384766,0.004808556288480759,0.004588529467582703,0.004463724792003632,0.0042277611792087555,0.004173751920461655,0.004049167037010193,0.0038332827389240265,0.003632590174674988,0.003446057438850403,0.0032711103558540344,0.003096912056207657,0.00295870378613472,0.002702530473470688,0.0025208741426467896,0.002292044460773468,0.002105977386236191,0.0019247084856033325,0.0016831792891025543,0.0014443472027778625,0.0011560246348381042,0.0009552352130413055,0.0007397718727588654,0.0005176849663257599,0.00044715777039527893,0.00025793537497520447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0920732244849205
10,0.005688503384590149,0.005767550319433212,0.005527175962924957,0.0053122639656066895,0.005005490034818649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027300983667373657
