Contains move time for player Greedy02; opponent is StaticBoard4
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.005995959043502808,0.005783598870038986,0.005616415292024612,0.005464684218168259,0.005079183727502823,0.0049188584089279175,0.004673462361097336,0.004484456032514572,0.004408683627843857,0.004152819514274597,0.004071496427059174,0.004012510180473328,0.003721121698617935,0.0036128126084804535,0.0033938661217689514,0.003258582204580307,0.0030184201896190643,0.002844385802745819,0.0026657916605472565,0.0024440698325634003,0.0021886564791202545,0.00196760892868042,0.0017428286373615265,0.0015435069799423218,0.001295819878578186,0.0010615326464176178,0.0009042806923389435,0.0006690099835395813,0.0004534684121608734,0.0002174191176891327,0.00014452636241912842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09580983594059944
2,0.005958635360002518,0.0057784877717494965,0.005652759224176407,0.005461014807224274,0.005278196185827255,0.00513496994972229,0.004802629351615906,0.004620932042598724,0.00447247177362442,0.00440220907330513,0.004261977970600128,0.0040245018899440765,0.0038690268993377686,0.00373651459813118,0.003608759492635727,0.003425188362598419,0.0031941011548042297,0.002908114343881607,0.002674579620361328,0.0024232082068920135,0.002166416496038437,0.0019961073994636536,0.001712840050458908,0.0014958679676055908,0.0013068504631519318,0.0010290779173374176,0.0010012276470661163,0.0007654093205928802,0.0005544796586036682,0.0003541409969329834,0.00015360862016677856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09822430461645126
3,0.005934420973062515,0.005757585167884827,0.00553680956363678,0.005394641309976578,0.005236785858869553,0.005150534212589264,0.004865817725658417,0.004702404141426086,0.004537209868431091,0.004389647394418716,0.004295241087675095,0.004010364413261414,0.0038514770567417145,0.0036194175481796265,0.0034083835780620575,0.0032509900629520416,0.0030339136719703674,0.002808712422847748,0.002517029643058777,0.0022786036133766174,0.0020678453147411346,0.0018530823290348053,0.0016734711825847626,0.0014871247112751007,0.0012724623084068298,0.001084607094526291,0.0009157396852970123,0.0007377453148365021,0.0004628375172615051,0.0002616606652736664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963965654373169
4,0.005934014916419983,0.00574151799082756,0.005615942180156708,0.005397815257310867,0.005186982452869415,0.0050582364201545715,0.004811849445104599,0.004642125219106674,0.004498332738876343,0.004254825413227081,0.004114493727684021,0.003787390887737274,0.0036002956330776215,0.0033187568187713623,0.0033070258796215057,0.0031511522829532623,0.002941608428955078,0.0027945302426815033,0.002677459269762039,0.0025570541620254517,0.002331111580133438,0.0020844750106334686,0.0018374249339103699,0.0015829764306545258,0.0014023855328559875,0.0012162663042545319,0.0009955205023288727,0.0007385462522506714,0.0006676800549030304,0.00047939643263816833,0.00022845342755317688,0.00014946609735488892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09710511192679405
5,0.0059384629130363464,0.005717020481824875,0.0055955201387405396,0.005478337407112122,0.00527539849281311,0.005204830318689346,0.005008477717638016,0.004904400557279587,0.004675816744565964,0.004530254751443863,0.004308421164751053,0.004163414239883423,0.003919228911399841,0.003695666790008545,0.003622978925704956,0.0034507177770137787,0.00326591357588768,0.002904284745454788,0.00277511402964592,0.002529870718717575,0.0023562461137771606,0.002105526626110077,0.0018957890570163727,0.0017267018556594849,0.0014918111264705658,0.001254357397556305,0.0010002776980400085,0.0007398873567581177,0.0004467181861400604,0.0004037246108055115,0.0001284778118133545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10051364824175835
6,0.00595315545797348,0.005794622004032135,0.00558733195066452,0.0055321455001831055,0.005342260003089905,0.005150437355041504,0.004906758666038513,0.00488416850566864,0.00464659184217453,0.00442851334810257,0.004197545349597931,0.003927845507860184,0.0038047991693019867,0.0035841651260852814,0.0034626685082912445,0.0032394081354141235,0.0030488483607769012,0.0027948617935180664,0.002615518867969513,0.002381742000579834,0.002142924815416336,0.0019440092146396637,0.001750808209180832,0.0014792196452617645,0.0012490339577198029,0.0010881908237934113,0.0008590482175350189,0.0007005259394645691,0.0004457347095012665,0.00026218220591545105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09720506519079208
7,0.005954377353191376,0.005791019648313522,0.005612354725599289,0.005462951958179474,0.005239386111497879,0.005199402570724487,0.00496823713183403,0.004712339490652084,0.004594329744577408,0.004278238862752914,0.004078436642885208,0.0038308724761009216,0.003718636929988861,0.0035099200904369354,0.003235798329114914,0.0030334405601024628,0.00287555530667305,0.0026788152754306793,0.002522304654121399,0.00230470672249794,0.0022124573588371277,0.0020414628088474274,0.0018433257937431335,0.0016461722552776337,0.0014013759791851044,0.0011495165526866913,0.0009544715285301208,0.0006991885602474213,0.0004825294017791748,0.0002695024013519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963011272251606
8,0.005952209234237671,0.005754239857196808,0.005630567669868469,0.005396351218223572,0.005324743688106537,0.005155783146619797,0.00501159206032753,0.004864908754825592,0.004575803875923157,0.004348061978816986,0.004183806478977203,0.004042323678731918,0.003909606486558914,0.003572080284357071,0.003396451473236084,0.003094565123319626,0.002933237701654434,0.0027155913412570953,0.002445429563522339,0.002262834459543228,0.0020450204610824585,0.0018623769283294678,0.0016763471066951752,0.0014489442110061646,0.0012734606862068176,0.0011070072650909424,0.0009104348719120026,0.0006868802011013031,0.00046967342495918274,0.00025571510195732117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09630604833364487
9,0.005982469767332077,0.00576937198638916,0.005603756755590439,0.005464691668748856,0.005347665399312973,0.005148604512214661,0.00496804341673851,0.0047622136771678925,0.004623305052518845,0.0044854916632175446,0.004205398261547089,0.004095528274774551,0.00385187566280365,0.0035797543823719025,0.00348542258143425,0.0033017881214618683,0.003072194755077362,0.0028625130653381348,0.0026777461171150208,0.002429097890853882,0.002186194062232971,0.0019804611802101135,0.0017076805233955383,0.0015376582741737366,0.0012795254588127136,0.0010311417281627655,0.0009655281901359558,0.0007806643843650818,0.000554211437702179,0.00038259848952293396,0.00015911832451820374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09828171506524086
10,0.005947094410657883,0.005772527307271957,0.005555346608161926,0.005433283746242523,0.005283370614051819,0.004991400986909866,0.004756364971399307,0.004589755088090897,0.004493363201618195,0.004311379045248032,0.004037991166114807,0.0038173943758010864,0.0036027245223522186,0.0034270882606506348,0.0031895712018013,0.0030546821653842926,0.0028037726879119873,0.002701975405216217,0.0024943016469478607,0.0023791640996932983,0.002197258174419403,0.002008602023124695,0.0016236379742622375,0.001443859189748764,0.0011984370648860931,0.0010301396250724792,0.0008656717836856842,0.000703468918800354,0.00045833736658096313,0.0002533718943595886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09442533552646637
11,0.005738705396652222,0.0055401138961315155,0.005361374467611313,0.005177054554224014,0.005300428718328476,0.005069740116596222,0.004817046225070953,0.004497881978750229,0.004384111613035202,0.0041350312530994415,0.00393054261803627,0.0037581101059913635,0.003535706549882889,0.003459308296442032,0.00320347398519516,0.003034193068742752,0.002827674150466919,0.0026335418224334717,0.002469118684530258,0.002148490399122238,0.0019365102052688599,0.0018595941364765167,0.0017023608088493347,0.001632891595363617,0.001379944384098053,0.0011934377253055573,0.0010672882199287415,0.0008926950395107269,0.000673588365316391,0.0004781559109687805,0.0002844482660293579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09412256255745888
12,0.005753282457590103,0.005534667521715164,0.005442995578050613,0.005312461405992508,0.005141552537679672,0.00499248132109642,0.00476435199379921,0.004659879952669144,0.004420679062604904,0.004389826208353043,0.004041358828544617,0.0037586912512779236,0.003634687513113022,0.003537788987159729,0.003384549170732498,0.0033231638371944427,0.0030756182968616486,0.0028225593268871307,0.002591494470834732,0.002370249480009079,0.002155892550945282,0.001902565360069275,0.0016924254596233368,0.0014481991529464722,0.0012504570186138153,0.0010787583887577057,0.0008224360644817352,0.0007602348923683167,0.0005572549998760223,0.0003778412938117981,0.00015176460146903992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951501689851284
