Results for game DynamicBoard17 against DynamicRoxanne
Each cycle contains 10 games, where first half of games DynamicBoard17 is black and second half DynamicRoxanne is black
Number of cycles: 5
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
DynamicBoard17,DynamicRoxanne,Discs_DynamicBoard17,Discs_DynamicRoxanne
1,0,42,22
1,0,48,16
1,0,49,15
1,0,36,28
1,0,64,0
1,0,49,15
0,1,30,34
1,0,41,23
1,0,55,9
1,0,52,12

Cycle: 1
DynamicBoard17,DynamicRoxanne,Discs_DynamicBoard17,Discs_DynamicRoxanne
1,0,49,15
1,0,50,14
1,0,43,21
1,0,52,12
1,0,64,0
1,0,37,27
1,0,53,11
1,0,56,8
1,0,44,20
1,0,42,22

Cycle: 2
DynamicBoard17,DynamicRoxanne,Discs_DynamicBoard17,Discs_DynamicRoxanne
0,1,30,34
1,0,50,14
1,0,64,0
1,0,42,22
1,0,58,6
1,0,48,16
0,0,32,32
1,0,64,0
1,0,55,9
1,0,53,11

Cycle: 3
DynamicBoard17,DynamicRoxanne,Discs_DynamicBoard17,Discs_DynamicRoxanne
1,0,34,30
1,0,53,11
1,0,56,8
1,0,41,23
1,0,53,11
1,0,64,0
1,0,47,17
1,0,53,11
1,0,45,19
1,0,48,16

Cycle: 4
DynamicBoard17,DynamicRoxanne,Discs_DynamicBoard17,Discs_DynamicRoxanne
1,0,54,10
1,0,53,11
1,0,57,7
1,0,64,0
1,0,64,0
1,0,46,18
0,1,25,39
1,0,56,8
1,0,37,27
1,0,50,14
