Results for game DynamicRoxanne against DynamicBoard6
Each cycle contains 10 games, where first half of games DynamicRoxanne is black and second half DynamicBoard6 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
0,1,0,64
0,1,22,42
0,1,10,54
0,1,16,48
0,1,19,45
0,1,31,33
1,0,37,27
0,1,16,48
0,1,13,51
0,1,17,47

Cycle: 1
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
0,1,0,64
0,1,19,45
0,1,25,39
0,1,28,36
0,1,20,44
0,1,2,62
0,1,27,37
0,1,24,40
0,1,19,45
0,1,13,51

Cycle: 2
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
0,1,18,46
0,1,18,46
0,1,17,47
0,1,4,60
0,1,11,53
0,1,26,38
1,0,41,23
0,1,14,50
0,1,21,43
0,1,21,43

Cycle: 3
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
0,1,29,35
0,1,12,52
0,1,10,54
1,0,33,31
0,1,29,35
0,1,27,37
0,1,12,52
0,1,23,41
1,0,41,23
0,1,12,52

Cycle: 4
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
0,1,5,59
0,1,0,64
0,1,29,35
0,1,13,51
0,1,9,55
0,1,20,44
0,1,20,44
0,1,14,50
0,1,10,54
0,1,13,51

Cycle: 5
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
0,1,22,42
0,1,10,54
0,1,17,47
0,1,24,40
0,1,14,50
0,1,23,41
0,1,22,42
1,0,38,26
0,1,13,51
0,1,11,53

Cycle: 6
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
0,1,19,45
0,1,15,49
0,1,0,64
0,1,21,43
0,1,21,43
0,1,29,35
1,0,33,31
1,0,37,27
0,1,22,42
0,1,9,55

Cycle: 7
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
0,1,13,51
0,1,13,51
0,1,10,54
0,1,28,36
1,0,55,9
0,1,21,43
0,1,16,48
0,1,28,36
0,1,17,47
0,1,25,39

Cycle: 8
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
1,0,45,19
0,1,15,49
0,1,19,45
0,1,14,50
0,1,17,47
0,1,22,42
0,1,19,45
1,0,35,29
0,1,8,56
0,1,24,40

Cycle: 9
DynamicRoxanne,DynamicBoard6,Discs_DynamicRoxanne,Discs_DynamicBoard6
0,1,28,36
0,1,21,43
0,1,24,40
0,1,16,48
0,1,28,36
0,1,25,39
1,0,40,24
0,1,0,64
0,0,32,32
0,1,14,50
