Results for game DynamicRoxanne against MCTSMaxIter1
Each cycle contains 10 games, where first half of games DynamicRoxanne is black and second half MCTSMaxIter1 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
0,1,31,33
0,1,30,34
1,0,45,19
0,1,30,34
0,1,18,46
0,1,29,35
1,0,37,27
0,0,32,32
0,1,25,39
0,1,24,40

Cycle: 1
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
1,0,55,9
0,1,30,34
1,0,34,30
1,0,39,25
0,1,30,34
0,1,26,38
1,0,52,12
0,1,24,40
0,1,30,34
0,1,29,35

Cycle: 2
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
0,1,26,38
0,1,26,38
1,0,51,13
0,1,29,35
0,1,25,39
0,1,29,35
1,0,44,20
0,1,31,33
0,1,26,38
0,1,19,45

Cycle: 3
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
0,1,26,38
0,1,26,38
0,1,26,38
0,1,29,35
0,1,29,35
0,1,24,40
0,1,27,37
1,0,44,20
0,1,31,33
1,0,36,28

Cycle: 4
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
1,0,52,12
1,0,64,0
0,1,22,42
0,1,30,34
0,1,21,43
0,1,29,35
0,1,27,37
0,0,32,32
0,1,13,51
0,1,19,45

Cycle: 5
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
1,0,46,18
0,1,30,34
0,1,31,33
1,0,35,29
0,0,32,32
1,0,56,8
1,0,50,14
1,0,34,30
0,1,27,37
1,0,41,23

Cycle: 6
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
1,0,53,11
1,0,35,29
1,0,40,24
0,1,25,39
0,1,22,42
0,1,23,41
1,0,39,25
0,1,22,42
0,1,27,37
1,0,42,22

Cycle: 7
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
0,1,25,39
0,1,18,46
0,1,30,34
1,0,48,16
1,0,48,16
1,0,44,20
0,1,29,35
0,1,27,37
1,0,34,30
0,1,28,36

Cycle: 8
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
0,0,32,32
0,1,30,34
1,0,34,30
1,0,34,30
0,1,30,34
1,0,39,25
0,1,28,36
1,0,36,28
0,1,29,35
1,0,51,13

Cycle: 9
DynamicRoxanne,MCTSMaxIter1,Discs_DynamicRoxanne,Discs_MCTSMaxIter1
1,0,42,22
0,1,27,37
1,0,52,12
1,0,41,23
0,1,30,34
0,1,29,35
0,1,28,36
0,1,28,36
1,0,46,18
1,0,49,15
