Results for game StaticBoard17 against DynamicRoxanne
Each cycle contains 10 games, where first half of games StaticBoard17 is black and second half DynamicRoxanne is black
Number of cycles: 5
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
StaticBoard17,DynamicRoxanne,Discs_StaticBoard17,Discs_DynamicRoxanne
1,0,50,14
1,0,37,27
1,0,64,0
1,0,51,13
1,0,42,22
1,0,39,25
1,0,42,22
1,0,50,14
1,0,44,20
1,0,52,12

Cycle: 1
StaticBoard17,DynamicRoxanne,Discs_StaticBoard17,Discs_DynamicRoxanne
1,0,47,17
1,0,35,29
1,0,45,19
1,0,64,0
0,1,30,34
1,0,37,27
1,0,50,14
1,0,46,18
1,0,59,5
1,0,50,14

Cycle: 2
StaticBoard17,DynamicRoxanne,Discs_StaticBoard17,Discs_DynamicRoxanne
1,0,46,18
1,0,46,18
1,0,46,18
1,0,58,6
1,0,64,0
1,0,60,4
1,0,49,15
1,0,53,11
1,0,37,27
1,0,54,10

Cycle: 3
StaticBoard17,DynamicRoxanne,Discs_StaticBoard17,Discs_DynamicRoxanne
1,0,40,24
1,0,43,21
0,1,22,42
1,0,49,15
1,0,54,10
1,0,46,18
1,0,46,18
1,0,37,27
1,0,50,14
1,0,51,13

Cycle: 4
StaticBoard17,DynamicRoxanne,Discs_StaticBoard17,Discs_DynamicRoxanne
1,0,50,14
1,0,39,25
0,1,31,33
1,0,64,0
1,0,64,0
1,0,51,13
1,0,52,12
0,1,10,54
1,0,49,15
1,0,47,17
