Contains move time for player DynamicBoard1; opponent is DynamicRoxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.005915533751249313,0.005873002111911774,0.005555059760808945,0.005474317818880081,0.005300190299749374,0.005283057689666748,0.005073100328445435,0.004932865500450134,0.0047307200729846954,0.004731357097625732,0.004471547901630402,0.004186917096376419,0.0037340857088565826,0.003826037049293518,0.0034753791987895966,0.0031851939857006073,0.0029293037950992584,0.0028465911746025085,0.002791415899991989,0.0025984160602092743,0.002510424703359604,0.002234041690826416,0.0019220449030399323,0.0016137920320034027,0.0014035627245903015,0.0011234022676944733,0.0008588284254074097,0.0006097443401813507,0.00040126219391822815,0.0001455545425415039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09973675012588501
2,0.00583784282207489,0.005767736583948135,0.005543284118175507,0.005501944571733475,0.005367867648601532,0.0051726289093494415,0.005077756941318512,0.004881080240011215,0.004845187067985535,0.004640806466341019,0.004474818706512451,0.004499901086091995,0.004100687801837921,0.003872279077768326,0.003834228962659836,0.003650367259979248,0.0035258010029792786,0.0031433627009391785,0.0028716586530208588,0.002726871520280838,0.002515070140361786,0.002411346882581711,0.002098340541124344,0.0018577389419078827,0.0016653500497341156,0.001413203775882721,0.0011736862361431122,0.000867065042257309,0.0005384385585784912,0.00016955658793449402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10404590889811516
3,0.005880143493413925,0.005609601736068726,0.005589079111814499,0.005492635071277618,0.005283042788505554,0.005103304982185364,0.005078069865703583,0.004775736480951309,0.004709538072347641,0.004258066415786743,0.004128597676753998,0.004116985946893692,0.00404590368270874,0.0038774050772190094,0.003549385815858841,0.003441479057073593,0.0032670870423316956,0.003023505210876465,0.002843141555786133,0.0026183687150478363,0.002341475337743759,0.002246227115392685,0.0018997490406036377,0.0016374029219150543,0.0014306902885437012,0.0011949129402637482,0.0008733756840229034,0.0007662586867809296,0.0003857128322124481,0.00014769285917282104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09961457550525665
4,0.005845267325639725,0.005621261894702911,0.005665164440870285,0.005472846329212189,0.005211815237998962,0.005153495818376541,0.005137324333190918,0.00492975115776062,0.00465141236782074,0.004512373358011246,0.004155885428190231,0.004067853093147278,0.0038442686200141907,0.003938332200050354,0.0036346688866615295,0.003197021782398224,0.003107283264398575,0.003020063042640686,0.002952463924884796,0.0027455687522888184,0.0025813616812229156,0.0024319887161254883,0.002151310443878174,0.0018587447702884674,0.0015437118709087372,0.0012853369116783142,0.0010779611766338348,0.0007838010787963867,0.00046524032950401306,0.00015768781304359436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10120126605033875
5,0.005847595632076263,0.005761813372373581,0.005570359528064728,0.0054711587727069855,0.005264755338430405,0.005363404750823975,0.0051650479435920715,0.005132228136062622,0.004935838282108307,0.004988443106412888,0.004544366151094437,0.004482299089431763,0.004338033497333527,0.003949880599975586,0.003766726702451706,0.0034839995205402374,0.0032723024487495422,0.0032243169844150543,0.0029874369502067566,0.0028290264308452606,0.0025096647441387177,0.002323426306247711,0.0020627938210964203,0.0018267370760440826,0.0015077143907546997,0.0011719129979610443,0.000924374908208847,0.0006611347198486328,0.0004669986665248871,0.00016080960631370544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10399460047483444
6,0.005872961133718491,0.005695287138223648,0.005614023655653,0.005471929907798767,0.005460798740386963,0.005345109850168228,0.005149003118276596,0.004987102001905441,0.005086179822683334,0.004809040576219559,0.004574641585350037,0.004405103623867035,0.004276346415281296,0.004098687320947647,0.003989625722169876,0.003819260746240616,0.003429129719734192,0.0034088194370269775,0.003166772425174713,0.002892080694437027,0.002642408013343811,0.0023780539631843567,0.0020715855062007904,0.0018277652561664581,0.0015666112303733826,0.0012423433363437653,0.000998232513666153,0.000738881528377533,0.0004150979220867157,0.00015259906649589539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055854819715023
7,0.005889270454645157,0.005669035017490387,0.00570303201675415,0.005614742636680603,0.005572553724050522,0.005226258188486099,0.005177360028028488,0.004981495440006256,0.004928793758153915,0.004825703799724579,0.004544101655483246,0.0045396387577056885,0.004420887678861618,0.004269711673259735,0.004681795835494995,0.0038655251264572144,0.003614574670791626,0.0032614096999168396,0.0030053630471229553,0.002804752439260483,0.002751268446445465,0.0023057833313941956,0.0020115934312343597,0.0016847997903823853,0.0014429613947868347,0.0012036077678203583,0.0009906068444252014,0.0006768479943275452,0.00042314454913139343,0.00013350322842597961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10622012242674828
8,0.00588642805814743,0.005784377455711365,0.005570419132709503,0.011474642902612686,0.009424082934856415,0.00834449753165245,0.007569417357444763,0.006748747080564499,0.006063472479581833,0.005464516580104828,0.00499185174703598,0.005071055144071579,0.004905197769403458,0.004616573452949524,0.004370458424091339,0.004213444888591766,0.004049289971590042,0.003697868436574936,0.0033236853778362274,0.0030691735446453094,0.002707868814468384,0.002285994589328766,0.002031039446592331,0.001864951103925705,0.0015421323478221893,0.0010427460074424744,0.0010608360171318054,0.0007033199071884155,0.000674169510602951,0.0004334002733230591,0.0001539662480354309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12913962453603745
9,0.006667133420705795,0.006573483347892761,0.006340820342302322,0.006243456155061722,0.0060526058077812195,0.00591433048248291,0.005726531147956848,0.005710430443286896,0.005490478128194809,0.005306132137775421,0.005175333470106125,0.005112610757350922,0.0049444399774074554,0.004577253013849258,0.0043464601039886475,0.003998886793851852,0.00398070365190506,0.0036875158548355103,0.0034953653812408447,0.0032469406723976135,0.002855796366930008,0.0024559609591960907,0.002315506339073181,0.002012684941291809,0.0016686208546161652,0.0015082024037837982,0.0011403262615203857,0.0008039325475692749,0.0005304068326950073,0.00017455220222473145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11805690079927444
10,0.006668392568826675,0.006554305553436279,0.006335806101560593,0.0062469616532325745,0.006168056279420853,0.005930386483669281,0.005735587328672409,0.005428839474916458,0.005185052752494812,0.004953835159540176,0.005014415830373764,0.004642270505428314,0.004366282373666763,0.004213310778141022,0.003467883914709091,0.0031312406063079834,0.0032012127339839935,0.0030509009957313538,0.0027294643223285675,0.002539336681365967,0.0022979415953159332,0.0020493008196353912,0.0017933808267116547,0.0017524920403957367,0.0014074519276618958,0.001113947480916977,0.0007479935884475708,0.0007169768214225769,0.00043458491563796997,0.00032268092036247253,0.0003044791519641876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085047721862793
