Contains move time for player DynamicRoxanne; opponent is DynamicBoard6
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.005940552800893784,0.005735326558351517,0.005586303770542145,0.005370642989873886,0.005312319844961166,0.005227468907833099,0.005042392760515213,0.004840552806854248,0.0044290125370025635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04748457297682762
2,0.005843788385391235,0.00566183403134346,0.005528893321752548,0.0053658075630664825,0.005237635225057602,0.0049807168543338776,0.004920512437820435,0.004748769104480743,0.004716143012046814,0.004456218332052231,0.0043233707547187805,0.004156883805990219,0.003912430256605148,0.0037647224962711334,0.0034472495317459106,0.0031976141035556793,0.0030738823115825653,0.0028105005621910095,0.002623971551656723,0.0025836825370788574,0.0022107213735580444,0.002019215375185013,0.0017462968826293945,0.001540638506412506,0.0013093389570713043,0.0010775960981845856,0.0009194836020469666,0.0007727406919002533,0.0005239956080913544,0.00028393417596817017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09775858744978905
3,0.005866095423698425,0.005697138607501984,0.005487233400344849,0.0053543634712696075,0.005255918949842453,0.005016326904296875,0.004914112389087677,0.0047893039882183075,0.004570763558149338,0.004373911768198013,0.004124637693166733,0.003950078040361404,0.003653649240732193,0.003643099218606949,0.0034639500081539154,0.003262091428041458,0.0029538050293922424,0.002747122198343277,0.0024785995483398438,0.0022303275763988495,0.0019825883209705353,0.0018882416188716888,0.0018600299954414368,0.0016826130449771881,0.0014941655099391937,0.0012340061366558075,0.0010488703846931458,0.000841338187456131,0.0007126368582248688,0.0005167461931705475,0.0002721734344959259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09736593812704086
4,0.0058438777923583984,0.005682382732629776,0.005509905517101288,0.005348615348339081,0.005167867988348007,0.005140319466590881,0.004893366247415543,0.004691861569881439,0.0044641755521297455,0.0042347051203250885,0.004093915224075317,0.0038407929241657257,0.0036629214882850647,0.003483995795249939,0.0032591968774795532,0.003120720386505127,0.002888936549425125,0.002671852707862854,0.0024401433765888214,0.002233881503343582,0.002050992101430893,0.001851782202720642,0.001620665192604065,0.0014682374894618988,0.0012282468378543854,0.0010348185896873474,0.0008449219167232513,0.0006777048110961914,0.0004860907793045044,0.0002683699131011963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09420526400208473
5,0.0058765895664691925,0.00566626712679863,0.005490023642778397,0.005421102046966553,0.005245231091976166,0.0050776004791259766,0.00495581328868866,0.004800878465175629,0.004593256860971451,0.004308074712753296,0.004197180271148682,0.0039627887308597565,0.003911193460226059,0.0036898553371429443,0.0033576786518096924,0.0032963939011096954,0.0030549317598342896,0.0028885044157505035,0.0027298778295516968,0.002553176134824753,0.0022999681532382965,0.002081930637359619,0.0018558874726295471,0.0016739219427108765,0.0014591477811336517,0.0012024417519569397,0.0009928122162818909,0.0007425397634506226,0.0005181953310966492,0.00026545673608779907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09816871955990791
6,0.005716264247894287,0.005611635744571686,0.005486994981765747,0.005318086594343185,0.005278326570987701,0.004980683326721191,0.004872962832450867,0.0047334954142570496,0.0045271217823028564,0.004497576504945755,0.004240438342094421,0.003995344042778015,0.0037957020103931427,0.003611460328102112,0.003461480140686035,0.003190804272890091,0.0030422434210777283,0.0028642304241657257,0.002565678209066391,0.0023851320147514343,0.002177998423576355,0.0019556917250156403,0.0017129629850387573,0.0015083923935890198,0.0012640133500099182,0.0010537654161453247,0.000821184366941452,0.0006041564047336578,0.00039155036211013794,0.0001237429678440094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957891196012497
7,0.005720637738704681,0.005615685135126114,0.005415264517068863,0.005389910191297531,0.00515427440404892,0.0050109997391700745,0.0049231089651584625,0.004870478063821793,0.0046548061072826385,0.0045041851699352264,0.004321642220020294,0.004156503826379776,0.003918427973985672,0.003621622920036316,0.0034366734325885773,0.003209531307220459,0.00299154594540596,0.0027742162346839905,0.002625100314617157,0.0024339593946933746,0.0022048354148864746,0.0020047463476657867,0.001818288117647171,0.0015662238001823425,0.0013771578669548035,0.0011287890374660492,0.000875961035490036,0.0006510429084300995,0.00042169541120529175,0.00015258416533470154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09694989770650864
8,0.005762062966823578,0.005578901618719101,0.005485113710165024,0.0053724683821201324,0.005121052265167236,0.0048995837569236755,0.004866559058427811,0.004708543419837952,0.004548545926809311,0.004390500485897064,0.004156369715929031,0.0038455575704574585,0.003616202622652054,0.003420580178499222,0.0031900815665721893,0.003025256097316742,0.0027595534920692444,0.0025213733315467834,0.0023192837834358215,0.002122584730386734,0.0019435212016105652,0.0017823316156864166,0.0015569068491458893,0.0013608001172542572,0.0011596642434597015,0.0009688287973403931,0.0008273497223854065,0.0005986467003822327,0.00036625936627388,0.0001650974154472351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09243958070874214
9,0.005713056772947311,0.005615100264549255,0.005464579910039902,0.005267184227705002,0.005231022834777832,0.005080923438072205,0.0049544647336006165,0.004725668579339981,0.004491288214921951,0.0043993666768074036,0.0041948407888412476,0.003981314599514008,0.0038095079362392426,0.003602679818868637,0.0033929012715816498,0.0032153651118278503,0.002997513860464096,0.0028120577335357666,0.0025605298578739166,0.0022835098206996918,0.0020338110625743866,0.0018327683210372925,0.0016253329813480377,0.0014323480427265167,0.0012041442096233368,0.0009718313813209534,0.000759366899728775,0.0006675496697425842,0.00039330869913101196,0.00012610480189323425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0948394425213337
10,0.005735848098993301,0.0055555738508701324,0.005424972623586655,0.005357638001441956,0.005115624517202377,0.004941340535879135,0.00486069917678833,0.004587888717651367,0.004367470741271973,0.004190187901258469,0.004059605300426483,0.003898482769727707,0.0037856176495552063,0.0036484599113464355,0.00341053307056427,0.003168441355228424,0.002925008535385132,0.002717025578022003,0.0025877654552459717,0.0023331046104431152,0.0020949766039848328,0.0018798261880874634,0.0016520097851753235,0.001430455595254898,0.0012315362691879272,0.001029185950756073,0.0007890388369560242,0.0005800947546958923,0.0003739893436431885,0.00013402849435806274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09386643022298813
