Contains move time for player DynamicRoxanne; opponent is StaticBoard27
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.005857277661561966,0.005679301917552948,0.005504045635461807,0.005511432886123657,0.005330082029104233,0.005095761269330978,0.004959236830472946,0.004755627363920212,0.004612866789102554,0.004327930510044098,0.004184149205684662,0.0040169768035411835,0.00378219410777092,0.003585323691368103,0.0034831203520298004,0.003346674144268036,0.003186386078596115,0.0028028078377246857,0.0026144906878471375,0.002330109477043152,0.002130746841430664,0.0019585639238357544,0.001721799373626709,0.0015415027737617493,0.0012961998581886292,0.0010655224323272705,0.0008841864764690399,0.0006570406258106232,0.00040076300501823425,0.0001279786229133606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09675009921193123
2,0.005771800875663757,0.005618713796138763,0.005566705018281937,0.005435612052679062,0.0052469708025455475,0.005090288817882538,0.004982762038707733,0.004703983664512634,0.00459766760468483,0.004493050277233124,0.0043061524629592896,0.004095844924449921,0.0038795731961727142,0.0036236830055713654,0.0032526515424251556,0.0031384751200675964,0.002877321094274521,0.0026349276304244995,0.0023795217275619507,0.002157077193260193,0.001978866755962372,0.0017843656241893768,0.001646481454372406,0.0013802386820316315,0.0012281537055969238,0.0011200346052646637,0.0008099675178527832,0.0005830526351928711,0.0004200972616672516,0.00016792863607406616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09497196972370148
3,0.005842622369527817,0.005756806582212448,0.005457472056150436,0.005467791110277176,0.0052288733422756195,0.005071535706520081,0.0049326978623867035,0.004811454564332962,0.004717152565717697,0.00449356809258461,0.004312653094530106,0.004060462117195129,0.0039008334279060364,0.0036773979663848877,0.00418848916888237,0.0032215453684329987,0.0029501765966415405,0.002621568739414215,0.002547603100538254,0.0023315660655498505,0.0021080821752548218,0.0019205845892429352,0.0017237067222595215,0.0014551915228366852,0.001232679933309555,0.0010366514325141907,0.0007985420525074005,0.0005851686000823975,0.0004154704511165619,0.0001735873520374298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09704193472862244
4,0.005809284746646881,0.0057860687375068665,0.005545314401388168,0.00548466295003891,0.00531623512506485,0.005202796310186386,0.0049632154405117035,0.004677560180425644,0.0044710151851177216,0.004449669271707535,0.004427872598171234,0.004105012863874435,0.0037825405597686768,0.0035342462360858917,0.003478802740573883,0.0033762380480766296,0.0031403452157974243,0.0028883516788482666,0.002702191472053528,0.0024150311946868896,0.0022248588502407074,0.0019824206829071045,0.0017791427671909332,0.0015467777848243713,0.0013658739626407623,0.001138530671596527,0.0008909329771995544,0.0006244219839572906,0.00039013102650642395,0.00016712769865989685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976666733622551
5,0.0058644674718379974,0.005622725933790207,0.005479298532009125,0.0054387860000133514,0.0053207725286483765,0.005294241011142731,0.004938878118991852,0.004657696932554245,0.004512455314397812,0.004289716482162476,0.004183314740657806,0.0037971287965774536,0.003629077225923538,0.0035030171275138855,0.003211621195077896,0.003055635839700699,0.0028602592647075653,0.00265444815158844,0.0025090910494327545,0.0022095926105976105,0.0020478181540966034,0.0018062815070152283,0.0016723982989788055,0.001424010843038559,0.0012441202998161316,0.0010098852217197418,0.0009615197777748108,0.0005726926028728485,0.00034141167998313904,0.0002723522484302521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09438471496105194
6,0.006120074540376663,0.005810108035802841,0.005594644695520401,0.0054560452699661255,0.00551755353808403,0.005180280655622482,0.005081251263618469,0.0048469193279743195,0.004682786762714386,0.004495400935411453,0.004217885434627533,0.004001490771770477,0.003664132207632065,0.0035602375864982605,0.0032364651560783386,0.002953954041004181,0.0028555653989315033,0.0027615688741207123,0.0025414377450942993,0.0022621378302574158,0.0022140033543109894,0.01590493693947792,0.0019305311143398285,0.0017302818596363068,0.0015018768608570099,0.0012639276683330536,0.0010497532784938812,0.0009214170277118683,0.0006981045007705688,0.0004923492670059204,0.000286199152469635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11283332109451294
7,0.005933754146099091,0.005736298859119415,0.005726028233766556,0.0055398717522621155,0.005321480333805084,0.005209878087043762,0.005006831139326096,0.004996433854103088,0.004837512969970703,0.004539430141448975,0.004440043121576309,0.004212621599435806,0.004000701010227203,0.0038737021386623383,0.00368354469537735,0.003424115478992462,0.0031643323600292206,0.0029336661100387573,0.0027477890253067017,0.00263175368309021,0.002309892326593399,0.0021645165979862213,0.0019154585897922516,0.0016202069818973541,0.0013886764645576477,0.0011867918074131012,0.0009781494736671448,0.0008032508194446564,0.0005410686135292053,0.00030374154448509216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10117154195904732
8,0.006121154874563217,0.005736716091632843,0.005673304200172424,0.005434852093458176,0.005420166999101639,0.005167938768863678,0.005045264959335327,0.004631161689758301,0.004570726305246353,0.004377346485853195,0.004193350672721863,0.003955360502004623,0.0037833265960216522,0.0035281404852867126,0.0032544396817684174,0.003071878105401993,0.0028851330280303955,0.002688586711883545,0.0025871731340885162,0.0024408698081970215,0.0022756941616535187,0.0020638033747673035,0.0018311776220798492,0.0015968717634677887,0.001425381749868393,0.0012018196284770966,0.0009809993207454681,0.0007676370441913605,0.0005765371024608612,0.0002976655960083008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09758447855710983
9,0.005882542580366135,0.005763009190559387,0.005682952702045441,0.005465291440486908,0.005458034574985504,0.005183432251214981,0.004963494837284088,0.004804041236639023,0.00471830740571022,0.0046186186373233795,0.0042687393724918365,0.004153665155172348,0.003934744745492935,0.00376804918050766,0.0035877078771591187,0.003318134695291519,0.0031453222036361694,0.0029674656689167023,0.0027513615787029266,0.0024451017379760742,0.0022878870368003845,0.002114027738571167,0.001858055591583252,0.001615181565284729,0.0014297179877758026,0.0012180805206298828,0.000997256487607956,0.0007614307105541229,0.0005204901099205017,0.0002679750323295593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09995011985301971
10,0.005959521979093552,0.00589347630739212,0.005591250956058502,0.005446229130029678,0.005243390798568726,0.005148857831954956,0.005035746842622757,0.004832431674003601,0.004662416875362396,0.004581339657306671,0.004327781498432159,0.004185300320386887,0.0038239173591136932,0.0037391819059848785,0.0034760460257530212,0.003304149955511093,0.0030931755900382996,0.0028845034539699554,0.0027376189827919006,0.002523750066757202,0.0022807158529758453,0.00208074226975441,0.0018886253237724304,0.001658797264099121,0.0014167912304401398,0.001190919429063797,0.0009558945894241333,0.0007012076675891876,0.0005319491028785706,0.0002687200903892517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09946445003151894
