Contains move time for player StaticBoard2; opponent is DynamicRoxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.02309505268931389,0.03349298611283302,0.027569003403186798,0.042949069291353226,0.04671790450811386,0.029777437448501587,0.038749463856220245,0.04149763658642769,0.04472186788916588,0.04788195341825485,0.036026451736688614,0.03544684126973152,0.044565144926309586,0.03976079449057579,0.030562859028577805,0.03769969195127487,0.030208148062229156,0.0330674983561039,0.023270003497600555,0.01918339729309082,0.015338923782110214,0.011754829436540604,0.008451893925666809,0.007611900568008423,0.00914020836353302,0.004336010664701462,0.0016398057341575623,0.0005258060991764069,0.00041205063462257385,0.0006998218595981598,0.00014863908290863037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7663030959665775
2,0.022920038551092148,0.0333578996360302,0.027656685560941696,0.042740583419799805,0.04663166403770447,0.05459992587566376,0.052934713661670685,0.0514506958425045,0.03541436791419983,0.04210565611720085,0.05390412360429764,0.05223807319998741,0.038392744958400726,0.04684574902057648,0.04129978269338608,0.04465154558420181,0.05050402879714966,0.041702643036842346,0.0366397351026535,0.03160218521952629,0.0310618057847023,0.024989716708660126,0.020748324692249298,0.01544540748000145,0.00956958532333374,0.003346730023622513,0.002576664090156555,0.0018465258181095123,0.000719074159860611,0.00015719980001449585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9580538757145405
3,0.022916708141565323,0.01696125790476799,0.043764933943748474,0.03732220083475113,0.04646770656108856,0.049217402935028076,0.0529634952545166,0.04067781940102577,0.04008736088871956,0.047170333564281464,0.04121115058660507,0.044238172471523285,0.04987684637308121,0.03889960050582886,0.03282922878861427,0.04362659528851509,0.04684538394212723,0.03367534279823303,0.03069356083869934,0.024151962250471115,0.019660167396068573,0.015893634408712387,0.010624147951602936,0.007506038993597031,0.006529763340950012,0.004194267094135284,0.0015663020312786102,0.0005215667188167572,0.0013606995344161987,0.00041116029024124146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518648110330105
4,0.022822797298431396,0.016767092049121857,0.04367676004767418,0.037448201328516006,0.04171521216630936,0.0553559809923172,0.03918373957276344,0.03864939510822296,0.04114808514714241,0.03394192457199097,0.03691355139017105,0.047106385231018066,0.05306226387619972,0.043994609266519547,0.04344850778579712,0.03227299451828003,0.027828577905893326,0.030486006289720535,0.03082229569554329,0.03644876927137375,0.029666993767023087,0.018978741019964218,0.013672500848770142,0.011867184191942215,0.006505440920591354,0.005453113466501236,0.002603825181722641,0.0012281276285648346,0.0007078200578689575,0.0001297593116760254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8439066559076309
5,0.022882353514432907,0.033252276480197906,0.0274883434176445,0.04267387464642525,0.040948379784822464,0.054374899715185165,0.053259022533893585,0.051343921571969986,0.06711844354867935,0.05982161685824394,0.057175133377313614,0.06259926781058311,0.06511607766151428,0.06867919117212296,0.06761696189641953,0.06817897409200668,0.050776734948158264,0.04283001646399498,0.036713894456624985,0.029382139444351196,0.018704097718000412,0.016452588140964508,0.018929284065961838,0.015254896134138107,0.01072404533624649,0.0070600323379039764,0.003921821713447571,0.0022957846522331238,0.0009375810623168945,0.00014872103929519653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966603755950928
6,0.02295825630426407,0.017178721725940704,0.044041067361831665,0.03731377422809601,0.04187941178679466,0.05571828782558441,0.039684049785137177,0.04776977747678757,0.031169530004262924,0.02546672150492668,0.03364437818527222,0.0411389097571373,0.04620126262307167,0.040278270840644836,0.043473176658153534,0.03492438420653343,0.05170100927352905,0.04227960482239723,0.02061169594526291,0.011759363114833832,0.006666969507932663,0.0060007646679878235,0.0034341327846050262,0.0029568225145339966,0.002502836287021637,0.0020627304911613464,0.001557718962430954,0.0011138468980789185,0.001306433230638504,0.00016671046614646912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569606192409992
7,0.02303241938352585,0.03359953314065933,0.0274130180478096,0.04288353770971298,0.04668710008263588,0.04576178640127182,0.06223347410559654,0.06041887030005455,0.05232265591621399,0.05012945458292961,0.06090007349848747,0.06499777734279633,0.06805688515305519,0.07501522451639175,0.06417076289653778,0.0480627715587616,0.04716821387410164,0.03835288807749748,0.03506447747349739,0.0365091972053051,0.02939838543534279,0.02560625597834587,0.021615594625473022,0.016531269997358322,0.012795563787221909,0.010776884853839874,0.008622776716947556,0.0044639743864536285,0.002622690051794052,0.00169319286942482,0.00041906535625457764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1173257753252983
8,0.023002609610557556,0.03357693552970886,0.027474679052829742,0.04299519956111908,0.05173441767692566,0.06506938487291336,0.0681813471019268,0.05098759010434151,0.054891686886548996,0.06528349593281746,0.05369306355714798,0.059307850897312164,0.05613279715180397,0.06249852105975151,0.055518653243780136,0.04345756769180298,0.03587856888771057,0.036329206079244614,0.03117292746901512,0.0280875526368618,0.023962806910276413,0.019251693040132523,0.015607666224241257,0.013606738299131393,0.011798661202192307,0.006556283682584763,0.0032719410955905914,0.002766825258731842,0.0013154670596122742,0.00015237927436828613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0435645170509815
9,0.023122504353523254,0.016987957060337067,0.03872760012745857,0.04268959164619446,0.05658580735325813,0.04991544410586357,0.06234443187713623,0.06004635989665985,0.0670689195394516,0.07531515881419182,0.08579219877719879,0.0614282563328743,0.05435281619429588,0.05566034093499184,0.04542817547917366,0.04063814505934715,0.042708925902843475,0.03727596625685692,0.03448973223567009,0.02054787427186966,0.023368895053863525,0.013410959392786026,0.008841894567012787,0.008907448500394821,0.005047537386417389,0.00503602996468544,0.0023742206394672394,0.0017841532826423645,0.00069379061460495,0.00015106424689292908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0407421998679638
10,0.0230247899889946,0.033727698028087616,0.027384575456380844,0.043126724660396576,0.04647550731897354,0.045495349913835526,0.04844177886843681,0.04686267301440239,0.05371002480387688,0.0421927347779274,0.04026113823056221,0.04290682449936867,0.05251822620630264,0.0564505010843277,0.05267321690917015,0.04670712724328041,0.04431447759270668,0.03212043642997742,0.02792435884475708,0.025456707924604416,0.02562064677476883,0.017371676862239838,0.008577074855566025,0.011566869914531708,0.010378479957580566,0.006353277713060379,0.0031653158366680145,0.0011527277529239655,0.00031771883368492126,0.0005542412400245667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9168329015374184
