Results for game Edax1 against MCTSRemMaxIter3
Each cycle contains 10 games, where first half of games Edax1 is black and second half MCTSRemMaxIter3 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,55,9
1,0,47,17
1,0,51,13
1,0,54,10
1,0,45,19
1,0,50,14
1,0,59,5
1,0,48,16
1,0,47,17
1,0,45,19

Cycle: 1
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,57,7
1,0,54,10
1,0,57,7
1,0,40,24
1,0,38,26
1,0,48,16
1,0,51,13
1,0,57,7
1,0,58,6
1,0,57,7

Cycle: 2
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,39,25
1,0,51,13
0,1,28,36
1,0,50,14
1,0,64,0
1,0,64,0
1,0,56,8
1,0,58,6
0,1,29,35
1,0,53,11

Cycle: 3
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,46,18
1,0,56,8
1,0,64,0
1,0,51,13
1,0,55,9
1,0,59,5
0,1,19,45
0,1,31,33
1,0,64,0
1,0,60,4

Cycle: 4
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,53,11
1,0,49,15
1,0,51,13
1,0,64,0
1,0,48,16
1,0,54,10
1,0,58,6
1,0,52,12
1,0,64,0
1,0,60,4

Cycle: 5
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,52,12
1,0,43,21
1,0,54,10
1,0,57,7
1,0,55,9
1,0,60,4
1,0,55,9
1,0,63,1
1,0,45,19
0,1,26,38

Cycle: 6
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,62,2
1,0,61,3
1,0,62,2
1,0,56,8
1,0,46,18
1,0,60,4
1,0,63,1
1,0,64,0
1,0,54,10
1,0,58,6

Cycle: 7
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,44,20
0,1,29,35
1,0,55,9
1,0,53,11
1,0,64,0
1,0,56,8
0,1,0,64
1,0,52,12
1,0,51,13
1,0,62,2

Cycle: 8
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,56,8
1,0,49,15
1,0,63,1
1,0,45,19
1,0,64,0
0,1,18,46
1,0,64,0
0,0,32,32
1,0,54,10
1,0,43,21

Cycle: 9
Edax1,MCTSRemMaxIter3,Discs_Edax1,Discs_MCTSRemMaxIter3
1,0,39,25
1,0,50,14
1,0,59,5
1,0,52,12
1,0,55,9
1,0,49,15
1,0,47,17
0,1,29,35
1,0,51,13
1,0,47,17
