Contains move time for player DynamicRoxanne; opponent is Edax5
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.012364579364657402,0.01206689327955246,0.01156929973512888,0.011403203010559082,0.010949356481432915,0.010512235574424267,0.010290198028087616,0.00955605786293745,0.009107079356908798,0.008528798818588257,0.008185256272554398,0.008043508045375347,0.007521085441112518,0.0066074104979634285,0.0065986160188913345,0.006026852875947952,0.0058838119730353355,0.005837786011397839,0.005239634774625301,0.005079408176243305,0.004971406422555447,0.004512106068432331,0.0040608858689665794,0.003976078703999519,0.003569728694856167,0.003202352672815323,0.0027542375028133392,0.002341783605515957,0.0019383756443858147,0.00168674997985363,0.0010774433612823486,0.0008655963465571404,0.0005407901480793953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20686860661953688
2,0.012066436000168324,0.011662050150334835,0.011338885873556137,0.011091860011219978,0.010810495354235172,0.010599861852824688,0.010186790488660336,0.009799212217330933,0.009435705840587616,0.008670621551573277,0.008421918377280235,0.007727829739451408,0.007409381680190563,0.006959431804716587,0.006556196138262749,0.006195622496306896,0.00565449520945549,0.00571284256875515,0.005219602026045322,0.004883624613285065,0.0042878929525613785,0.004014398902654648,0.003537530079483986,0.0031588636338710785,0.0028021959587931633,0.002303113229572773,0.0018277699127793312,0.0017833802849054337,0.0012915460392832756,0.0007895100861787796,0.0006607929244637489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19685985799878836
3,0.012095543555915356,0.011706294491887093,0.011374752037227154,0.011015431024134159,0.010796674527227879,0.010491115972399712,0.01024975161999464,0.009341432712972164,0.008928927592933178,0.008643722161650658,0.008235429413616657,0.007743120193481445,0.007384615950286388,0.006992874667048454,0.006531497463583946,0.006114719435572624,0.005583795718848705,0.005447921343147755,0.005288423039019108,0.00526871532201767,0.0047829644754529,0.004451939836144447,0.0038691237568855286,0.0037795165553689003,0.0033767269924283028,0.0029086126014590263,0.00291623268276453,0.0023977626115083694,0.0018828893080353737,0.0016593467444181442,0.0014793528243899345,0.0012958329170942307,0.001139216125011444,0.0006317701190710068,0.0003029070794582367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20610895287245512
4,0.012105570174753666,0.011735386215150356,0.011390147730708122,0.011033586226403713,0.01063780952244997,0.010261857882142067,0.009844661690294743,0.009500442072749138,0.00894978828728199,0.00858219712972641,0.007963050156831741,0.007602042518556118,0.007154064252972603,0.006963974796235561,0.006701124832034111,0.006322815082967281,0.005962083116173744,0.005480702966451645,0.005139036104083061,0.004443963058292866,0.0042623355984687805,0.004091364331543446,0.003773762844502926,0.003210480324923992,0.003021090291440487,0.0028715990483760834,0.002777889370918274,0.002223093993961811,0.0019175037741661072,0.0017657792195677757,0.0017422353848814964,0.0012018932029604912,0.0010597696527838707,0.0008808868005871773,0.0005326196551322937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20310660731047392
5,0.01209467463195324,0.011706610210239887,0.011388474144041538,0.011205573566257954,0.01083526760339737,0.010474798269569874,0.009874936193227768,0.009701959788799286,0.00904486607760191,0.008683881722390652,0.00851029809564352,0.008243792690336704,0.007728178985416889,0.00745200552046299,0.006520603783428669,0.006093574687838554,0.005869213491678238,0.0056032342836260796,0.005136528983712196,0.004712873138487339,0.004343048669397831,0.0038372091948986053,0.0035178959369659424,0.0029500117525458336,0.0026127025485038757,0.0020528268069028854,0.0018341932445764542,0.0018614623695611954,0.0013674478977918625,0.0008360669016838074,0.000579172745347023,0.00036235712468624115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1970357410609722
6,0.012516424059867859,0.01206408441066742,0.011797280050814152,0.011553960852324963,0.011162243783473969,0.01092253066599369,0.01031829696148634,0.010251801460981369,0.009372934699058533,0.009274983778595924,0.008587638847529888,0.007962343282997608,0.007954489439725876,0.007538646459579468,0.007082131691277027,0.006530719809234142,0.006179451942443848,0.005772008560597897,0.005237976089119911,0.004802416078746319,0.004553580656647682,0.004066179506480694,0.00365560594946146,0.0031517958268523216,0.002766941674053669,0.0022545969113707542,0.002157175913453102,0.0017519369721412659,0.0013279598206281662,0.00081642996519804,0.0005581304430961609,0.0003812899813055992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20432398654520512
7,0.012524706311523914,0.012149142101407051,0.011849984526634216,0.011520960368216038,0.010982478968799114,0.010612274520099163,0.010179239325225353,0.010013846680521965,0.009414885193109512,0.009227422066032887,0.00864362996071577,0.00823494978249073,0.007868668995797634,0.00747819896787405,0.0067866649478673935,0.006572972051799297,0.006135462783277035,0.005769278854131699,0.005478188395500183,0.004853465594351292,0.00440470315515995,0.00403036642819643,0.003599412739276886,0.0031856531277298927,0.002827385440468788,0.0023219995200634003,0.001986266113817692,0.0015639904886484146,0.001037350855767727,0.0009062224999070168,0.0004531191661953926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026128899306059
8,0.012491397559642792,0.012048045173287392,0.01168026216328144,0.011522209271788597,0.010866834782063961,0.01052615325897932,0.010246030054986477,0.009721437469124794,0.009275048971176147,0.00869276188313961,0.008436810225248337,0.007013796828687191,0.007624350488185883,0.007189213298261166,0.007032847031950951,0.006632797420024872,0.006146472878754139,0.005796656012535095,0.005233753472566605,0.004700511693954468,0.004640175960958004,0.00407047662883997,0.003913793712854385,0.003662039525806904,0.0035073524340987206,0.0033589592203497887,0.003206665627658367,0.0028180740773677826,0.0024109026417136192,0.002112000249326229,0.0016784695908427238,0.00125162024050951,0.0006927987560629845,0.00031362008303403854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21051433868706226
9,0.012539667077362537,0.012100930325686932,0.011943583376705647,0.011614786460995674,0.011138325557112694,0.012733688578009605,0.010583898052573204,0.009589578956365585,0.009576485492289066,0.00919557735323906,0.008645647205412388,0.008035436272621155,0.007630469277501106,0.007284104824066162,0.006793315522372723,0.006508096121251583,0.006246091797947884,0.005645968951284885,0.005354198627173901,0.00418427400290966,0.004509953781962395,0.00400911271572113,0.003814275376498699,0.003282385878264904,0.0027051325887441635,0.0026674000546336174,0.0022293971851468086,0.0018668798729777336,0.0013887807726860046,0.0009257029742002487,0.00036750733852386475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20511065237224102
10,0.012537265196442604,0.01199024636298418,0.011625629849731922,0.011533604934811592,0.010642002336680889,0.010489402338862419,0.009961510077118874,0.009493242017924786,0.009638427756726742,0.00931701622903347,0.008889895863831043,0.008446002379059792,0.007036724127829075,0.00728954654186964,0.007046525366604328,0.006329461932182312,0.006069688126444817,0.005635499022901058,0.00527028925716877,0.004841030575335026,0.004404323175549507,0.004095756448805332,0.0036421455442905426,0.003165380097925663,0.0028110770508646965,0.0023729754611849785,0.001862616278231144,0.0017401296645402908,0.0012342166155576706,0.001111169345676899,0.0005436893552541733,0.00037616677582263947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20144265610724688
