Contains move time for player Edax22; opponent is MCTSMaxIter0
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.5377729572355747,0.11545033752918243,0.11552566289901733,0.11550550535321236,0.11926763504743576,0.11883711814880371,0.11529698595404625,0.11486098915338516,0.11829131096601486,0.11403152719140053,0.11194953694939613,0.11395547911524773,0.11416717991232872,0.11780239269137383,0.11323381215333939,0.1138627901673317,0.11415310949087143,0.1112375520169735,0.11285602301359177,0.11250273883342743,0.1094851866364479,0.11274823173880577,0.1118684634566307,0.115866769105196,0.11212601140141487,0.11212218180298805,0.11131797730922699,0.11148203164339066,0.11060354486107826,0.11093965172767639,0.1101188212633133,0.11029158905148506,0.10964367538690567,0.00015777722001075745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.169332556426525
2,0.2589452974498272,0.1210775151848793,0.11592518165707588,0.11540400981903076,0.11976440995931625,0.1276608593761921,0.11255589500069618,0.11440107598900795,0.11486140638589859,0.11522948741912842,0.12750449776649475,0.15272516384720802,0.1268884390592575,0.1183992363512516,0.12721935659646988,0.11181808263063431,0.11776197329163551,0.11299888789653778,0.11290770396590233,0.11316896602511406,0.1123560480773449,0.11270555853843689,0.11261312291026115,0.11189370229840279,0.11207746341824532,0.11209619045257568,0.11614106222987175,0.11139008775353432,0.1114506833255291,0.0012195929884910583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5511609576642513
3,0.3434473089873791,0.1152517981827259,0.1138472706079483,0.1285306140780449,0.11313347145915031,0.12841521203517914,0.11850269883871078,0.11911346763372421,0.11492859572172165,0.11433479189872742,0.11441485956311226,0.11386122927069664,0.11201103031635284,0.11389366164803505,0.12640132009983063,0.1114964485168457,0.11265221983194351,0.11319822818040848,0.11229607090353966,0.11630569025874138,0.11196428537368774,0.11150780320167542,0.11203216388821602,0.10937248170375824,0.10959947109222412,0.109376210719347,0.10866335406899452,0.11080197617411613,0.11467209458351135,0.11034549027681351,0.11031858250498772,0.0001601576805114746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.774850059300661
4,0.29633403196930885,0.1162370890378952,0.11572621390223503,0.11559484899044037,0.11519094929099083,0.11957841739058495,0.11913934722542763,0.11429232358932495,0.1273176595568657,0.1265018805861473,0.1140405610203743,0.11485176533460617,0.11350543797016144,0.11344235017895699,0.11331139132380486,0.11375809833407402,0.11297627538442612,0.1130642294883728,0.11339258030056953,0.11639872938394547,0.11245996132493019,0.11236095055937767,0.111634761095047,0.11194286122918129,0.11118965595960617,0.11553751677274704,0.10932672396302223,0.11478028073906898,0.11086998879909515,0.11422481015324593,0.11166706681251526,0.11294545978307724,0.10861526429653168,0.00015931203961372375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.962368793785572
5,0.29477236419916153,0.1285485178232193,0.11516799405217171,0.11506546288728714,0.12847556918859482,0.11523336172103882,0.11508220061659813,0.11506782472133636,0.11859274283051491,0.11399714648723602,0.11490178480744362,0.11427611857652664,0.11809809505939484,0.11406141519546509,0.11351413652300835,0.11362756043672562,0.11294789239764214,0.11304588243365288,0.11712026596069336,0.1122741810977459,0.1164461299777031,0.11278096213936806,0.11194942519068718,0.11194420605897903,0.11189942806959152,0.10951177403330803,0.11121027171611786,0.11553685367107391,0.1106347106397152,0.1109284870326519,0.110102578997612,0.12388512119650841,0.11064361035823822,0.0001303069293498993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9714743830263615
6,0.11568091064691544,0.11580784991383553,0.11554200574755669,0.11492572352290154,0.11544414237141609,0.11476783081889153,0.11532162874937057,0.11864954233169556,0.11446795612573624,0.11542335897684097,0.12579913437366486,0.11408145353198051,0.1136334203183651,0.11368211731314659,0.1135670617222786,0.116963692009449,0.11344973370432854,0.11318270862102509,0.11261545121669769,0.11252273246645927,0.11266699433326721,0.11177067831158638,0.11575381830334663,0.11169186607003212,0.11123510077595711,0.11130307242274284,0.11128727346658707,0.11148042604327202,0.11052247136831284,0.11100757867097855,0.1111159697175026,0.11087436974048615,0.11035110801458359,0.00014384835958480835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7567330300807953
7,0.1284458488225937,0.11593496426939964,0.1330294907093048,0.11540559306740761,0.11551914364099503,0.11504409462213516,0.1186625100672245,0.11420241370797157,0.11853990703821182,0.1139189675450325,0.11395980045199394,0.11454930901527405,0.11753399297595024,0.1136850081384182,0.11361809074878693,0.11752157285809517,0.11665824800729752,0.11289076879620552,0.11231361329555511,0.11213000863790512,0.11223820969462395,0.11222678795456886,0.11256615817546844,0.11120988056063652,0.11156667023897171,0.11077539995312691,0.11076638102531433,0.11098447069525719,0.11034415662288666,0.11035118997097015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.446592651307583
8,0.1157490536570549,0.11546088755130768,0.11577048525214195,0.11525598168373108,0.11544753611087799,0.12773938477039337,0.11564835160970688,0.11427605152130127,0.11506439372897148,0.11462122201919556,0.11467142030596733,0.11408419162034988,0.11415582150220871,0.11808380112051964,0.11366979777812958,0.11317269131541252,0.11277253553271294,0.11342055350542068,0.12589547410607338,0.11285318061709404,0.11225662752985954,0.11203260719776154,0.11224467307329178,0.11236164718866348,0.11148492991924286,0.11152980849146843,0.11165493726730347,0.11174335330724716,0.1108616441488266,0.11092107370495796,0.11095083132386208,0.11166005209088326,0.11083562672138214,0.11043615639209747,0.11051057651638985,0.0002278834581375122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.989525243639946
9,0.11650391295552254,0.11606854200363159,0.11591838672757149,0.11561548337340355,0.11509004235267639,0.11929043382406235,0.12843061238527298,0.11611305922269821,0.11483154445886612,0.11410413682460785,0.11429768800735474,0.11411137133836746,0.11329673230648041,0.11343216150999069,0.11357255652546883,0.11784078925848007,0.11329477652907372,0.11318213120102882,0.11250912398099899,0.11247282102704048,0.11193880066275597,0.11243772134184837,0.11219325661659241,0.11607900634407997,0.11148818954825401,0.11144737154245377,0.11143740266561508,0.11096714064478874,0.11106352135539055,0.11116528511047363,0.11022184789180756,0.12444828450679779,0.00015239790081977844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.665016531944275
10,0.11630935221910477,0.1194150485098362,0.11584965884685516,0.11931202560663223,0.11476890370249748,0.11519800126552582,0.11919502913951874,0.11822602525353432,0.11424410715699196,0.12797684594988823,0.11174449324607849,0.11360903829336166,0.11778319254517555,0.11354677379131317,0.11362200975418091,0.11338216066360474,0.11328965425491333,0.11023785918951035,0.11278323084115982,0.1122598834335804,0.11218610405921936,0.11617099121212959,0.11196595057845116,0.11594919487833977,0.11248438432812691,0.11084909737110138,0.11091288551688194,0.11110837012529373,0.11115644499659538,0.11076156795024872,0.11086110770702362,0.1103302650153637,0.0001477859914302826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.657637443393469
11,0.2659784145653248,0.11925571039319038,0.11579630896449089,0.11557084694504738,0.11518803238868713,0.13783017918467522,0.11910907924175262,0.11830182000994682,0.11225143447518349,0.11469634994864464,0.11805060878396034,0.11762180179357529,0.1183503232896328,0.1146131306886673,0.11329839378595352,0.11375949531793594,0.11306925490498543,0.11521660909056664,0.11417623236775398,0.11719761416316032,0.11228306591510773,0.11232172325253487,0.11285693198442459,0.11218057945370674,0.11217676848173141,0.11170917749404907,0.001874540001153946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1647344268858433
12,0.35376764833927155,0.11547790840268135,0.11505399644374847,0.11528037115931511,0.11489894613623619,0.11504940316081047,0.11940522864460945,0.11887675523757935,0.1148935928940773,0.11484436690807343,0.13142438232898712,0.11419597268104553,0.11153218522667885,0.11340148746967316,0.1117163896560669,0.11170635372400284,0.11294414475560188,0.1111522726714611,0.11123403161764145,0.11125706508755684,0.11230632290244102,0.11231281980872154,0.11257563158869743,0.1118377223610878,0.11192144453525543,0.11205832287669182,0.112022764980793,0.001593705266714096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3247412368655205
13,0.4787774011492729,0.11647948250174522,0.12795589864253998,0.11503789201378822,0.11494411155581474,0.11491863802075386,0.11517548561096191,0.11911524459719658,0.11449071764945984,0.11489415541291237,0.11481387168169022,0.11389730125665665,0.11556261777877808,0.11417210474610329,0.11337542161345482,0.11332104355096817,0.11289102584123611,0.11318842694163322,0.11733904108405113,0.11235965043306351,0.11242184415459633,0.11247014254331589,0.11276547610759735,0.11264606192708015,0.1254880093038082,0.14905254170298576,0.1101270504295826,0.10958758369088173,0.10965089127421379,0.11077244207262993,0.11094106361269951,0.11021115630865097,0.11032506823539734,0.11007396131753922,0.00014866888523101807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.279391493648291
14,0.508178636431694,0.11541511490941048,0.11550423875451088,0.11945226043462753,0.11263599991798401,0.11837726458907127,0.1319769322872162,0.1151834987103939,0.11441989988088608,0.11399370059370995,0.1143622100353241,0.11354980617761612,0.11356112360954285,0.11723891645669937,0.11293796077370644,0.11373651027679443,0.11302560567855835,0.11259507015347481,0.1133575588464737,0.11244224011898041,0.1122347041964531,0.11255811527371407,0.11177994683384895,0.11211198195815086,0.11183095723390579,0.11136020347476006,0.11162582039833069,0.11062824353575706,0.11045970395207405,0.11102088168263435,0.11026262119412422,0.1103997752070427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.038217503577471
15,0.3691353052854538,0.1157645732164383,0.11614105105400085,0.11564159020781517,0.11290514469146729,0.11957820877432823,0.11462115123867989,0.11461391299962997,0.11516102775931358,0.11498243361711502,0.1139623410999775,0.11818674579262733,0.11417310684919357,0.11415103822946548,0.11754515022039413,0.11356515437364578,0.11784160137176514,0.11277830973267555,0.11694630980491638,0.11321739107370377,0.10415911301970482,0.11212728917598724,0.11225707083940506,0.11541653797030449,0.11154602095484734,0.11154483258724213,0.11120317131280899,0.11071709170937538,0.11006363853812218,0.11050024628639221,0.1103111021220684,0.00016477704048156738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7809224389493465
16,0.11585574969649315,0.11583491414785385,0.1156807653605938,0.11604046076536179,0.11875269562005997,0.1147487722337246,0.1154412217438221,0.11853406950831413,0.11450756341218948,0.11461926624178886,0.11393420770764351,0.11402615159749985,0.11375405266880989,0.1179601289331913,0.11518232524394989,0.12956450879573822,0.11330927535891533,0.11297030746936798,0.11674308404326439,0.116391371935606,0.11264744028449059,0.1118117943406105,0.11211366206407547,0.11211835220456123,0.1114865206182003,0.11156578361988068,0.1111515685915947,0.11083480715751648,0.11077604815363884,0.110162653028965,0.11010638251900673,0.11034637689590454,0.10960619151592255,0.00012734532356262207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7687058188021183
17,0.11530358344316483,0.12014999613165855,0.11507590487599373,0.11567547917366028,0.11552633345127106,0.11516024172306061,0.11417534947395325,0.11429167911410332,0.11436809599399567,0.11551504582166672,0.11860255151987076,0.113519586622715,0.11415543779730797,0.11214831098914146,0.11384475976228714,0.11341993510723114,0.11297901347279549,0.11226244643330574,0.112471092492342,0.11248164996504784,0.11643672361969948,0.11177996918559074,0.110489372164011,0.11234357580542564,0.11204971745610237,0.11554021760821342,0.11496811360120773,0.11061682924628258,0.11094776540994644,0.11039210483431816,0.1108575128018856,0.12335901707410812,0.00015068426728248596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6510580964386463
18,0.11964135617017746,0.11543354392051697,0.11572538316249847,0.11529314145445824,0.11557572335004807,0.1147119328379631,0.11442403867840767,0.11489424854516983,0.11472035199403763,0.11460046470165253,0.11415383964776993,0.11386914178729057,0.11378766968846321,0.11322486773133278,0.11359239369630814,0.11352505162358284,0.11297174170613289,0.11328984424471855,0.11229035630822182,0.116510771214962,0.11262410134077072,0.11196167767047882,0.11423004418611526,0.11155989021062851,0.11132817715406418,0.1114269383251667,0.11471520736813545,0.11081502586603165,0.11023961752653122,0.11038270592689514,0.11028788611292839,0.00015739724040031433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.521964531391859
19,0.11569907143712044,0.11559373885393143,0.11550295352935791,0.11561296880245209,0.11538222804665565,0.11760909855365753,0.11471490189433098,0.11501110717654228,0.11456277593970299,0.11400586366653442,0.11538791283965111,0.11351076140999794,0.11367823928594589,0.11341510713100433,0.11362303048372269,0.11294838786125183,0.11458154767751694,0.11247838288545609,0.11231561005115509,0.11275534704327583,0.11260668188333511,0.1163090355694294,0.11293312162160873,0.11215156316757202,0.11228157579898834,0.11617114394903183,0.11193010210990906,0.11155420914292336,0.11076497659087181,0.11090350896120071,0.11015212535858154,0.11028746888041496,0.10961820557713509,0.00015204772353172302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.746204800903797
20,0.11427179351449013,0.11553147807717323,0.11521422490477562,0.11562220379710197,0.11514978483319283,0.11482484638690948,0.12449773028492928,0.11913491412997246,0.11440886929631233,0.11430211365222931,0.11524330452084541,0.11415545642375946,0.11408627405762672,0.11353326961398125,0.11352912336587906,0.11321692168712616,0.11351058632135391,0.11650769412517548,0.11311939731240273,0.11246178299188614,0.11244318634271622,0.1402389034628868,0.11593599990010262,0.12121021002531052,0.1126999668776989,0.11132083460688591,0.11160827800631523,0.1147141233086586,0.001023612916469574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2435168847441673
21,0.459229301661253,0.120036531239748,0.11529617384076118,0.11287685483694077,0.1150483563542366,0.11576614901423454,0.11519406735897064,0.11283896118402481,0.11448515206575394,0.11478403955698013,0.11513455957174301,0.11368666589260101,0.1142389103770256,0.11340680718421936,0.11351614072918892,0.11369161307811737,0.1126646026968956,0.11299470067024231,0.11302545294165611,0.1122099794447422,0.11498680338263512,0.11289629340171814,0.11649667099118233,0.0021590329706668854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9766638204455376
22,0.2695179283618927,0.11979349702596664,0.11517423018813133,0.11554186046123505,0.11461742222309113,0.11479952186346054,0.11491817235946655,0.11502563953399658,0.11489760503172874,0.11441424116492271,0.11437276005744934,0.11367528513073921,0.11151418834924698,0.11332125961780548,0.11390099301934242,0.1134876199066639,0.11081139370799065,0.11326958239078522,0.11241483688354492,0.11245162412524223,0.11261343210935593,0.11067468300461769,0.11222491413354874,0.11191743239760399,0.11193345114588737,0.11220802366733551,0.11152730137109756,0.11140188202261925,0.11129878461360931,0.11083787307143211,0.10901905223727226,0.1090167798101902,0.0007354654371738434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.773328736424446
23,0.5127490982413292,0.1228272095322609,0.11563096195459366,0.11499156802892685,0.11328768730163574,0.11473231017589569,0.11434908956289291,0.11507799848914146,0.11494755372405052,0.11409866809844971,0.1144271045923233,0.11353928968310356,0.11398641020059586,0.11390000581741333,0.11344198137521744,0.11138785630464554,0.11306417733430862,0.11266843229532242,0.11269646137952805,0.11253288388252258,0.11227743700146675,0.11260175704956055,0.11208519339561462,0.11312060430645943,0.11028682813048363,0.10934896394610405,0.10950084403157234,0.10871380567550659,0.10889572277665138,0.10821671038866043,0.10839374735951424,0.1086474098265171,0.10770119726657867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.114126969128847
24,0.34152107313275337,0.11530666425824165,0.11562810093164444,0.11533584073185921,0.11535942554473877,0.11733856424689293,0.12477132305502892,0.11427462473511696,0.11475596576929092,0.11422345414757729,0.11418859288096428,0.11397844552993774,0.11409847438335419,0.11377893760800362,0.11381956562399864,0.12609315291047096,0.11296990886330605,0.11306113004684448,0.11236438155174255,0.11235564947128296,0.11262417212128639,0.11175756901502609,0.11201786622405052,0.11610352993011475,0.1152324266731739,0.11100542917847633,0.11486652120947838,0.11093200370669365,0.11080966144800186,0.11024076119065285,0.12353050336241722,0.00025475770235061646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7845984771847725
25,0.523232989013195,0.11568982154130936,0.11572814360260963,0.11551517993211746,0.11514666676521301,0.11499593779444695,0.11858464404940605,0.11467703059315681,0.11486682668328285,0.11469588056206703,0.11435749381780624,0.11382290348410606,0.11870959028601646,0.1140507198870182,0.11368006095290184,0.11326899752020836,0.11300119012594223,0.11270127817988396,0.11683579161763191,0.11242241784930229,0.11264900490641594,0.1124303750693798,0.11177969351410866,0.11590468510985374,0.11205730214715004,0.11594001576304436,0.11115549504756927,0.11069979146122932,0.1106477752327919,0.110006894916296,0.1103813387453556,0.00037094950675964355,0.00012573599815368652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9401326216757298
26,0.11592624709010124,0.11951978132128716,0.11571354418992996,0.11528236418962479,0.1287515014410019,0.11458920314908028,0.11450887843966484,0.1316838227212429,0.11536028608679771,0.11442319676280022,0.11404621228575706,0.11436527222394943,0.11419888958334923,0.11419307813048363,0.11371707543730736,0.11353225633502007,0.11329953372478485,0.11718756705522537,0.1125837005674839,0.11249492689967155,0.11256469041109085,0.11173079907894135,0.11206969246268272,0.11199313029646873,0.11190884187817574,0.10586203262209892,0.11078858003020287,0.11088588088750839,0.11107036843895912,0.1107802540063858,0.11007270961999893,0.11032363399863243,0.00024023279547691345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.655668184161186
27,0.11557243019342422,0.11509032174944878,0.11361510679125786,0.12778901681303978,0.11527254059910774,0.11447334662079811,0.11472783237695694,0.11916230991482735,0.11444874852895737,0.11466636881232262,0.11417648568749428,0.11264612525701523,0.1140565574169159,0.11407466977834702,0.11324437335133553,0.11313218623399734,0.11596881598234177,0.11240813508629799,0.11234955862164497,0.11256590485572815,0.11170762404799461,0.10995836183428764,0.11188400164246559,0.11168646812438965,0.11143038049340248,0.11072524264454842,0.11091452091932297,0.11014768108725548,0.11041651293635368,0.11066855862736702,0.00016317516565322876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4091433621942997
28,0.11938782036304474,0.1149713583290577,0.11494587361812592,0.11560353636741638,0.11969500035047531,0.11491622775793076,0.11509710922837257,0.11438446491956711,0.11443043872714043,0.11379794403910637,0.11370811611413956,0.11411800980567932,0.11345807835459709,0.1133599802851677,0.11354362219572067,0.11168412491679192,0.11106700450181961,0.11140990629792213,0.11249253526329994,0.11200110241770744,0.1117577813565731,0.1121337078511715,0.11214081197977066,0.11217954382300377,0.11129651218652725,0.1116337850689888,0.11058954522013664,0.11082665994763374,0.11092780157923698,0.12037409096956253,0.11421223357319832,0.0001305900514125824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5222753174602985
29,0.11625167354941368,0.11926073580980301,0.11549564450979233,0.1280692107975483,0.11898788064718246,0.1153004951775074,0.11517981812357903,0.1148463673889637,0.11437099799513817,0.1142452210187912,0.11419590935111046,0.1273355446755886,0.11397072300314903,0.11410035565495491,0.11361038312315941,0.1147366613149643,0.11346948519349098,0.11331527680158615,0.11240279302001,0.11250125616788864,0.11257483810186386,0.11270869895815849,0.11269690841436386,0.11193311959505081,0.11195408552885056,0.1111777313053608,0.11518972739577293,0.11497467383742332,0.11091658845543861,0.11428682133555412,0.110142070800066,0.11059905588626862,0.10962099581956863,0.00015773996710777283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78057948872447
30,0.12019245326519012,0.11526571214199066,0.11588166654109955,0.11474791169166565,0.11415387317538261,0.11539269983768463,0.13081080839037895,0.11502443253993988,0.11454033479094505,0.11422582343220711,0.11405981704592705,0.11414084583520889,0.11427659168839455,0.11333474144339561,0.11732153967022896,0.11365870386362076,0.113715261220932,0.1166963018476963,0.11688419431447983,0.12580379843711853,0.11305712163448334,0.11244293674826622,0.1117771528661251,0.11184779182076454,0.11186045780777931,0.11599928140640259,0.11118951439857483,0.11555055528879166,0.11150430887937546,0.11076387390494347,0.11136949062347412,0.11060639098286629,0.11427079886198044,0.0002552904188632965,0.00012203678488731384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7927445136010647
31,0.39450806751847267,0.1176285557448864,0.1280481331050396,0.11643193662166595,0.11554930359125137,0.11547840014100075,0.11483215168118477,0.12745682522654533,0.12848937883973122,0.1366480216383934,0.11923615634441376,0.11406400427222252,0.11746092885732651,0.11857106909155846,0.12326161563396454,0.11590227112174034,0.11322162300348282,0.11245615780353546,0.11641066521406174,0.16138391941785812,0.11271961778402328,0.11224179714918137,0.11200204864144325,0.11108554154634476,0.11146113649010658,0.11188164353370667,0.10925651341676712,0.10956859588623047,0.11063947901129723,0.11039039120078087,0.00016535446047782898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.818451303988695
