Contains move time for player Greedy; opponent is Edax2
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.01208452507853508,0.011783046647906303,0.011443532072007656,0.011155934073030949,0.010825499892234802,0.01045091263949871,0.010305844247341156,0.009921647608280182,0.00945025309920311,0.008912072516977787,0.008615933358669281,0.008279239758849144,0.007872691377997398,0.007404339499771595,0.0067984312772750854,0.006361798383295536,0.005758652463555336,0.005484052002429962,0.0049387505277991295,0.00511458795517683,0.004992414265871048,0.004572206176817417,0.004005727358162403,0.0038278112187981606,0.003601442091166973,0.0034287413582205772,0.003240395337343216,0.003214031457901001,0.002703768201172352,0.0025744838640093803,0.0025188466534018517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2116416124626994
2,0.012018654495477676,0.011621629819273949,0.01157181803137064,0.011208114214241505,0.010675923898816109,0.010322503745555878,0.009916230104863644,0.00952861923724413,0.01072627305984497,0.008816936984658241,0.008417710661888123,0.007934579625725746,0.007570495828986168,0.007058023475110531,0.006469232030212879,0.006453309208154678,0.005897992290556431,0.005687735974788666,0.005352257750928402,0.00525062158703804,0.005097152665257454,0.004652918316423893,0.004428384825587273,0.00437419768422842,0.0038256803527474403,0.0037629790604114532,0.003282194957137108,0.003184511326253414,0.002809390425682068,0.002457250840961933,0.0020006010308861732,0.0016355542466044426,0.0011652763932943344,0.000670374371111393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158451285213232
3,0.012010621838271618,0.011526750400662422,0.01137405727058649,0.011031260713934898,0.010602348484098911,0.0103480638936162,0.010088732466101646,0.009766577742993832,0.009157395921647549,0.008804400451481342,0.008378928527235985,0.007875380106270313,0.007430396042764187,0.0068032024428248405,0.00691455602645874,0.006465652026236057,0.005988462828099728,0.005615035071969032,0.0051641082391142845,0.0046508703380823135,0.00447112787514925,0.004124618135392666,0.003765520639717579,0.0033282339572906494,0.0028786081820726395,0.0026677576825022697,0.00242631696164608,0.0023042084649205208,0.0019341139122843742,0.0016297977417707443,0.0012207301333546638,0.000746874138712883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014947086572647
4,0.012028174474835396,0.011642617173492908,0.011390838772058487,0.011072077788412571,0.010710000060498714,0.010254631750285625,0.009944169782102108,0.00963224470615387,0.009084483608603477,0.008532283827662468,0.008252859115600586,0.007818218320608139,0.007509722374379635,0.0070192329585552216,0.006653169170022011,0.006139212287962437,0.005692364647984505,0.005217192694544792,0.005004465579986572,0.004824352450668812,0.004638172686100006,0.004426663741469383,0.004297963343560696,0.0040087513625621796,0.0034042876213788986,0.00331982783973217,0.002810136415064335,0.002686183899641037,0.002209263853728771,0.002003321424126625,0.0019608642905950546,0.0014289570972323418,0.001254200004041195,0.0011432105675339699,0.00072508305311203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20873919874429703
5,0.011990753002464771,0.011587572284042835,0.01137873437255621,0.011251653544604778,0.009489171206951141,0.010598277673125267,0.009956637397408485,0.009543154388666153,0.008851864375174046,0.008800665847957134,0.008277099579572678,0.00816410593688488,0.007674730382859707,0.007449151948094368,0.007371358573436737,0.0067799948155879974,0.006673999130725861,0.006415822543203831,0.006279982626438141,0.005843348801136017,0.005696002393960953,0.005473105236887932,0.00533154234290123,0.005300799384713173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19617952778935432
6,0.012393728829920292,0.012021934613585472,0.011706138961017132,0.011519460938870907,0.011291628703474998,0.010873091407120228,0.010488648898899555,0.010140292346477509,0.009720871224999428,0.009043475612998009,0.008384780026972294,0.008034668862819672,0.0076829129830002785,0.007573012262582779,0.006847851909697056,0.006468052044510841,0.0061756884679198265,0.005612465552985668,0.005186154507100582,0.004803785122931004,0.004429871216416359,0.004089765250682831,0.0035763513296842575,0.0030576083809137344,0.0028378404676914215,0.002644570544362068,0.002441112883388996,0.0023061176761984825,0.0018927473574876785,0.0015505105257034302,0.0011080531403422356,0.0005906000733375549,0.00041432399302721024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2069081161171198
7,0.012480919249355793,0.011988300830125809,0.011730643920600414,0.011693600565195084,0.01111120730638504,0.010689705610275269,0.01019820012152195,0.009789090603590012,0.00921565294265747,0.0087222158908844,0.0084340525791049,0.007920360192656517,0.007446432486176491,0.007501520216464996,0.006975566036999226,0.006493811495602131,0.006365225650370121,0.005854069255292416,0.005814645439386368,0.00549648143351078,0.0049917325377464294,0.0045250216498970985,0.004338386468589306,0.004233264364302158,0.0037418119609355927,0.0036344146355986595,0.0032075373455882072,0.0027944371104240417,0.0023591965436935425,0.0018343403935432434,0.0016537075862288475,0.0015563806518912315,0.0011805826798081398,0.0007096175104379654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21668213326483965
8,0.012519840151071548,0.01209837943315506,0.011659079231321812,0.011403771117329597,0.011184735223650932,0.010731114074587822,0.010393694043159485,0.009895270690321922,0.009660022333264351,0.009689120575785637,0.008681495673954487,0.007207532413303852,0.007780022919178009,0.007338886149227619,0.006892719306051731,0.006403551436960697,0.005914858542382717,0.0055075520649552345,0.005032272078096867,0.004502387717366219,0.004761378280818462,0.004283406771719456,0.004093297757208347,0.003925435245037079,0.003904535435140133,0.0033737635239958763,0.002991253510117531,0.002466907724738121,0.0022160960361361504,0.0020329710096120834,0.001700746826827526,0.0016720034182071686,0.001148320734500885,0.0006779562681913376,0.000313696451485157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2140580741688609
9,0.012442833743989468,0.011209256015717983,0.011601079255342484,0.011412550695240498,0.010862495750188828,0.010298282839357853,0.010133716277778149,0.009638606570661068,0.009201287291944027,0.009171847254037857,0.008600662462413311,0.008208752609789371,0.007811007089912891,0.00732217263430357,0.00703311525285244,0.006514187902212143,0.006109436042606831,0.005679692141711712,0.005181734450161457,0.00468843150883913,0.004526898264884949,0.004427378065884113,0.003925061784684658,0.0037337206304073334,0.0036733048036694527,0.003223458305001259,0.002800961025059223,0.0021962178871035576,0.002004263922572136,0.0015109442174434662,0.0013945065438747406,0.001020350493490696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20755821373313665
10,0.012491991743445396,0.011918964795768261,0.011569146998226643,0.011285027489066124,0.011109053157269955,0.010709150694310665,0.010285659693181515,0.00977399293333292,0.009261713363230228,0.009134566411376,0.008742925710976124,0.007167896255850792,0.007923400960862637,0.007539533078670502,0.007082716561853886,0.006542200222611427,0.006020143628120422,0.0054868608713150024,0.005298922769725323,0.005083154886960983,0.004832981154322624,0.004783211275935173,0.004294120706617832,0.004076785407960415,0.003974637947976589,0.0035467948764562607,0.0030812472105026245,0.002916034311056137,0.002814668230712414,0.0024711396545171738,0.0020417142659425735,0.0016366168856620789,0.0011761076748371124,0.0007971357554197311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21687021758407354
