Contains move time for player Roxanne; opponent is Edax5
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.012167568318545818,0.0119243785738945,0.011617643758654594,0.011371488682925701,0.011113055050373077,0.010680966079235077,0.010320213623344898,0.009818345308303833,0.00916020106524229,0.008846467360854149,0.008388042449951172,0.008055402897298336,0.007573192939162254,0.0071504246443510056,0.006613127887248993,0.006208566017448902,0.0058090463280677795,0.005325199104845524,0.005172215402126312,0.004600426182150841,0.0042160265147686005,0.0037693390622735023,0.003364546224474907,0.0029135877266526222,0.0023979954421520233,0.0023551099002361298,0.0018399162217974663,0.0017280159518122673,0.001275559887290001,0.0011378470808267593,0.0007338756695389748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1976477913558483
2,0.012126971036195755,0.011604215018451214,0.011305510997772217,0.011042807251214981,0.010785874910652637,0.0104377381503582,0.010010616853833199,0.009528313763439655,0.009192109107971191,0.008773185312747955,0.008228238672018051,0.0077455909922719,0.0075235385447740555,0.005967897363007069,0.006624540314078331,0.006096686236560345,0.006048968061804771,0.005619330331683159,0.005115766078233719,0.004731922410428524,0.004428606480360031,0.004183982498943806,0.0035591963678598404,0.0030625397339463234,0.0030233534052968025,0.002607230097055435,0.0020518526434898376,0.0018795561045408249,0.0016597919166088104,0.0014217300340533257,0.0012994902208447456,0.0009032832458615303,0.0003974931314587593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198987927287817
3,0.012164056301116943,0.011726425029337406,0.011211508885025978,0.010986306704580784,0.01088039856404066,0.010126620531082153,0.010259243659675121,0.009175114333629608,0.008726059459149837,0.008347855880856514,0.008126831613481045,0.007415366359055042,0.007570069283246994,0.0071328068152070045,0.006494121626019478,0.00611390545964241,0.005880577489733696,0.005487953312695026,0.00499340146780014,0.004517142660915852,0.004074082709848881,0.0037835706025362015,0.0032143285498023033,0.003025864250957966,0.002914993092417717,0.0025800224393606186,0.0021038195118308067,0.0015587229281663895,0.0014406293630599976,0.00129637960344553,0.0007857298478484154,0.0005957325920462608,0.00034513045102357864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19505477137863636
4,0.011995839886367321,0.011833216063678265,0.01148940622806549,0.011068384163081646,0.010529573075473309,0.01011552382260561,0.010067367926239967,0.009329461492598057,0.008981005288660526,0.008597947657108307,0.00787228811532259,0.008220264688134193,0.0075799208134412766,0.007165343500673771,0.006604754365980625,0.006400425918400288,0.005934558808803558,0.005418880842626095,0.00510414969176054,0.004566540010273457,0.004236425273120403,0.0037935106083750725,0.0033167898654937744,0.00292325671762228,0.0025532161816954613,0.0021212128922343254,0.0017810855060815811,0.0012252070009708405,0.001085386611521244,0.0007288772612810135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926398202776909
5,0.01211430225521326,0.01172869186848402,0.011624649167060852,0.011075899936258793,0.01077674888074398,0.010212971828877926,0.010033310391008854,0.009628210216760635,0.009088774211704731,0.008685288019478321,0.008142719976603985,0.007845111191272736,0.007663458585739136,0.007162211462855339,0.006741131655871868,0.006231151521205902,0.005868727341294289,0.005475662648677826,0.005089002661406994,0.004514901898801327,0.004313608631491661,0.0038993656635284424,0.0038532130420207977,0.0032602492719888687,0.0032467832788825035,0.0027555525302886963,0.002405049279332161,0.001952056773006916,0.0014239493757486343,0.001306319609284401,0.0007986035197973251,0.0005923723801970482,0.0003820899873971939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19989213906228542
6,0.012548902072012424,0.012045995332300663,0.011886357329785824,0.010791471228003502,0.011068673804402351,0.010754501447081566,0.010170254856348038,0.009941351599991322,0.009271464310586452,0.008823473006486893,0.008563908748328686,0.007600710727274418,0.007749493233859539,0.007345304824411869,0.007147478871047497,0.006594184786081314,0.006339907646179199,0.005881068296730518,0.005377315916121006,0.0048980433493852615,0.004582573659718037,0.004143125377595425,0.003653225488960743,0.00310323853045702,0.0029816729947924614,0.002564973197877407,0.0020988229662179947,0.0018484247848391533,0.001529197208583355,0.001103459857404232,0.0006632097065448761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20307178515940905
7,0.012470080517232418,0.012047609314322472,0.01182379387319088,0.0113865090534091,0.011154373176395893,0.010842237621545792,0.01042234618216753,0.010062703862786293,0.009392798878252506,0.009320786222815514,0.008634478785097599,0.00823694746941328,0.007729141972959042,0.007429782301187515,0.0070876991376280785,0.006609291769564152,0.006189659237861633,0.005733734928071499,0.005332185886800289,0.004973232746124268,0.004531878978013992,0.0038258740678429604,0.003706582821905613,0.0032832762226462364,0.0028808023780584335,0.0024498729035258293,0.002018645405769348,0.0015836767852306366,0.0011464999988675117,0.000741913914680481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2030484164133668
8,0.01181538961827755,0.012103475630283356,0.011728854849934578,0.011526436544954777,0.01116288360208273,0.01060423906892538,0.010210967622697353,0.009604437276721,0.009538927115499973,0.008982564322650433,0.008643055334687233,0.007992438971996307,0.007688996382057667,0.007252169772982597,0.007014811970293522,0.006754562258720398,0.005986666306853294,0.0056944554671645164,0.005239645950496197,0.0048006316646933556,0.0043134428560733795,0.004109223373234272,0.004022900015115738,0.0035077594220638275,0.003387211821973324,0.0030900323763489723,0.0025453483685851097,0.0020583737641572952,0.001883242279291153,0.0017927903681993484,0.001373685896396637,0.0008516022935509682,0.0006186394020915031,0.0003542136400938034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20825407560914755
9,0.012567628175020218,0.01206160057336092,0.011762075126171112,0.011503864079713821,0.011050057597458363,0.011022400110960007,0.01042473316192627,0.009736190550029278,0.009201585315167904,0.009135185740888119,0.00860317051410675,0.008163431659340858,0.007831285707652569,0.0072450898587703705,0.006827336736023426,0.006442485377192497,0.006030576303601265,0.00557273905724287,0.005164931528270245,0.004682955332100391,0.00470382533967495,0.004234970547258854,0.0037124361842870712,0.0034808283671736717,0.0033202702179551125,0.0033341767266392708,0.002888903021812439,0.0024140626192092896,0.0020203525200486183,0.001534140668809414,0.0010801032185554504,0.0009759794920682907,0.00040085986256599426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20913023129105568
10,0.012438652105629444,0.012131455354392529,0.011661051772534847,0.011367934755980968,0.010931299068033695,0.010564224794507027,0.010478595271706581,0.0097252381965518,0.009369025938212872,0.009136621840298176,0.008603380993008614,0.008066234178841114,0.007656935602426529,0.007337079383432865,0.006938302889466286,0.006565172225236893,0.00596843846142292,0.005665135569870472,0.005418702028691769,0.004762906581163406,0.0044039152562618256,0.004144299775362015,0.0037468196824193,0.00318806990981102,0.002746312879025936,0.0023434124886989594,0.0018263328820466995,0.0017543202266097069,0.0012181838974356651,0.0009912475943565369,0.0009789634495973587,0.00039083976298570633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20251910481601954
