
Tournament1 start

Opponent,win_black,draw_black,disc_diff_black,win_white,draw_white,disc_diff_white,mean_win,mean_disc_win,mean_disc_loose
AlphaBeta1,0,0,-64,1,0,64,0.5,64.0,-64.0

AlphaBeta2,1,0,32,0,0,-64,0.5,32.0,-64.0

AlphaBeta3,1,0,28,1,0,22,1.0,25.0,0

AlphaBeta4,1,0,32,1,0,30,1.0,31.0,0

AlphaBeta5,0,0,-10,0,0,-64,0.0,0,-37.0

AlphaBeta6,0,0,-38,0,0,-10,0.0,0,-24.0

MCTSMaxIter0,1,0,62,1,0,42,1.0,52.0,0

MCTSMaxIter1,1,0,40,1,0,40,1.0,40.0,0

MCTSMaxIter2,0,0,-8,1,0,28,0.5,28.0,-8.0

MCTSMaxIter3,1,0,40,0,0,-16,0.5,40.0,-16.0

MCTSMaxIter4,1,0,30,1,0,64,1.0,47.0,0

MCTSMaxIter5,0,1,0,1,0,56,0.5,56.0,0

MCTSRemMaxIter0,1,0,62,1,0,64,1.0,63.0,0

MCTSRemMaxIter1,1,0,18,1,0,36,1.0,27.0,0

MCTSRemMaxIter2,1,0,42,1,0,22,1.0,32.0,0

MCTSRemMaxIter3,1,0,42,1,0,46,1.0,44.0,0

MCTSRemMaxIter4,1,0,56,1,0,40,1.0,48.0,0

MCTSRemMaxIter5,1,0,64,1,0,16,1.0,40.0,0

StaticBoard1,1,0,32,1,0,24,1.0,28.0,0

StaticBoard2,1,0,48,0,0,-64,0.5,48.0,-64.0

StaticBoard3,1,0,40,1,0,64,1.0,52.0,0

StaticBoard4,1,0,56,1,0,4,1.0,30.0,0

StaticBoard5,1,0,36,0,0,-64,0.5,36.0,-64.0

StaticBoard6,1,0,8,0,0,-64,0.5,8.0,-64.0

DynamicBoard1,1,0,16,1,0,24,1.0,20.0,0

DynamicBoard2,1,0,8,0,0,-64,0.5,8.0,-64.0

DynamicBoard3,1,0,40,1,0,64,1.0,52.0,0

DynamicBoard4,1,0,56,1,0,4,1.0,30.0,0

DynamicBoard5,1,0,36,0,0,-64,0.5,36.0,-64.0

DynamicBoard6,1,0,8,0,0,-64,0.5,8.0,-64.0


End of Tournament1

