Results of games between Edax5 against deterministic opponents. 
First game Edax5 is black and second game opponent is black

Tournament5 start

Opponent,win_black,draw_black,disc_diff_black,win_white,draw_white,disc_diff_white,mean_win,mean_disc_win,mean_disc_loose
AlphaBeta1,1,0,44,1,0,52,1.0,48.0,0

AlphaBeta2,1,0,54,1,0,12,1.0,33.0,0

AlphaBeta3,1,0,54,1,0,44,1.0,49.0,0

AlphaBeta4,1,0,52,1,0,50,1.0,51.0,0

AlphaBeta5,1,0,58,1,0,54,1.0,56.0,0

AlphaBeta6,1,0,36,1,0,26,1.0,31.0,0

StaticBoard1,1,0,54,1,0,46,1.0,50.0,0

StaticBoard2,1,0,42,1,0,44,1.0,43.0,0

StaticBoard3,1,0,32,1,0,42,1.0,37.0,0

StaticBoard4,1,0,56,1,0,32,1.0,44.0,0

StaticBoard5,1,0,28,1,0,56,1.0,42.0,0

StaticBoard6,1,0,40,1,0,30,1.0,35.0,0

DynamicBoard1,1,0,54,1,0,64,1.0,59.0,0

DynamicBoard2,1,0,52,1,0,44,1.0,48.0,0

DynamicBoard3,1,0,32,1,0,42,1.0,37.0,0

DynamicBoard4,1,0,60,1,0,32,1.0,46.0,0

DynamicBoard5,1,0,28,1,0,56,1.0,42.0,0

DynamicBoard6,1,0,46,1,0,30,1.0,38.0,0

MCTSMaxIter0,1,0,64,1,0,54,1.0,59.0,0

MCTSMaxIter1,1,0,60,1,0,60,1.0,60.0,0

MCTSMaxIter2,1,0,62,1,0,46,1.0,54.0,0

MCTSMaxIter3,1,0,58,1,0,58,1.0,58.0,0

MCTSMaxIter4,1,0,64,1,0,48,1.0,56.0,0

MCTSMaxIter5,1,0,56,1,0,62,1.0,59.0,0

MCTSRemMaxIter0,1,0,62,1,0,64,1.0,63.0,0

MCTSRemMaxIter1,1,0,64,1,0,64,1.0,64.0,0

MCTSRemMaxIter2,1,0,42,1,0,62,1.0,52.0,0

MCTSRemMaxIter3,1,0,64,1,0,60,1.0,62.0,0

MCTSRemMaxIter4,1,0,44,1,0,64,1.0,54.0,0

Tournament5 start

Opponent,win_black,draw_black,disc_diff_black,win_white,draw_white,disc_diff_white,mean_win,mean_disc_win,mean_disc_loose
MCTSRemMaxIter0,1,0,56,1,0,62,1.0,59.0,0

MCTSRemMaxIter1,1,0,50,1,0,54,1.0,52.0,0

MCTSRemMaxIter2,1,0,56,1,0,62,1.0,59.0,0

MCTSRemMaxIter3,1,0,52,1,0,36,1.0,44.0,0

MCTSRemMaxIter4,1,0,48,1,0,58,1.0,53.0,0

MCTSRemMaxIter5,1,0,58,1,0,44,1.0,51.0,0


End of Tournament5

