Contains move time for player DynamicRoxanne; opponent is Edax1
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.008888877928256989,0.0069676898419857025,0.008884046226739883,0.005636777728796005,0.00932542234659195,0.008521944284439087,0.00851418823003769,0.005328543484210968,0.004384484142065048,0.00423131138086319,0.00431915745139122,0.00820424035191536,0.005317416042089462,0.004529021680355072,0.0073309242725372314,0.005680445581674576,0.005544688552618027,0.0033904723823070526,0.002881031483411789,0.0024540647864341736,0.002446237951517105,0.002227894961833954,0.006840135902166367,0.006222587078809738,0.0020576640963554382,0.0017435476183891296,0.0011398270726203918,0.0009530708193778992,0.0016250833868980408,0.0009280592203140259,0.0007382296025753021,0.0005376189947128296,0.0004144534468650818,0.00033238157629966736,0.0001797005534172058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14872124046087265
2,0.009624440222978592,0.010659422725439072,0.008537162095308304,0.01412273570895195,0.007506504654884338,0.016223851591348648,0.007765810936689377,0.004936590790748596,0.004893708974123001,0.007505390793085098,0.004175290465354919,0.004072345793247223,0.003734540194272995,0.003927115350961685,0.006142355501651764,0.0030893832445144653,0.0029870569705963135,0.00276990607380867,0.002535749226808548,0.002362217754125595,0.003201127052307129,0.0018602535128593445,0.001836538314819336,0.0014542564749717712,0.001332610845565796,0.0010151639580726624,0.0009878799319267273,0.0015477091073989868,0.0008566156029701233,0.0005095414817333221,0.0002075284719467163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14238080382347107
3,0.01004074513912201,0.005762938410043716,0.005499802529811859,0.005514487624168396,0.005332417786121368,0.005179408937692642,0.004961393773555756,0.00472191721200943,0.004638876765966415,0.004586514085531235,0.004418063908815384,0.004789967089891434,0.006614465266466141,0.00785563513636589,0.003274396061897278,0.0031155645847320557,0.0051347799599170685,0.003543369472026825,0.002672061324119568,0.005015656352043152,0.006676904857158661,0.0024857036769390106,0.0017867423593997955,0.0021708235144615173,0.0012368448078632355,0.0011176876723766327,0.0013271607458591461,0.0007515698671340942,0.0010014176368713379,0.0003610774874687195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12158839404582977
4,0.0061977580189704895,0.007404401898384094,0.0057485513389110565,0.005533087998628616,0.009311161935329437,0.005928952246904373,0.004997182637453079,0.0047410354018211365,0.004606518894433975,0.004360321909189224,0.004791200160980225,0.0038406774401664734,0.0036403462290763855,0.004065662622451782,0.003132198005914688,0.00309092178940773,0.0030189864337444305,0.0034606456756591797,0.0026143789291381836,0.002455327659845352,0.0027951188385486603,0.002101302146911621,0.002585694193840027,0.0026583559811115265,0.001473885029554367,0.0012385174632072449,0.0013338103890419006,0.0013736076653003693,0.0006575770676136017,0.0003994107246398926,0.0004896968603134155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11004629358649254
5,0.0071877241134643555,0.01080533117055893,0.010874252766370773,0.011446215212345123,0.010472327470779419,0.010570742189884186,0.010308224707841873,0.009768471121788025,0.005187898874282837,0.008940882980823517,0.005265813320875168,0.003818690776824951,0.004135552793741226,0.003521304577589035,0.0067521147429943085,0.006299164146184921,0.0047812797129154205,0.0051203444600105286,0.004972200840711594,0.004712790250778198,0.005926515907049179,0.0030363351106643677,0.002529870718717575,0.0032850317656993866,0.0017740540206432343,0.002188749611377716,0.0017504282295703888,0.0018399357795715332,0.0015414431691169739,0.001788109540939331,0.0006128400564193726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17121464014053345
6,0.012309588491916656,0.01104334369301796,0.010009758174419403,0.010524231940507889,0.010292675346136093,0.010390520095825195,0.0049398429691791534,0.008445914834737778,0.008200399577617645,0.004302315413951874,0.003988601267337799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09444719180464745
7,0.011472627520561218,0.012132436037063599,0.009101718664169312,0.008953429758548737,0.005262121558189392,0.005941137671470642,0.005095750093460083,0.009510759264230728,0.008193258196115494,0.009047839790582657,0.006704647094011307,0.004036370664834976,0.00624644011259079,0.004320058971643448,0.00647822767496109,0.006364163011312485,0.005931083112955093,0.005998123437166214,0.004858534783124924,0.0032998062670230865,0.00396345928311348,0.003629036247730255,0.0015891753137111664,0.002963125705718994,0.0027023889124393463,0.0022597461938858032,0.0018735453486442566,0.0008567459881305695,0.0010503008961677551,0.00034318119287490845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601792387664318
8,0.008693985641002655,0.008209384977817535,0.011260505765676498,0.010563429445028305,0.01113269105553627,0.00788579136133194,0.01007525622844696,0.009004313498735428,0.00935375690460205,0.009236223995685577,0.008291468024253845,0.004384957253932953,0.00370025634765625,0.006113067269325256,0.004503704607486725,0.006288178265094757,0.006347246468067169,0.0060342177748680115,0.005077436566352844,0.0028259344398975372,0.004684973508119583,0.003872465342283249,0.0027415193617343903,0.0022826381027698517,0.0023603513836860657,0.0025047361850738525,0.002087097615003586,0.0012329034507274628,0.0009409412741661072,0.00046920403838157654,0.00030889734625816345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17246753349900246
9,0.01203005388379097,0.011758215725421906,0.010520070791244507,0.006361387670040131,0.00609593465924263,0.0051457323133945465,0.009523905813694,0.009762130677700043,0.00922059640288353,0.00725199282169342,0.00791010633111,0.007873356342315674,0.00758800283074379,0.006792053580284119,0.006422221660614014,0.006071858108043671,0.004854880273342133,0.0033126696944236755,0.002952512353658676,0.0034413784742355347,0.004770398139953613,0.0046713873744010925,0.003994252532720566,0.0018095560371875763,0.0034394264221191406,0.0041941627860069275,0.0030851587653160095,0.0013604052364826202,0.001250721514225006,0.0020551756024360657,0.0014012232422828674,0.0007787980139255524,0.0008968375623226166,0.0005004182457923889,0.0003894492983818054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17948643118143082
10,0.01234310120344162,0.010785304009914398,0.005696654319763184,0.01084950938820839,0.00965474545955658,0.010691218078136444,0.008790425956249237,0.00979265570640564,0.008048683404922485,0.008248243480920792,0.007591068744659424,0.006902925670146942,0.007541988044977188,0.0068402960896492004,0.006736960262060165,0.00649607926607132,0.00593123584985733,0.0044234804809093475,0.005041982978582382,0.004338689148426056,0.004413280636072159,0.00399385392665863,0.0032097995281219482,0.003410130739212036,0.0027667880058288574,0.0012537464499473572,0.0018098950386047363,0.001329910010099411,0.001238800585269928,0.0005541741847991943,0.00018691644072532654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809125430881977
11,0.01073937863111496,0.011829651892185211,0.010790415108203888,0.006939049810171127,0.005968403071165085,0.008074834942817688,0.008753404021263123,0.006200820207595825,0.005209408700466156,0.00929606705904007,0.008630815893411636,0.006604984402656555,0.007677245885133743,0.006994277238845825,0.0033940598368644714,0.0055653974413871765,0.006213348358869553,0.00457000732421875,0.0026612095534801483,0.004890941083431244,0.00440274178981781,0.003861069679260254,0.0033810995519161224,0.003040611743927002,0.0026750117540359497,0.0011039488017559052,0.0017544515430927277,0.0013635344803333282,0.0007648877799510956,0.0003054700791835785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163656547665596
12,0.008958283811807632,0.00997699424624443,0.01068093255162239,0.010575953871011734,0.010724883526563644,0.009917005896568298,0.008083675056695938,0.00819183886051178,0.009092956781387329,0.008736513555049896,0.007529046386480331,0.007872074842453003,0.006707366555929184,0.007354602217674255,0.00690893828868866,0.0062593333423137665,0.005272164940834045,0.005812276154756546,0.0029299892485141754,0.0041024088859558105,0.004639752209186554,0.004072166979312897,0.003174956887960434,0.0029418617486953735,0.0029409974813461304,0.0025324486196041107,0.002149909734725952,0.0014849044382572174,0.0013637132942676544,0.000975828617811203,0.0005910545587539673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18255483359098434
