Contains move time for player Edax2; opponent is DynamicRoxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.40295517817139626,0.11249645054340363,0.11207374930381775,0.1236548088490963,0.12474605441093445,0.11151427775621414,0.12081515416502953,0.11088896542787552,0.12301534786820412,0.12234586477279663,0.10994468256831169,0.10973386839032173,0.12211218103766441,0.10941538587212563,0.11907249316573143,0.10834869369864464,0.10817216709256172,0.10767407715320587,0.12001251429319382,0.10712247714400291,0.11619564518332481,0.11646247655153275,0.10622460395097733,0.10579428821802139,0.10532557591795921,0.10468561947345734,0.10425461083650589,0.10377436503767967,0.1032157689332962,0.10284198075532913,0.1023615151643753,0.0005138702690601349,0.0002420172095298767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.758006729185581
2,0.30088911578059196,0.1123470664024353,0.11187388375401497,0.11187369376420975,0.11163651570677757,0.11161848902702332,0.11099236086010933,0.11123131588101387,0.11074289679527283,0.11009559407830238,0.1096159964799881,0.10908963903784752,0.1088850274682045,0.108763188123703,0.1084306500852108,0.1085185669362545,0.10793522000312805,0.10767378658056259,0.10741642117500305,0.10685257613658905,0.10656842961907387,0.1060095764696598,0.10552383586764336,0.10497495904564857,0.10568507388234138,0.10488421469926834,0.10413661599159241,0.10388568416237831,0.10388626158237457,0.10292398184537888,0.10242658853530884,0.0003363490104675293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5377235747873783
3,0.30476243793964386,0.11269872263073921,0.11224319785833359,0.11184633895754814,0.1116684041917324,0.11141303554177284,0.11154816299676895,0.1113455668091774,0.11187604069709778,0.11071465536952019,0.11008735746145248,0.10981770232319832,0.10931644961237907,0.10907211899757385,0.10855412855744362,0.10830877721309662,0.10807981342077255,0.10759864747524261,0.10743193328380585,0.10697164013981819,0.10653405264019966,0.10608421266078949,0.10570763424038887,0.10524234175682068,0.1048898845911026,0.10423189774155617,0.1038128137588501,0.10330440476536751,0.10288304835557938,0.1025320291519165,0.10202033817768097,0.0003546178340911865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5429524071514606
4,0.29693976789712906,0.112502571195364,0.11210264265537262,0.11210490018129349,0.11153746023774147,0.10987667366862297,0.11000271514058113,0.11069338768720627,0.11033429205417633,0.11056225746870041,0.11060259118676186,0.11013390868902206,0.10975497215986252,0.10914817452430725,0.10864601284265518,0.12107251212000847,0.12062488123774529,0.10787082090973854,0.1073746532201767,0.10684117674827576,0.10637445002794266,0.10612127184867859,0.10607607290148735,0.10561768710613251,0.1050226055085659,0.10469701513648033,0.10414067283272743,0.10379313677549362,0.1036541685461998,0.10314322263002396,0.10277338325977325,0.10207587853074074,0.0003043040633201599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6625202409923077
5,0.2975916229188442,0.11228278651833534,0.12205399572849274,0.11179811134934425,0.11136879771947861,0.11127055436372757,0.11116823554039001,0.11102871596813202,0.1103413961827755,0.11028029769659042,0.11012981459498405,0.10972417518496513,0.10940113291144371,0.10901573300361633,0.10829447209835052,0.12070129439234734,0.10811533033847809,0.10799318924546242,0.10779812559485435,0.1073058694601059,0.10736972093582153,0.11876346915960312,0.10678031668066978,0.10583120584487915,0.10504120960831642,0.10459233820438385,0.10476605594158173,0.10375247150659561,0.10354708880186081,0.1027640849351883,0.10220042616128922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.573072038590908
6,0.3009028881788254,0.1127106137573719,0.11219113692641258,0.11194629594683647,0.1248776987195015,0.1118679791688919,0.12404695898294449,0.12382238358259201,0.11094963923096657,0.11997775733470917,0.11018053814768791,0.1095130480825901,0.11798838898539543,0.10891181230545044,0.10845859721302986,0.12112363427877426,0.10829826444387436,0.10805197060108185,0.11969592422246933,0.1200689934194088,0.10714314877986908,0.11677414178848267,0.10571746528148651,0.10546889156103134,0.11780442297458649,0.1170840747654438,0.10443739593029022,0.10389604046940804,0.10409308969974518,0.10321705788373947,0.11505775898694992,0.11498074978590012,0.0003204345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8015791960060596
7,0.2982761040329933,0.11233248561620712,0.11216993629932404,0.11197799444198608,0.1063518337905407,0.11153797805309296,0.11092519015073776,0.11211707070469856,0.11078407242894173,0.11030413582921028,0.11013753339648247,0.10989026725292206,0.10967698693275452,0.10920670628547668,0.1088939681649208,0.10845953598618507,0.10861964151263237,0.10789011046290398,0.10764999315142632,0.10733205452561378,0.10670921579003334,0.10631350055336952,0.1060662791132927,0.10554850473999977,0.10508622601628304,0.1046978309750557,0.10417506471276283,0.10365228727459908,0.10322017595171928,0.10267768055200577,0.10216041281819344,0.00031844526529312134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.535159222781658
8,0.30120548605918884,0.11178770661354065,0.11260950565338135,0.10766690596938133,0.11213283613324165,0.11169211566448212,0.1115022525191307,0.11052610725164413,0.11058496683835983,0.11047039926052094,0.11016987264156342,0.10977960005402565,0.10946958139538765,0.10923346877098083,0.10862258449196815,0.1085088923573494,0.1084151566028595,0.10805479809641838,0.10745587572455406,0.10685623064637184,0.10752376541495323,0.10626307129859924,0.10619134455919266,0.1058817207813263,0.10548404604196548,0.10523984208703041,0.10498074814677238,0.10471130907535553,0.10440565645694733,0.10414779558777809,0.1037885807454586,0.10443465784192085,0.10339796915650368,0.10279053822159767,0.0010877810418605804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8570731692016125
9,0.2991074025630951,0.1124526858329773,0.11243299022316933,0.11209748685359955,0.11157799512147903,0.11166387423872948,0.11139006167650223,0.11106517910957336,0.11099161952733994,0.11051562428474426,0.11024213582277298,0.10973624885082245,0.109126266092062,0.10939677804708481,0.10900524258613586,0.10830799862742424,0.10821109637618065,0.10763774439692497,0.1073378324508667,0.1071101687848568,0.10685164853930473,0.1064729131758213,0.10603836178779602,0.10553192719817162,0.10508125647902489,0.1042911633849144,0.10485585406422615,0.10341737046837807,0.10274519771337509,0.10223477706313133,0.0003346838057041168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4372615851461887
10,0.3010103479027748,0.11258575692772865,0.11228875815868378,0.11187528073787689,0.11176678910851479,0.11154903843998909,0.11124056950211525,0.11085289716720581,0.1107659675180912,0.11046941950917244,0.11000503599643707,0.1098361387848854,0.10937405750155449,0.0070299506187438965,0.10773978009819984,0.10796438530087471,0.10883374884724617,0.10760671645402908,0.10732310265302658,0.106686532497406,0.10679415613412857,0.10659962147474289,0.10609528794884682,0.10593399778008461,0.1054140031337738,0.10496290400624275,0.10450292751193047,0.10388370603322983,0.10330676287412643,0.10308534651994705,0.10282374918460846,0.1025579571723938,0.10206454992294312,0.00035659968852996826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6451858431100845
