Contains move time for player Edax3; opponent is Roxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.41790852323174477,0.1078047938644886,0.12271352484822273,0.12019394338130951,0.12356255576014519,0.11164861544966698,0.11151260882616043,0.1109204813838005,0.10993077978491783,0.10951843857765198,0.11048946529626846,0.10895989462733269,0.10981626436114311,0.1327819861471653,0.10990560054779053,0.10847104713320732,0.10807319730520248,0.1083889976143837,0.10718851536512375,0.10826477780938148,0.10689150169491768,0.10633013769984245,0.10638850927352905,0.1062169224023819,0.10489532724022865,0.10581796616315842,0.10394460335373878,0.10356144234538078,0.10400421544909477,0.10352188721299171,0.10247066989541054,0.0009457208216190338,0.000669773668050766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713712688535452
2,0.3162548877298832,0.11073318123817444,0.11174861714243889,0.1117318645119667,0.11179504543542862,0.11175785213708878,0.11136051639914513,0.11098399385809898,0.11051031574606895,0.11014797911047935,0.11003435403108597,0.10936813801527023,0.10917563363909721,0.11237407475709915,0.10837399214506149,0.10835270956158638,0.1078251264989376,0.10674891993403435,0.10742868855595589,0.10838380828499794,0.10697455704212189,0.10631922632455826,0.10653140023350716,0.10527841374278069,0.10680046677589417,0.1036345548927784,0.10419279709458351,0.10424130782485008,0.10378661379218102,0.10325560718774796,0.10273022577166557,0.10244391113519669,0.0005571171641349792,0.0003068409860134125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.662142738699913
3,0.30542103946208954,0.12114353105425835,0.10953047126531601,0.11781386286020279,0.1079343669116497,0.1113816425204277,0.10868197679519653,0.10697899386286736,0.1159939393401146,0.11047204956412315,0.10918515175580978,0.11035021394491196,0.10888158529996872,0.10757194459438324,0.10832255333662033,0.1085316389799118,0.10756620392203331,0.1067475900053978,0.1072404533624649,0.1064341627061367,0.11615210026502609,0.10617369413375854,0.10560233145952225,0.10515588521957397,0.10507281497120857,0.10474668443202972,0.10409848392009735,0.10387613624334335,0.10327358916401863,0.10317971557378769,0.10251251235604286,0.11523237079381943,0.10209544748067856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7733551375567913
4,0.29507000371813774,0.10997239500284195,0.11226307600736618,0.11504654213786125,0.10904282703995705,0.11153014004230499,0.11141063645482063,0.11835415661334991,0.11004980280995369,0.11028295755386353,0.1087932214140892,0.10828821361064911,0.10925456508994102,0.12177114188671112,0.10506250709295273,0.10877366364002228,0.10779212042689323,0.10701125860214233,0.10796001926064491,0.1072518602013588,0.10742554441094398,0.10375342518091202,0.10599265620112419,0.1059471033513546,0.10548239201307297,0.10450584813952446,0.10510780662298203,0.10333850979804993,0.10357896983623505,0.10253128781914711,0.00032344087958335876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4429680928587914
5,0.3030346930027008,0.11148577556014061,0.11190435662865639,0.11030875146389008,0.11238959431648254,0.12110939249396324,0.10846961289644241,0.10899478942155838,0.11028197407722473,0.10754793882369995,0.11021707206964493,0.10776396840810776,0.10982359945774078,0.1088789664208889,0.1077195517718792,0.10811135172843933,0.1082053855061531,0.10797706618905067,0.10792103409767151,0.10692708939313889,0.11250393465161324,0.10770435631275177,0.10488762333989143,0.10420193895697594,0.1048571914434433,0.10395720601081848,0.1037859357893467,0.10378940775990486,0.10334187373518944,0.10295496508479118,0.1027006059885025,0.10195882990956306,0.0002745501697063446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6459903828799725
6,0.28964440897107124,0.11257137358188629,0.11262542009353638,0.1069917194545269,0.10790204629302025,0.11427296325564384,0.10804985836148262,0.11340305209159851,0.11093486100435257,0.11020590364933014,0.11068866401910782,0.11048464104533195,0.1086643636226654,0.1096372976899147,0.13102251663804054,0.1114446334540844,0.10942875221371651,0.10779590904712677,0.107939463108778,0.10696431249380112,0.1072385348379612,0.10638580471277237,0.10738792642951012,0.10577592998743057,0.10656556114554405,0.10544038563966751,0.1055235043168068,0.10358449816703796,0.11290764063596725,0.10272248834371567,0.10231686383485794,0.00028388574719429016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5668051838874817
7,0.2793295532464981,0.12057609856128693,0.11177998781204224,0.12015379220247269,0.12472616881132126,0.11124585941433907,0.11110600084066391,0.11044828221201897,0.11072592809796333,0.11069976538419724,0.11060348153114319,0.11026941612362862,0.12177633866667747,0.10940792039036751,0.10803340002894402,0.10803645849227905,0.11115982010960579,0.10739514604210854,0.10720421746373177,0.10767123848199844,0.1192617267370224,0.10492141917347908,0.10436993092298508,0.10582296922802925,0.1048879437148571,0.10391246154904366,0.1043459102511406,0.10382453352212906,0.1151638813316822,0.10327523201704025,0.10256962850689888,0.10235746949911118,0.1020703874528408,0.00032979995012283325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7894621677696705
8,0.31261808425188065,0.12425637245178223,0.10834546759724617,0.10783803462982178,0.12477323412895203,0.11160068213939667,0.11127969622612,0.11101778596639633,0.11098882928490639,0.10975135862827301,0.11047244817018509,0.1095753014087677,0.10941720753908157,0.1094033345580101,0.10890287160873413,0.10836318135261536,0.10821250826120377,0.1199447251856327,0.10741792619228363,0.10639677569270134,0.10652720555663109,0.10610538348555565,0.1074928343296051,0.10396513342857361,0.1048007421195507,0.10546554625034332,0.10275604575872421,0.10329600051045418,0.1031147912144661,0.10275126621127129,0.1028854101896286,0.0003357604146003723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.580071944743395
9,0.3151312284171581,0.12073151022195816,0.12454619258642197,0.11200327798724174,0.11108972504734993,0.11024970933794975,0.1107981875538826,0.11106321960687637,0.12159815058112144,0.10727961733937263,0.10955197364091873,0.11065411940217018,0.10939895734190941,0.1123218834400177,0.10750812292098999,0.10834907740354538,0.12103187665343285,0.10782543569803238,0.10698597878217697,0.10712123662233353,0.10659656301140785,0.10611479729413986,0.10553990676999092,0.10514407604932785,0.10468140617012978,0.10460648685693741,0.10320480912923813,0.10288737714290619,0.10302416980266571,0.10212882608175278,0.0002631284296512604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4894310273230076
10,0.29919350892305374,0.12519045546650887,0.12538887187838554,0.11197890341281891,0.11125708743929863,0.11186040937900543,0.11140875145792961,0.1104234866797924,0.11036686971783638,0.10696669667959213,0.10649393871426582,0.10961704701185226,0.10905813425779343,0.10914859175682068,0.10840492323040962,0.10824193805456161,0.10800142586231232,0.10499224811792374,0.1058657169342041,0.10606303811073303,0.10674026235938072,0.10606439039111137,0.10577263683080673,0.1050308384001255,0.11743432283401489,0.1047094538807869,0.10900090634822845,0.11273224279284477,0.10326388105750084,0.11594408378005028,0.10196922346949577,0.0003054887056350708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5888897739350796
