Results for game Edax33 against AlphaBeta6
Each cycle contains 10 games, where first half of games Edax33 is black and second half AlphaBeta6 is black
Number of cycles: 10
In first two columns winner gets 1 looser 0
last two columns refers to number of disc each player has at the end of the game

Cycle: 0
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
1,0,57,7
1,0,47,17
1,0,53,11
1,0,33,31
1,0,54,10
1,0,38,26
0,1,0,64
1,0,48,16
0,1,0,64
0,1,0,64

Cycle: 1
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
1,0,41,23
1,0,51,13
1,0,57,7
1,0,42,22
1,0,50,14
1,0,43,21
0,1,0,64
1,0,42,22
1,0,53,11
1,0,41,23

Cycle: 2
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
0,1,30,34
0,1,31,33
1,0,35,29
1,0,48,16
1,0,56,8
1,0,48,16
0,1,0,64
0,1,0,64
1,0,48,16
1,0,39,25

Cycle: 3
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
1,0,44,20
1,0,34,30
1,0,44,20
1,0,33,31
1,0,49,15
1,0,60,4
0,1,0,64
1,0,40,24
0,1,0,64
1,0,46,18

Cycle: 4
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
1,0,48,16
0,1,19,45
1,0,39,25
1,0,39,25
1,0,46,18
0,1,0,64
1,0,40,24
1,0,59,5
0,1,26,38
1,0,53,11

Cycle: 5
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
1,0,53,11
1,0,39,25
1,0,34,30
1,0,35,29
1,0,45,19
0,1,0,64
1,0,35,29
1,0,44,20
0,1,0,64
1,0,42,22

Cycle: 6
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
1,0,35,29
1,0,39,25
1,0,39,25
1,0,43,21
1,0,34,30
1,0,35,29
1,0,54,10
0,1,0,64
1,0,58,6
0,1,0,64

Cycle: 7
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
0,0,32,32
0,1,29,35
1,0,39,25
1,0,37,27
1,0,47,17
1,0,56,8
0,1,0,64
1,0,48,16
0,1,0,64
0,1,0,64

Cycle: 8
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
0,1,0,64
1,0,33,31
1,0,47,17
1,0,36,28
1,0,50,14
0,1,0,64
0,1,0,64
1,0,38,26
0,1,0,64
0,1,17,47

Cycle: 9
Edax33,AlphaBeta6,Discs_Edax33,Discs_AlphaBeta6
1,0,50,14
0,1,29,35
1,0,50,14
1,0,46,18
0,1,22,42
1,0,45,19
0,1,31,33
1,0,58,6
1,0,55,9
1,0,52,12
