Contains move time for player AlphaBeta6; opponent is Edax33
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,8.475121334195137,0.011772427707910538,19.740890722721815,29.895786993205547,32.438323467969894,46.25956127420068,53.117186702787876,86.50227216258645,0.004496108740568161,48.019255220890045,0.007653463631868362,65.14276711270213,60.30055799335241,76.34245198592544,30.012189749628305,61.53996470198035,20.46122643351555,91.59515627101064,99.52103926241398,71.15821727737784,20.29562458768487,0.00341695174574852,0.0028338171541690826,0.0028548836708068848,0.0017579980194568634,1.1587263196706772,0.0017889589071273804,0.001573760062456131,0.0012681633234024048,0.0012160763144493103,0.0011806301772594452,0.0005391649901866913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.018671978265
2,8.82302550598979,12.421056754887104,35.25631761550903,58.263399828225374,47.509564492851496,46.498540949076414,51.53823984414339,0.006147813051939011,117.01049133017659,144.49597608298063,72.17676754295826,134.112960729748,0.004001762717962265,53.00346212089062,74.92333555221558,62.378890819847584,16.47728196159005,15.21410235017538,0.003657463937997818,5.51704390719533,0.00202898308634758,13.907944768667221,2.267961375415325,1.3922593146562576,0.0021236538887023926,0.0010552182793617249,0.0011307857930660248,0.0006769932806491852,0.0009125210344791412,0.00032077357172966003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.2106788158417
3,0.010452624410390854,12.439009677618742,35.392273258417845,35.47717844322324,34.36258998140693,77.19013938307762,37.23188019543886,51.919201869517565,64.07086977362633,112.49099092185497,153.99954141676426,92.914641328156,79.41846789047122,103.90776697918773,19.633520271629095,27.60350265353918,28.049472022801638,47.25358046218753,15.303294971585274,45.38386819139123,27.32906176149845,19.652721367776394,4.376804355531931,3.3426344096660614,1.487157054245472,0.0015555024147033691,0.0013302527368068695,0.000908728688955307,0.0006624199450016022,0.004586134105920792,0.0005003474652767181,0.0003495439887046814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.2505141943693
4,8.786054626107216,12.477071665227413,35.42947094514966,58.11086681485176,46.96419080346823,46.60656075552106,51.3848911896348,163.22500212863088,41.46574502438307,59.61878002434969,62.44575064629316,0.004161261022090912,58.737142253667116,105.04148563370109,99.80025186389685,67.87169873714447,0.0032103359699249268,30.050863184034824,19.31499221548438,18.885489501059055,9.412884209305048,21.93371642753482,9.152001347392797,1.8379455134272575,0.2357942759990692,0.0010571479797363281,0.0008629225194454193,0.0007237046957015991,0.01146724820137024,0.002943050116300583,0.0003623776137828827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.813437834382
5,8.752129152417183,12.436517968773842,35.42213127017021,58.24643316119909,47.03709761053324,46.399469804018736,51.65493739023805,163.16996989026666,41.404991552233696,59.736907847225666,62.12051064521074,0.0041899606585502625,69.59520629048347,63.84972110018134,37.723476726561785,21.382433969527483,37.23630138114095,15.555065844208002,10.56284362077713,9.738521289080381,0.0021887458860874176,0.002031806856393814,0.0018494799733161926,0.9128192439675331,0.7954019457101822,0.1651107855141163,0.0008633062243461609,0.0010825768113136292,0.0008185543119907379,0.0006272010505199432,0.0006483718752861023,0.0005186013877391815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.912817094475
6,0.006147895008325577,12.285608183592558,8.499543372541666,17.52669581025839,22.521781411021948,32.39064284041524,18.721441812813282,22.280048970133066,32.09689923375845,22.62756520882249,30.892633225768805,24.62377405166626,9.908936221152544,26.090572487562895,13.507605660706758,2.753653921186924,6.125114265829325,7.486259676516056,0.004532504826784134,37.53244411945343,16.046483602374792,0.002506949007511139,8.747352074831724,2.353658478707075,3.5784522742033005,0.7687611356377602,0.4791134148836136,0.0007347166538238525,0.0007158480584621429,0.0020019151270389557,0.0003883540630340576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.8620696365833
7,5.075780630111694,13.053040783852339,17.67358997836709,17.345142021775246,39.02095232531428,93.22094824537635,62.86716165393591,61.709718622267246,31.016587007790804,13.273504376411438,9.868552844971418,0.0040186867117881775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.1289971768856
8,5.058047454804182,12.970110144466162,17.628665074706078,39.04578548669815,42.00967390090227,44.971860729157925,51.667791333049536,31.832342252135277,39.8473317399621,0.004432551562786102,0.004197459667921066,0.005144309252500534,0.003875214606523514,26.357981838285923,0.007097497582435608,57.403658993542194,78.47733073681593,63.22095271945,23.067432928830385,28.990103293210268,15.42333148792386,0.002004578709602356,7.404714606702328,0.0016079545021057129,2.5359414480626583,0.0012209005653858185,0.26106785610318184,0.0008615925908088684,0.0007655657827854156,0.00039472058415412903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.2057263702154
9,0.00636407732963562,12.956672336906195,17.65993846207857,17.36611809208989,39.049544125795364,92.46114424616098,63.15268862992525,61.61773557588458,30.842256255447865,13.206726536154747,1.6449951194226742,0.0038600675761699677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.96804352477193
10,5.005254607647657,12.994898952543736,17.57024746015668,17.228535886853933,39.13493658974767,93.32454061508179,62.8901533447206,61.69664307683706,30.761449217796326,13.106662571430206,9.969865560531616,0.004027429968118668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.6872153133154
11,8.904842723160982,12.564964961260557,35.62964804843068,58.31572049111128,47.350634172558784,46.285693392157555,51.53635014221072,163.62879088521004,41.47487786784768,0.00914325937628746,50.122745998203754,91.41643111035228,0.007106635719537735,6.357294492423534,17.9843617901206,11.7942781932652,23.836710661649704,25.50573720037937,0.004884261637926102,13.194812651723623,13.307562500238419,5.715063527226448,3.3965523429214954,0.8582087196409702,0.34891196712851524,0.38146454840898514,0.0011604838073253632,0.0009653717279434204,0.0005685985088348389,0.0008899867534637451,0.0006673559546470642,0.00041273608803749084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.9374570772052
12,8.749240186065435,12.424135122448206,35.377217907458544,58.22243611142039,46.8917194083333,46.20746226981282,51.7055529654026,163.33229737356305,28.297571171075106,56.22590942308307,96.21786250919104,60.20304474979639,62.65756620466709,90.72549445554614,0.005128543823957443,0.003699053078889847,11.129253476858139,0.002810373902320862,0.002978980541229248,6.084499433636665,5.14492754265666,0.003593210130929947,2.7046307399868965,0.0017482452094554901,0.0013180263340473175,0.0011881738901138306,0.0012031905353069305,0.0008786320686340332,0.0007639005780220032,0.0007825717329978943,0.0002766512334346771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.3271906040609
13,8.663723930716515,12.618658494204283,35.61582816019654,58.51216505467892,46.744265999644995,0.007143333554267883,51.54749454930425,162.6236545369029,41.30540404096246,59.62505451589823,62.64826847985387,72.4846476353705,39.114304695278406,51.63597084954381,98.09593740850687,75.65391374379396,61.53123535588384,14.836732804775238,8.166468527168036,2.664871919900179,0.0022082626819610596,2.8463330306112766,3.249742440879345,0.0030205436050891876,2.14814293384552,0.0016450956463813782,0.6265677995979786,0.001055743545293808,0.0007773526012897491,0.0006684400141239166,0.0007084272801876068,0.00039976462721824646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.9770138710737
14,8.847050279378891,12.537329386919737,35.34385088458657,58.30096872523427,46.73228653147817,46.195313923060894,0.005006279796361923,78.53753040358424,154.41250501945615,106.39884563907981,162.39463617280126,373.5685074441135,52.78872064128518,27.039195492863655,42.767007168382406,12.409821934998035,26.476521112024784,18.5273372605443,0.0035993941128253937,5.921744406223297,3.0675996765494347,4.774224437773228,2.6346285305917263,1.8138219825923443,0.0017858631908893585,0.001592446118593216,0.0008417293429374695,0.03848954662680626,0.0006433315575122833,0.00048245862126350403,0.0002640672028064728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.5421521700919
15,8.743339776992798,12.456181716173887,35.24285692721605,58.32897224277258,46.961571868509054,46.09239171072841,51.297054927796125,162.94437559694052,41.32026279345155,59.41760056093335,0.0061364807188510895,54.45818818733096,44.99447654932737,103.72985081747174,0.0036371424794197083,49.6507450081408,129.80735982209444,14.370306234806776,37.859604850411415,26.608674313873053,20.348628774285316,0.0019638575613498688,0.4388003684580326,0.0014725178480148315,0.0014299899339675903,0.0013251155614852905,0.001131642609834671,0.0011790171265602112,0.0009462758898735046,0.0023368224501609802,0.0018200799822807312,0.0004636235535144806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0950856134295
