Contains move time for player Gambler; opponent is MCTSRemMaxIter2
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0058427006006240845,0.005797196179628372,0.0055256858468055725,0.005357664078474045,0.005151525139808655,0.005011335015296936,0.004871279001235962,0.00475601851940155,0.004565022885799408,0.004417590796947479,0.004320342093706131,0.004000920802354813,0.0038605928421020508,0.0037619583308696747,0.003581557422876358,0.0033385269343852997,0.003135785460472107,0.002976778894662857,0.002729743719100952,0.0024603232741355896,0.0022756680846214294,0.0020807869732379913,0.0018963627517223358,0.0016667656600475311,0.001406647264957428,0.0011713355779647827,0.0009382851421833038,0.0007742047309875488,0.0005307644605636597,0.00028804317116737366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09849141165614128
2,0.005832593888044357,0.005654886364936829,0.005576040595769882,0.005395568907260895,0.005223963409662247,0.005068901926279068,0.004927162081003189,0.0047234222292900085,0.004477761685848236,0.004302799701690674,0.004113472998142242,0.003922048956155777,0.0037539824843406677,0.0035837776958942413,0.0033036358654499054,0.0032086148858070374,0.0029569044709205627,0.002833724021911621,0.002591785043478012,0.0024131909012794495,0.0022314004600048065,0.0019301585853099823,0.0017543509602546692,0.0015718303620815277,0.0013839714229106903,0.0011529140174388885,0.0008957535028457642,0.0007427074015140533,0.0005392692983150482,0.00028795748949050903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09635455161333084
3,0.005842775106430054,0.005683496594429016,0.005676653236150742,0.00542638823390007,0.0053100623190402985,0.005074597895145416,0.004876907914876938,0.004695899784564972,0.004491247236728668,0.004496097564697266,0.004227332770824432,0.004008393734693527,0.003925874829292297,0.00367080420255661,0.0034693703055381775,0.003263574093580246,0.0030032098293304443,0.0027812831103801727,0.0025866329669952393,0.002333562821149826,0.0021464675664901733,0.0020363517105579376,0.0017182789742946625,0.001489143818616867,0.0013293027877807617,0.001102793961763382,0.0009033456444740295,0.0007149912416934967,0.0004898533225059509,0.00026316940784454346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09703786298632622
4,0.005938425660133362,0.005645196884870529,0.005535978823900223,0.005479332059621811,0.005184963345527649,0.005155988037586212,0.004965342581272125,0.004747021943330765,0.004608806222677231,0.00444021075963974,0.0042085200548172,0.003988128155469894,0.0037883855402469635,0.0035525113344192505,0.0033617690205574036,0.0031524673104286194,0.0030132904648780823,0.002777557820081711,0.0026275329291820526,0.002411831170320511,0.002232898026704788,0.001980111002922058,0.0018233917653560638,0.0016366690397262573,0.0014174506068229675,0.0011565648019313812,0.0009293593466281891,0.0007337853312492371,0.0005044005811214447,0.0002863369882106781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972842276096344
5,0.006619617342948914,0.005680065602064133,0.005519289523363113,0.005396857857704163,0.01734830066561699,0.005040224641561508,0.00495365634560585,0.004736233502626419,0.0046388208866119385,0.00442085787653923,0.0043242014944553375,0.004082757979631424,0.00388399139046669,0.0037989914417266846,0.0035571828484535217,0.00336490198969841,0.0030969977378845215,0.002952728420495987,0.002781704068183899,0.0026307404041290283,0.002385541796684265,0.0021608732640743256,0.0019496679306030273,0.0017211250960826874,0.0014316104352474213,0.0011511854827404022,0.0009338222444057465,0.0007667765021324158,0.0005439892411231995,0.0002866983413696289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11215941235423088
6,0.0057156868278980255,0.00559726357460022,0.0054696351289749146,0.005348861217498779,0.005251321941614151,0.005105249583721161,0.005034677684307098,0.004892945289611816,0.004626493901014328,0.004466641694307327,0.004299383610486984,0.0041206032037734985,0.0038642175495624542,0.0036597028374671936,0.0034640952944755554,0.003229539841413498,0.0029825493693351746,0.015904370695352554,0.002647761255502701,0.0025049932301044464,0.0023015886545181274,0.002041395753622055,0.0017778761684894562,0.0015435703098773956,0.0013379491865634918,0.0011075250804424286,0.0008905231952667236,0.0006816871464252472,0.000445730984210968,0.00016875192523002625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1104825921356678
7,0.005658164620399475,0.005608394742012024,0.00547466054558754,0.005368858575820923,0.005143750458955765,0.005028057843446732,0.004816804081201553,0.004629373550415039,0.004390310496091843,0.004277221858501434,0.01710643246769905,0.0039463043212890625,0.0037404075264930725,0.003548871725797653,0.0033820271492004395,0.003201279789209366,0.0030363798141479492,0.0028467662632465363,0.0026102811098098755,0.0023622624576091766,0.0021539926528930664,0.001975834369659424,0.0017534680664539337,0.0015049576759338379,0.0014210455119609833,0.001185588538646698,0.0009288527071475983,0.000684790313243866,0.00044705718755722046,0.0001681298017501831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10840032622218132
8,0.0057141222059726715,0.005617406219244003,0.005443517118692398,0.005267597734928131,0.005083587020635605,0.004961717873811722,0.0178549624979496,0.004779107868671417,0.004632081836462021,0.004459325224161148,0.004175271838903427,0.004058551043272018,0.003884289413690567,0.0036618895828723907,0.003541812300682068,0.003307480365037918,0.003039926290512085,0.0028648972511291504,0.0026522353291511536,0.0025038011372089386,0.0023221075534820557,0.002109792083501816,0.0018545016646385193,0.001678232103586197,0.004601620137691498,0.0012870058417320251,0.001057300716638565,0.0007906407117843628,0.0004663504660129547,0.00026992708444595337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11394105851650238
9,0.005772087723016739,0.005657944828271866,0.005462009459733963,0.005369335412979126,0.005193449556827545,0.01747279241681099,0.004970293492078781,0.00477851927280426,0.004564192146062851,0.017371252179145813,0.004109732806682587,0.003877691924571991,0.0037547051906585693,0.0035005472600460052,0.0034113526344299316,0.0032538026571273804,0.0032168887555599213,0.003056410700082779,0.0027854442596435547,0.0025436431169509888,0.0023288242518901825,0.002042129635810852,0.0017625242471694946,0.0015001967549324036,0.0012915059924125671,0.0010703615844249725,0.0008385144174098969,0.0006416179239749908,0.00041199102997779846,0.00016044452786445618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12217020615935326
10,0.005693621933460236,0.005602717399597168,0.005535181611776352,0.0054239630699157715,0.005175057798624039,0.0049912333488464355,0.004836775362491608,0.004623580724000931,0.004516541957855225,0.0044408030807971954,0.004138413816690445,0.004037767648696899,0.0038006491959095,0.003649633377790451,0.003476198762655258,0.003259703516960144,0.0031213387846946716,0.002924654632806778,0.00272967666387558,0.0024364106357097626,0.0021949559450149536,0.0020954012870788574,0.0018093772232532501,0.0016612894833087921,0.0013500787317752838,0.0010692812502384186,0.0008499585092067719,0.0006069131195545197,0.0003697983920574188,0.00016430392861366272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09658528119325638
11,0.005891125649213791,0.005718067288398743,0.005581412464380264,0.0054214634001255035,0.005245815962553024,0.0052001625299453735,0.004994399845600128,0.004795253276824951,0.004552677273750305,0.004446331411600113,0.004383012652397156,0.00416458398103714,0.003982149064540863,0.003774929791688919,0.003586091101169586,0.0032756775617599487,0.0031710006296634674,0.0029743872582912445,0.002742234617471695,0.0025152750313282013,0.002358078956604004,0.0020995736122131348,0.0018825940787792206,0.001625053584575653,0.0013700015842914581,0.0012120679020881653,0.0009670928120613098,0.0007228106260299683,0.0005173683166503906,0.0002906918525695801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0994613841176033
12,0.005851276218891144,0.005671963095664978,0.005554273724555969,0.005307018756866455,0.0052453503012657166,0.005029462277889252,0.004950385540723801,0.004753395915031433,0.0046454668045043945,0.004546049982309341,0.004294499754905701,0.0041463375091552734,0.0038862116634845734,0.003696434199810028,0.00356191024184227,0.003421653062105179,0.016179390251636505,0.002960558980703354,0.0027522146701812744,0.002666328102350235,0.0023240596055984497,0.00206926092505455,0.002004142850637436,0.001712009310722351,0.0014822781085968018,0.0012044012546539307,0.000974513590335846,0.0007535330951213837,0.0005498267710208893,0.0003022104501724243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11249641701579094
13,0.005871769040822983,0.005652137100696564,0.005549512803554535,0.005318325012922287,0.005235828459262848,0.005100779235363007,0.005013506859540939,0.004784844815731049,0.004638265818357468,0.004402555525302887,0.004205390810966492,0.0040185414254665375,0.00390046089887619,0.003739863634109497,0.0035037025809288025,0.0032334215939044952,0.0031113922595977783,0.002907227724790573,0.0026905089616775513,0.002547111362218857,0.0023250579833984375,0.002081573009490967,0.0018524713814258575,0.0016179345548152924,0.0014748461544513702,0.001173604279756546,0.0009194202721118927,0.0007219985127449036,0.0005127452313899994,0.00029597803950309753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984007753431797
14,0.005854614078998566,0.0057463496923446655,0.005480460822582245,0.00535937026143074,0.00526021420955658,0.005007602274417877,0.004948660731315613,0.004739239811897278,0.00465765967965126,0.00442834198474884,0.004314631223678589,0.004103291779756546,0.003913000226020813,0.0036790743470191956,0.003410637378692627,0.0032354332506656647,0.003130342811346054,0.0028340406715869904,0.0026344917714595795,0.002397000789642334,0.002223089337348938,0.002034369856119156,0.0017890147864818573,0.0015839599072933197,0.0014288648962974548,0.0011998005211353302,0.000959303230047226,0.0007605068385601044,0.0005037263035774231,0.0002653449773788452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09788243845105171
15,0.005867570638656616,0.005712788552045822,0.00552629679441452,0.005399860441684723,0.005226802080869675,0.0051204971969127655,0.004816040396690369,0.004781410098075867,0.004532318562269211,0.004410609602928162,0.004220727831125259,0.00406259298324585,0.003832172602415085,0.0037417151033878326,0.003562934696674347,0.0034434758126735687,0.003212161362171173,0.0030226372182369232,0.002789713442325592,0.00250982865691185,0.0023335590958595276,0.002141810953617096,0.0019405186176300049,0.0016900263726711273,0.0014382489025592804,0.0012029632925987244,0.0010034553706645966,0.0007612556219100952,0.0005410611629486084,0.0002648495137691498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09910990297794342
16,0.005742669105529785,0.005622386932373047,0.005369395017623901,0.005392830818891525,0.005175165832042694,0.005011294037103653,0.004935469478368759,0.004653893411159515,0.004524286836385727,0.00438348576426506,0.004181582480669022,0.0039166733622550964,0.003842458128929138,0.0035493038594722748,0.0033590272068977356,0.0031270459294319153,0.0028404518961906433,0.0026810280978679657,0.002430364489555359,0.0022936053574085236,0.002054944634437561,0.0017957277595996857,0.0015777871012687683,0.0013803131878376007,0.0011977627873420715,0.0010040737688541412,0.0007839500904083252,0.0005659610033035278,0.00036093592643737793,0.00017455965280532837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09392843395471573
17,0.005736023187637329,0.0056255534291267395,0.005531739443540573,0.005356967449188232,0.005297008901834488,0.005056343972682953,0.004905283451080322,0.004701666533946991,0.004488587379455566,0.004362229257822037,0.004258096218109131,0.004069291055202484,0.003871265798807144,0.0037006624042987823,0.0034895874559879303,0.0031475387513637543,0.002948146313428879,0.0027989447116851807,0.0025480277836322784,0.0024514533579349518,0.0022305436432361603,0.0021020174026489258,0.0018288865685462952,0.001566864550113678,0.0012954846024513245,0.0010751821100711823,0.0008632130920886993,0.0006421245634555817,0.00041591376066207886,0.00015855953097343445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09652320668101311
18,0.005728229880332947,0.005636908113956451,0.005453344434499741,0.005257200449705124,0.005136750638484955,0.0049579329788684845,0.004928383976221085,0.004617635160684586,0.004484143108129501,0.0043211430311203,0.004209432750940323,0.004015445709228516,0.003906168043613434,0.0037344470620155334,0.0035937055945396423,0.0032276250422000885,0.0030471980571746826,0.0029621385037899017,0.002745736390352249,0.0024702101945877075,0.002321820706129074,0.002018168568611145,0.0018350929021835327,0.0015764571726322174,0.0013295002281665802,0.0011131800711154938,0.0008843131363391876,0.0006208233535289764,0.0004367344081401825,0.000154886394739151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09672475606203079
19,0.005713745951652527,0.0056076571345329285,0.005492947995662689,0.005371220409870148,0.005249034613370895,0.005076400935649872,0.004826493561267853,0.0047507137060165405,0.004544001072645187,0.004315953701734543,0.004268359392881393,0.004009421914815903,0.0038657113909721375,0.0036049261689186096,0.0034085214138031006,0.0031861774623394012,0.0029137134552001953,0.0027192123234272003,0.0025519952178001404,0.0022669844329357147,0.0020993873476982117,0.0018339306116104126,0.0016455836594104767,0.00147198885679245,0.001257140189409256,0.0010478943586349487,0.0008159279823303223,0.000627029687166214,0.00040012970566749573,0.00017112493515014648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09511332958936691
20,0.0057305507361888885,0.005638986825942993,0.0054275281727313995,0.005275975912809372,0.0051180459558963776,0.005064718425273895,0.004860728979110718,0.0047734640538692474,0.004646457731723785,0.004417970776557922,0.004179742187261581,0.004139889031648636,0.003995947539806366,0.003808189183473587,0.0035893097519874573,0.003438640385866165,0.0032285302877426147,0.0030325017869472504,0.0027460232377052307,0.002582896500825882,0.002380847930908203,0.002152431756258011,0.001908678561449051,0.0016038231551647186,0.0013924427330493927,0.0011563971638679504,0.000871799886226654,0.0006629861891269684,0.0004364103078842163,0.0001590624451637268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09842097759246826
