Contains move time for player MCTSMaxIter2; opponent is Gambler
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,33.92122022435069,32.04185162112117,30.278358422219753,30.09439330175519,27.605319932103157,24.749322060495615,22.891013868153095,21.123334363102913,19.364676401019096,17.74410016834736,16.156830977648497,14.588641121983528,13.118369419127703,11.634336981922388,10.240784280002117,8.9020489230752,7.842472020536661,6.781579472124577,5.621765859425068,4.64458055049181,3.8302730955183506,2.9908499978482723,2.266180071979761,1.7181109637022018,1.1992141902446747,0.681934054940939,0.3591763414442539,0.06448027119040489,0.008452273905277252,0.0002482086420059204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.4639194384217
2,33.56906045973301,31.62147558480501,30.329844817519188,28.40806344524026,26.282721366733313,24.46879704296589,22.805404234677553,20.940093278884888,19.211199045181274,17.66137543693185,15.96310543268919,14.281016681343317,12.806094359606504,11.399826254695654,10.126076880842447,8.846769168972969,7.761342886835337,6.5358737371861935,5.498739004135132,4.540944829583168,3.7124921828508377,2.9286489821970463,2.279769130051136,1.5908444225788116,1.1109759397804737,0.5454599671065807,0.24987858906388283,0.05743361636996269,0.009505674242973328,0.0002482272684574127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.5430806800723
3,33.62056392431259,32.024580877274275,30.783703234046698,30.508925955742598,28.009694911539555,26.66043444350362,26.29954868555069,20.992762956768274,19.26515782624483,17.61392841488123,15.990115534514189,14.26766437292099,12.858044013381004,11.423804108053446,9.973735827952623,8.898955252021551,7.726053141057491,6.587018113583326,5.617156762629747,4.635056342929602,3.7120331935584545,3.060951352119446,2.367574278265238,1.5807691477239132,1.0501998886466026,0.7149977125227451,0.3705000653862953,0.039758648723363876,0.010620895773172379,0.0002489648759365082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.6645588465035
4,33.57785850018263,31.998191114515066,30.432808984071016,31.484459199011326,29.402436677366495,25.7324030213058,22.935733452439308,20.938376110047102,19.033946376293898,17.424942661076784,15.850104127079248,14.311877001076937,12.91370565444231,11.566540107131004,10.237644959241152,9.014391046017408,7.842306405305862,6.755587842315435,5.652398146688938,4.7711588852107525,3.9011166840791702,3.0887888073921204,2.2758787237107754,1.725054007023573,1.2733664363622665,0.8197934404015541,0.3989572748541832,0.07524672895669937,0.010238364338874817,0.0003148876130580902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.44562562555075
5,33.53886070847511,31.670860044658184,30.577759128063917,28.397397700697184,26.420188829302788,24.428213879466057,22.621037401258945,20.849371764808893,19.013002656400204,16.919980846345425,15.339750938117504,14.058654628694057,12.642320539802313,11.323826596140862,10.057235907763243,8.799095213413239,7.685041673481464,6.680716700851917,5.683045741170645,4.69776975363493,3.7831099703907967,2.999665379524231,2.2545511461794376,1.6949187889695168,1.1528844200074673,0.6633503548800945,0.30760326609015465,0.036028169095516205,0.00848989188671112,0.00025327131152153015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.30498531088233
6,34.692054592072964,33.01509393006563,31.08613708242774,29.73334202542901,30.161801040172577,26.138510439544916,23.794141601771116,21.739630840718746,20.113301303237677,18.244246147572994,17.017752312123775,16.292674090713263,15.484534360468388,13.095281012356281,13.026320327073336,10.627462703734636,9.099861267954111,8.383481115102768,6.584838643670082,5.754412516951561,4.700711153447628,3.9812012389302254,2.5620107501745224,1.8889062367379665,1.5142055191099644,0.8623978458344936,0.5110048651695251,0.15821748971939087,0.018589720129966736,0.00036007538437843323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.28248224779963
7,38.68568189442158,35.247718673199415,33.97620663419366,34.50837915763259,29.15271144732833,29.54486210644245,25.04487368836999,24.936043206602335,20.501863602548838,20.727265182882547,16.878572426736355,15.34750660136342,13.797686159610748,12.283974081277847,11.118895214051008,9.779433697462082,8.53860142827034,7.306081160902977,6.289214860647917,5.261493600904942,4.527401875704527,3.6026405468583107,2.7016616947948933,1.9938575811684132,1.3931707255542278,0.9964991547167301,0.5450694188475609,0.23828080669045448,0.0290692001581192,0.004805412143468857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.9595212414861
8,34.74150725826621,33.0583459623158,31.19125520437956,29.118331480771303,27.372205954045057,25.227437399327755,23.25695290416479,21.39917988702655,19.85514250025153,18.50080094113946,16.818180967122316,15.482258021831512,14.26339539885521,13.463310346007347,12.48369973897934,10.55600006133318,9.49751802533865,8.131714921444654,6.275790620595217,6.51642469316721,5.096453998237848,4.010068655014038,3.002803947776556,2.3192855566740036,1.6267355233430862,1.0295886546373367,0.6028647720813751,0.24772411584854126,0.022229939699172974,0.0041962601244449615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.17140370979905
9,37.8229797296226,34.66081948578358,34.103970266878605,29.40135683864355,27.202959034591913,25.421353567391634,23.700226541608572,21.68818048387766,20.185128398239613,18.72809886187315,17.16176187992096,15.678242985159159,15.478324208408594,13.60124459117651,11.378405943512917,9.818842086941004,9.386765219271183,6.986920204013586,7.483713563531637,5.643662445247173,4.5572339333593845,3.737467046827078,3.132865007966757,2.4364130534231663,1.488864466547966,0.9514160752296448,0.5381488241255283,0.22223392128944397,0.026590771973133087,0.004688337445259094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.62887777388096
10,37.39220464229584,36.191670682281256,33.646009501069784,33.79781163111329,28.756079625338316,28.821560487151146,26.607048776000738,22.35656598955393,20.56869177892804,19.09767323732376,17.012239009141922,14.953826937824488,13.771354932338,12.383567832410336,11.10394188016653,9.882400583475828,8.488806463778019,7.214560195803642,6.235483322292566,5.064528301358223,4.299508634954691,3.5246411971747875,2.7836128771305084,2.026825077831745,1.4478004612028599,0.964443564414978,0.5157781429588795,0.16559483855962753,0.02496395632624626,0.0047277770936489105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.1039223372936
