Contains move time for player MCTSMaxIter3; opponent is Greedy
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,83.98041949421167,78.90491846948862,74.59538222849369,71.52391385287046,66.49073385074735,61.57397644594312,54.74045341461897,52.4156295247376,47.24636512622237,41.732386242598295,37.08523505553603,36.473978236317635,29.791246693581343,25.732160557061434,25.224398475140333,22.894172810018063,19.6475669182837,17.18337995558977,14.56414519250393,12.025326196104288,9.62412367388606,7.365138478577137,5.5256710685789585,4.20877642557025,2.8875879906117916,1.7125734649598598,0.5955020487308502,0.054192639887332916,0.015956126153469086,0.00025640055537223816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.8155670575798
2,83.81004565954208,79.70578203350306,67.02342175319791,70.17395227774978,66.52815971150994,61.205133341252804,56.71982352808118,52.314358089119196,46.982680436223745,43.940131802111864,39.84455857425928,35.45228359848261,32.16313647478819,29.240300249308348,25.970244377851486,22.100120704621077,18.82622342556715,16.241814084351063,12.970205206423998,11.269298572093248,8.525701958686113,6.6637069918215275,5.6696982607245445,4.1142647340893745,2.779907688498497,1.6144857369363308,0.7517168447375298,0.0908164493739605,0.015550266951322556,0.0002688169479370117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.7077916488051
3,84.05230844393373,79.39547716081142,73.56900677829981,69.4200254008174,62.97518938034773,58.95876299217343,56.00200541317463,52.10624861717224,47.78454752638936,40.850044045597315,40.103805523365736,36.80987834185362,33.017177015542984,28.592066418379545,24.238918256014585,21.66074387356639,19.788843005895615,16.695900689810514,14.012015201151371,10.82966423779726,9.132226791232824,7.2613023072481155,5.908042978495359,4.446713760495186,2.9119589924812317,1.8592004664242268,0.7964849770069122,0.10371612012386322,0.01608298346400261,0.0002628341317176819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.2986205331981
4,84.44549901410937,79.5356110110879,76.59891883283854,70.82645900547504,66.31901112943888,59.42265374213457,55.20318917185068,50.34427007287741,45.84674299880862,42.61059208959341,38.791810773313046,35.162807524204254,32.175273928791285,28.55596972629428,23.153167750686407,20.629206527024508,19.093807071447372,15.149880226701498,13.613712526857853,10.975753456354141,9.383780665695667,7.157222766429186,5.798855856060982,4.482813835144043,2.5432309582829475,1.6040105670690536,0.6144668757915497,0.06573966890573502,0.017437506467103958,0.00026209279894828796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.1221573725343
5,84.3374806419015,79.27576594054699,74.11109211668372,68.93888526037335,65.68880271539092,61.344600684940815,57.48847610875964,52.5898389108479,48.584522783756256,44.237333849072456,39.723229728639126,35.93972280994058,31.865374621003866,28.641080405563116,25.214112885296345,21.781950570642948,18.30683935061097,16.55160366743803,13.798858489841223,11.512474983930588,9.411291543394327,6.786514937877655,5.030970502644777,3.4157311506569386,2.424870103597641,1.2685773149132729,0.2941851392388344,0.040358997881412506,0.014342941343784332,0.0002538524568080902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.6191430091858
6,86.2873577401042,82.43696364015341,78.28645297139883,72.43200348690152,67.93056774139404,63.332249622792006,58.30549071356654,53.11059865728021,49.50076510384679,44.694992788136005,40.55569216236472,36.37501082196832,33.232007157057524,29.51014280691743,25.74609249457717,22.28383695706725,18.810589104890823,16.481064848601818,14.141567148268223,11.862854842096567,9.91422637552023,7.770054168999195,6.108615040779114,4.571389004588127,3.2992448769509792,1.8542166575789452,1.0926245003938675,0.32460981979966164,0.034923113882541656,0.0003696158528327942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.2865739837289
7,86.30036433413625,82.61264585331082,78.04107723385096,71.65110589191318,67.41456239670515,62.46564141660929,58.16908475384116,53.573843378573656,49.27748517692089,45.209825433790684,41.17907556146383,37.13914233446121,33.355478182435036,31.416141517460346,26.40425817295909,23.171875797212124,20.130878932774067,16.632899787276983,13.975241158157587,11.534209314733744,10.0871372371912,7.919904109090567,5.867656283080578,4.6871079951524734,3.2433953918516636,2.018953450024128,1.223514273762703,0.40411175414919853,0.036222193390131,0.009834419935941696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.1526737362146
8,88.77759630605578,82.98887782171369,78.7880298383534,73.78887020796537,68.8238675929606,63.73573944717646,59.36291816085577,54.31684013828635,49.529926136136055,45.76373467221856,41.378609247505665,37.122566133737564,33.22476130723953,29.091466069221497,26.38022231310606,22.87221623212099,18.965741481631994,17.163391318172216,14.815316788852215,12.316625937819481,10.12931140512228,7.977730382233858,6.090608812868595,4.525484625250101,3.0851800367236137,2.1199008338153362,1.054032325744629,0.20860455557703972,0.033238545060157776,0.008923247456550598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.4403319209814
9,86.68564926832914,82.9763232730329,77.93769338726997,72.65738686174154,69.00546763837337,67.77312292531133,57.92396214976907,53.355789080262184,48.66593727469444,44.53575450927019,40.61434859782457,35.80538859218359,32.37046242505312,29.056716311722994,26.30639123171568,22.490694854408503,19.706854287534952,16.38657295703888,14.01177316531539,10.801179051399231,9.684433043003082,7.520881861448288,6.044082187116146,4.681475408375263,3.3283580392599106,2.111144542694092,1.0583425760269165,0.2554342932999134,0.036353424191474915,0.009851641952991486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.7978248596191
10,86.26871132478118,82.22889602184296,77.19948694482446,72.92326743900776,67.16714010760188,63.465864185243845,58.537027437239885,53.65009778365493,48.765399266034365,44.75768004730344,41.08824295923114,36.62006754428148,33.38357060402632,30.040738210082054,26.60879113152623,23.37406386435032,20.15146390348673,17.318459693342447,14.77399841323495,12.739856123924255,10.384568106383085,8.221099112182856,6.188148684799671,4.397232320159674,3.352877650409937,2.1634330302476883,1.2308231331408024,0.30148664116859436,0.03396569564938545,0.00036801770329475403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.3368253968656
