Contains move time for player MCTSRemMaxIter3; opponent is Gambler
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,81.91158930584788,75.68059419095516,80.13395243883133,71.75982204079628,62.33183115720749,65.67412566393614,58.43001579120755,57.62601564079523,52.60597052797675,48.717066276818514,41.01613603159785,36.21553195640445,34.67233918979764,29.072636004537344,26.12158391997218,25.55980935692787,21.87330112978816,18.459956400096416,17.20689093694091,11.499635256826878,10.465665582567453,7.282688360661268,6.7550693564116955,3.873302422463894,3.4587304443120956,1.5972651951014996,0.5322123989462852,0.05066915601491928,0.027535095810890198,5.025416612625122e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.6119462549686
2,90.30167988315225,72.85825979337096,73.86024747043848,61.808174788951874,66.73509482294321,65.65116252377629,58.57291513308883,53.84019059315324,47.24646311253309,47.68168503791094,38.11771232634783,35.01268880441785,31.11766606196761,28.132892571389675,29.59042175859213,22.38284134119749,19.5594563446939,17.71383821964264,15.500583574175835,12.392812367528677,9.373280964791775,8.366558786481619,6.447197526693344,4.378774728626013,2.5469200648367405,1.3420797400176525,0.6013694070279598,0.06683185696601868,0.03140972927212715,5.431473255157471e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.2312147654593
3,85.50225293636322,73.56487409770489,73.05744626000524,71.59637057036161,68.14089599624276,68.77042353525758,64.09668729454279,56.233879309147596,45.43830020725727,46.18134584650397,35.045824609696865,34.01092566177249,30.65842119976878,27.181346263736486,24.00733945891261,20.64669556170702,18.97069800645113,15.943296678364277,13.644757650792599,11.616728153079748,10.284883871674538,7.652491644024849,5.790238626301289,4.528094470500946,3.0453156791627407,1.5954305119812489,0.6931915581226349,0.08983174711465836,0.028844628483057022,5.476176738739014e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0168375112116
4,90.1672450825572,76.24836748093367,76.3746526427567,68.21984469145536,63.079091526567936,55.27275996282697,41.216710191220045,35.86235110461712,40.05370440334082,41.09752979874611,31.54622619971633,33.00787203758955,30.199295472353697,29.303434308618307,26.089633602648973,21.78625914081931,21.25772575289011,16.030548002570868,13.221875239163637,14.126374267041683,11.441119279712439,7.7901018448174,6.338669415563345,4.202928587794304,3.340502731502056,1.4164001233875751,0.4574563466012478,0.05650293827056885,6.638467311859131e-06,0.00024914368987083435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.2054379582405
5,96.84296359866858,87.01798231527209,74.51872261613607,68.45148365572095,66.09741588681936,69.1717394925654,61.16719897091389,61.28908872231841,52.87000873684883,45.67008049413562,40.83900732547045,40.232451509684324,35.72397194057703,28.364663500338793,25.162161629647017,23.636474881321192,20.118430338799953,18.942032516002655,17.035988558083773,15.214395128190517,10.191045567393303,8.078451976180077,5.3226869367063046,3.975116815418005,3.0003554821014404,1.585682813078165,0.5090027488768101,0.07220499962568283,0.03168802335858345,5.27501106262207e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.1325024552643
6,94.7949118129909,81.95250620692968,83.534324221313,77.911352224648,70.9289805740118,64.27999508753419,63.11160345003009,46.365388587117195,1.8246471881866455e-05,53.447273798286915,45.87442659214139,46.615586280822754,39.403672594577074,33.16360345482826,29.08326469361782,27.396833766251802,22.77937662601471,17.540161818265915,16.99234850332141,13.655207194387913,11.21722599491477,10.054776288568974,8.396329145878553,7.051525354385376,4.43171650916338,2.9369597919285297,2.028850208967924,0.5846605151891708,0.059519875794649124,0.025889836251735687,5.122274160385132e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.6182943768799
7,97.48042838647962,83.89605840668082,80.79921390488744,76.20737427100539,69.72081155329943,61.31003310158849,58.319411754608154,55.900964230298996,52.39584016799927,46.71050015836954,43.591210432350636,37.45551988109946,32.2487612105906,28.287985268980265,25.116432044655085,21.672071680426598,19.785645812749863,15.58806511387229,13.517865274101496,11.153688669204712,9.162311486899853,8.394626528024673,5.896330237388611,4.322483878582716,3.168221641331911,2.0688785426318645,1.0963641367852688,0.45295649394392967,0.04445576295256615,0.021284576505422592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.785794608295
8,92.06256214901805,83.0029443539679,77.93318864703178,73.30620563775301,61.982245326042175,61.89924829825759,56.58052936568856,52.04545223340392,51.991585813462734,47.51397046074271,43.24967147782445,39.49505105242133,35.25133904069662,30.48900232091546,25.300909899175167,21.742055989801884,19.320284090936184,17.550267949700356,14.25304813683033,11.93181698769331,9.412717461585999,7.728328503668308,6.068119164556265,5.327291913330555,3.3390664868056774,2.1992730461061,1.2603029757738113,0.22377588599920273,0.03495458886027336,0.02008146420121193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.5152907222509
9,89.61799744516611,73.41041994839907,70.96213388442993,73.21281552314758,66.34753423556685,66.62268904224038,60.13437154516578,51.71279753372073,49.514334704726934,47.158139020204544,42.55192707106471,37.54525011405349,33.0446684025228,31.097258437424898,26.764976788312197,23.963575161993504,20.304174218326807,17.037325877696276,14.283631477504969,12.600090190768242,9.857350919395685,8.116777826100588,6.5196194909513,4.8896147683262825,3.6141149178147316,2.6644098050892353,1.2712896913290024,0.35373667627573013,0.039884764701128006,0.021015312522649765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.2339247949421
10,94.2431838363409,75.30940151587129,80.82725477963686,74.941615562886,67.35807318240404,66.07935186848044,59.27755555510521,56.179715890437365,51.43062937632203,52.398920558393,41.31635505333543,39.4368928745389,32.621956557035446,28.93681550770998,25.90774929150939,25.12102046608925,19.677828561514616,17.922979068011045,14.4911301843822,11.741218090057373,9.368759125471115,7.679413720965385,6.933660633862019,4.461926389485598,2.985870834439993,2.1056109815835953,1.2637363485991955,0.5379316285252571,0.04871078208088875,0.026985619217157364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.632253844291
