Contains move time for player MCTSRemMaxIter3; opponent is Greedy2
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,84.94645677134395,73.5234244465828,74.35925918444991,68.33550990745425,61.82851232588291,51.36282246187329,48.23854433745146,39.93398026376963,41.469108413904905,42.697710674256086,39.09390914440155,35.702268693596125,30.86178543046117,28.590625669807196,24.942966241389513,21.785429283976555,19.199482768774033,17.766689732670784,14.434030041098595,11.904913499951363,9.726654335856438,8.632920730859041,5.526708867400885,3.738094490021467,2.523174211382866,1.2182849533855915,0.5839131399989128,0.05473656579852104,0.030848730355501175,7.536262273788452e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0127728544176
2,84.60524251684546,74.30399029701948,71.79163095727563,64.4084886610508,64.86581928655505,58.31100679188967,48.31271082907915,44.42402292042971,44.83625789731741,38.765547689050436,36.094707407057285,31.918381351977587,18.726286228746176,26.743948690593243,24.692723631858826,22.040063239634037,20.096565671265125,15.9233334697783,13.114942830055952,11.401595126837492,10.575443308800459,7.270048547536135,5.670731674879789,3.6803466565907,2.4528391771018505,1.5977905243635178,0.45013925805687904,0.09219654649496078,0.030751992017030716,6.884336471557617e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.1975600644946
3,84.42316690087318,70.66673381999135,71.39345816522837,60.934282533824444,58.11386129260063,57.119879353791475,54.91921139135957,50.91223095357418,48.386313043534756,41.02938239276409,32.91360338404775,34.793571785092354,31.746722973883152,28.354557417333126,24.183855790644884,22.05658445507288,18.87687799334526,16.752042021602392,14.752620939165354,11.407884012907743,8.652624893933535,6.5544028133153915,4.537544466555119,3.169111739844084,3.3736310973763466,1.4469991512596607,0.6067079454660416,0.07078241556882858,0.025139451026916504,7.912516593933105e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.1737925074995
4,84.23067167401314,77.03691887110472,71.4991015419364,69.84703353792429,64.34640992432833,55.25045928731561,50.84858748316765,51.81208001449704,48.49918030202389,44.20109266042709,40.801765754818916,35.502024210989475,32.84255217760801,28.48604867234826,24.612665105611086,20.798133604228497,20.124040495604277,16.274109955877066,13.78839235380292,11.635562065988779,10.445128466933966,7.255408272147179,5.618865203112364,3.743495486676693,2.331468965858221,1.1018828749656677,0.5341644175350666,0.057505615055561066,0.02536645159125328,6.671994924545288e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.5501221194863
5,84.30515786260366,76.23130850121379,71.67714209482074,68.61632569134235,63.523618672043085,60.4609758593142,50.637611627578735,47.64361862838268,46.87502368167043,43.617327231913805,38.07164944708347,34.51373703405261,31.173803620040417,29.095518313348293,24.323061179369688,20.22071272134781,15.099982045590878,16.393571462482214,13.5908657386899,10.914555121213198,8.615115202963352,6.6411368027329445,5.0030195116996765,4.792104918509722,1.9069695957005024,1.5637262240052223,0.5759521275758743,0.06357412412762642,0.0243724063038826,7.029622793197632e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.1715444773436
6,86.56764443218708,73.10236560180783,71.27415527030826,72.25341673567891,66.68258661031723,62.941926408559084,2.117455005645752e-05,53.953193843364716,46.340137239545584,42.354505483061075,38.15195092186332,34.1723807156086,29.828584156930447,28.743957236409187,25.844080470502377,22.8463902361691,20.387045361101627,16.880027949810028,13.775570593774319,12.738148551434278,9.82538092508912,8.04189170897007,5.772893447428942,4.474291283637285,4.163858823478222,2.182074837386608,1.0170133374631405,0.16146502271294594,0.04773415997624397,0.017261072993278503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.541953612119
7,87.12220687419176,75.45721576362848,74.33668389543891,72.31805194541812,65.23774467036128,62.19820463657379,56.44136980175972,52.935603111982346,48.09477764740586,43.54855766147375,39.76967688277364,35.73290952295065,30.656238682568073,28.889332447201014,26.684922263026237,23.018869768828154,20.489736936986446,18.231420516967773,14.700893189758062,12.282318722456694,10.19788795337081,8.193634707480669,7.469570405781269,4.715225853025913,3.3159740790724754,2.180259119719267,0.977767001837492,0.26969482004642487,0.037471503019332886,0.025223009288311005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.5294433943927
8,86.7417876124382,75.30861376225948,77.3500894755125,71.96589759737253,68.5079937838018,63.7239188849926,58.935968831181526,53.890555042773485,48.479501370340586,45.09505385905504,41.91579121723771,37.4259361512959,34.97207538411021,30.90651160851121,27.708071161061525,23.58005616441369,20.27788507938385,19.065987423062325,15.334588218480349,12.802239019423723,10.189079195261002,10.038780178874731,6.465563863515854,4.638191133737564,3.2809505946934223,2.06282639503479,0.9623444639146328,0.37071825936436653,0.04041760787367821,0.025623254477977753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.0630165934563
9,86.88514887914062,73.13929954916239,76.005356349051,65.7726077362895,70.3175218142569,61.020603116601706,57.2617234736681,51.11073428019881,42.94104789197445,27.02941796183586,38.77690001577139,33.08264923468232,32.53053603693843,29.49412054568529,24.653787206858397,21.868496250361204,19.120503790676594,16.319179248064756,13.926275998353958,11.82841081917286,11.02755380794406,8.247093111276627,6.346828017383814,4.655054483562708,3.071215134114027,1.835110865533352,1.0796160958707333,0.10636722296476364,1.1730939149856567e-05,0.009414177387952805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.4625848457217
10,88.64742056280375,75.59995357319713,73.63674016669393,70.14722280204296,64.57045006379485,61.41109557449818,55.955898094922304,52.67073563858867,49.58706868439913,44.60843254253268,41.07075897976756,37.01694504916668,34.53231055662036,30.618128206580877,27.2262282371521,22.461253754794598,19.627208411693573,16.99189156293869,15.207637939602137,11.56440981850028,9.608198046684265,7.798504579812288,6.078795876353979,4.671350080519915,3.4861834682524204,3.7973815016448498,1.0774919912219048,0.2541831322014332,0.04043712094426155,1.0572373867034912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.9643265902996
