Contains move time for player AlphaBeta1; opponent is Roxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.009540945291519165,0.009225748479366302,0.012164812535047531,0.01195254921913147,0.013990379869937897,0.014674343168735504,0.014414463192224503,0.01588626578450203,0.01713632047176361,0.015719573944807053,0.014193713665008545,0.01773424819111824,0.017001304775476456,0.01849902793765068,0.017083577811717987,0.011022374033927917,0.010599065572023392,0.007839355617761612,0.007501933723688126,0.009770888835191727,0.006518356502056122,0.00696023553609848,0.006782852113246918,0.005675449967384338,0.0057349614799022675,0.004240833222866058,0.005513414740562439,0.0036714524030685425,0.002696637064218521,0.00021081045269966125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3139558956027031
2,0.009166281670331955,0.02245139703154564,0.02642076462507248,0.02617121860384941,0.02914806827902794,0.028973247855901718,0.04069841280579567,0.02840365096926689,0.02705264464020729,0.01419299840927124,0.01618744060397148,0.015796035528182983,0.014349211007356644,0.010845936834812164,0.009622953832149506,0.0072946324944496155,0.005997736006975174,0.011675968766212463,0.011821258813142776,0.012609057128429413,0.010435707867145538,0.02209106832742691,0.022698383778333664,0.02088385447859764,0.007274020463228226,0.020326875150203705,0.005621716380119324,0.0181325264275074,0.0024352483451366425,0.00019819289445877075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4989765100181103
3,0.00917988270521164,0.025361288338899612,0.013251286000013351,0.01516677439212799,0.01936100795865059,0.021314743906259537,0.016290880739688873,0.017334140837192535,0.015641063451766968,0.012056458741426468,0.029874976724386215,0.041232138872146606,0.0270858034491539,0.028038807213306427,0.026808973401784897,0.024260248988866806,0.012913838028907776,0.00926821306347847,0.013587232679128647,0.014486540108919144,0.010420329868793488,0.00861513614654541,0.007341798394918442,0.006944969296455383,0.005836624652147293,0.0062253959476947784,0.0058735571801662445,0.005196519196033478,0.002224937081336975,0.00020676106214523315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4514003284275532
4,0.009156748652458191,0.00784311443567276,0.013208858668804169,0.011873472481966019,0.012846812605857849,0.015726011246442795,0.01563401147723198,0.015167534351348877,0.012282762676477432,0.01437496766448021,0.013917092233896255,0.011065416038036346,0.01553010568022728,0.013118024915456772,0.016279589384794235,0.011984232813119888,0.012726426124572754,0.0112575963139534,0.012582778930664062,0.011501934379339218,0.00871167704463005,0.007127933204174042,0.00953080877661705,0.00524645671248436,0.004026096314191818,0.0028260014951229095,0.0007847771048545837,0.0032021179795265198,0.0026417896151542664,0.0003118366003036499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30248698592185974
5,0.009160194545984268,0.02167563885450363,0.02425369992852211,0.026178430765867233,0.02909356728196144,0.026750020682811737,0.02434798702597618,0.036723822355270386,0.039261024445295334,0.02147473767399788,0.004040751606225967,0.02330905944108963,0.009842850267887115,0.027757860720157623,0.028356872498989105,0.03013472631573677,0.04461283981800079,0.030174382030963898,0.04434812441468239,0.03195130079984665,0.01755603775382042,0.016274485737085342,0.015401192009449005,0.0134647898375988,0.011670880019664764,0.009018998593091965,0.007871020585298538,0.006529495120048523,0.00542154535651207,0.00429871678352356,0.002390768378973007,0.00021224096417427063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435580626130104
6,0.009255167096853256,0.007932383567094803,0.013275466859340668,0.014179129153490067,0.014964897185564041,0.015795424580574036,0.014491163194179535,0.016253940761089325,0.0123252272605896,0.014420688152313232,0.015179038047790527,0.017623547464609146,0.015448454767465591,0.014809053391218185,0.017585232853889465,0.015200268477201462,0.013210732489824295,0.009624786674976349,0.010224264115095139,0.012430965900421143,0.011952206492424011,0.011673491448163986,0.011095341295003891,0.007776748389005661,0.006643105298280716,0.007360048592090607,0.006187416613101959,0.004968676716089249,0.0028451234102249146,0.0003130286931991577,0.0001739002764225006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3452189192175865
7,0.009251832962036133,0.012453615665435791,0.012156933546066284,0.016311518847942352,0.018166299909353256,0.017961975187063217,0.032826244831085205,0.03226127848029137,0.048241015523672104,0.03516062721610069,0.02288380265235901,0.02058880403637886,0.018509376794099808,0.01985228806734085,0.018626011908054352,0.01746324449777603,0.018086638301610947,0.01776696741580963,0.015217393636703491,0.01178949698805809,0.011505428701639175,0.009777482599020004,0.00771704688668251,0.006770256906747818,0.006431456655263901,0.005762018263339996,0.004290711134672165,0.0040903761982917786,0.0025254637002944946,0.00031493231654167175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474760539829731
8,0.009218256920576096,0.01240818202495575,0.013323690742254257,0.02620207518339157,0.029076095670461655,0.028940819203853607,0.028218276798725128,0.028629127889871597,0.04014313220977783,0.0154196098446846,0.012258924543857574,0.012643754482269287,0.010445520281791687,0.011887092143297195,0.011962279677391052,0.009261291474103928,0.010698996484279633,0.012644641101360321,0.009387481957674026,0.008902110159397125,0.009133487939834595,0.00761939212679863,0.021447885781526566,0.022632665932178497,0.020796243101358414,0.005204819142818451,0.017933443188667297,0.002902805805206299,0.0019180700182914734,0.00020688027143478394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45146705210208893
9,0.009118836373090744,0.025471024215221405,0.026332534849643707,0.02834392338991165,0.05285137519240379,0.019208915531635284,0.01567789912223816,0.015388336032629013,0.015974145382642746,0.01586071029305458,0.0191449336707592,0.01910305768251419,0.02120533585548401,0.01959402859210968,0.017534125596284866,0.01577254757285118,0.015880312770605087,0.01721828058362007,0.014724843204021454,0.011457443237304688,0.010077539831399918,0.008910872042179108,0.00522356852889061,0.0054419152438640594,0.006697475910186768,0.00743398442864418,0.000825151801109314,0.0005952231585979462,0.0004946328699588776,0.0027435049414634705,0.00019034743309020996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44449682533741
10,0.009171437472105026,0.012342486530542374,0.012118496000766754,0.016365427523851395,0.01609308272600174,0.01929508149623871,0.018859680742025375,0.016527552157640457,0.016739215701818466,0.01652735471725464,0.014838900417089462,0.017179735004901886,0.015660692006349564,0.018009386956691742,0.0187930166721344,0.02083975449204445,0.018464315682649612,0.017568830400705338,0.013375017791986465,0.01403019204735756,0.012834422290325165,0.010535459965467453,0.008544325828552246,0.00689464807510376,0.005077097564935684,0.005693364888429642,0.00481608510017395,0.004435691982507706,0.0021210424602031708,0.0001874975860118866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3839392922818661
11,0.009212765842676163,0.011203844100236893,0.009874604642391205,0.013036075979471207,0.01487373560667038,0.01356356218457222,0.013442683964967728,0.01207217201590538,0.015650704503059387,0.012966569513082504,0.009228110313415527,0.006843067705631256,0.011238399893045425,0.012120414525270462,0.010043911635875702,0.013041943311691284,0.010177608579397202,0.007360372692346573,0.006459835916757584,0.009961917996406555,0.004801169037818909,0.0038227885961532593,0.0047770291566848755,0.004561536014080048,0.004119902849197388,0.002933073788881302,0.002565152943134308,0.003116752952337265,0.000427979975938797,0.0002086237072944641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25370630994439125
12,0.00916152074933052,0.01120581105351448,0.01106184720993042,0.013058632612228394,0.011697951704263687,0.016980502754449844,0.012284424155950546,0.015279874205589294,0.014525100588798523,0.013251382857561111,0.011742491275072098,0.015610754489898682,0.013903360813856125,0.012422166764736176,0.012161314487457275,0.015815652906894684,0.014355145394802094,0.012694474309682846,0.013296213001012802,0.01272512599825859,0.010645825415849686,0.008701100945472717,0.005944926291704178,0.006746526807546616,0.0037580057978630066,0.0010016486048698425,0.0007867813110351562,0.0007027126848697662,0.0022932998836040497,0.0003038235008716583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30411839857697487
13,0.009171608835458755,0.011189248412847519,0.01101280003786087,0.012955795973539352,0.017123226076364517,0.01570059359073639,0.01437797024846077,0.015303976833820343,0.014965105801820755,0.01456482708454132,0.01518155261874199,0.016958188265562057,0.016619548201560974,0.014030534774065018,0.011521454900503159,0.013190798461437225,0.012109044939279556,0.010725878179073334,0.008450638502836227,0.0062200091779232025,0.00584673136472702,0.005569979548454285,0.00529874861240387,0.003202047199010849,0.005100537091493607,0.005945656448602676,0.009024672210216522,0.004344407469034195,0.0032210536301136017,0.0003112033009529114,0.00016760826110839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30940544605255127
14,0.009158063679933548,0.012327618896961212,0.01336357370018959,0.013124469667673111,0.016079623252153397,0.014727093279361725,0.0166257843375206,0.014175672084093094,0.017967507243156433,0.01761937513947487,0.017378218472003937,0.018935412168502808,0.024653200060129166,0.022050216794013977,0.022801615297794342,0.02273322269320488,0.020233534276485443,0.015705283731222153,0.0160110741853714,0.018525786697864532,0.017738405615091324,0.017232507467269897,0.015208695083856583,0.012246854603290558,0.008896730840206146,0.007653485983610153,0.0050901807844638824,0.0036521032452583313,0.001917857676744461,0.00021475180983543396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434047918766737
15,0.009192518889904022,0.01021432876586914,0.012139927595853806,0.012959171086549759,0.012776270508766174,0.015800192952156067,0.015543650835752487,0.013062935322523117,0.010704617947340012,0.011754591017961502,0.011103451251983643,0.013623949140310287,0.00924982875585556,0.0084945447742939,0.008324433118104935,0.009892597794532776,0.009502649307250977,0.013470746576786041,0.015034027397632599,0.01317373663187027,0.013092447072267532,0.010814469307661057,0.009549461305141449,0.008845359086990356,0.007317420095205307,0.005351897329092026,0.004066411405801773,0.0021162033081054688,0.0019677281379699707,0.0003205724060535431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29946013912558556
16,0.009183257818222046,0.01010589674115181,0.013267971575260162,0.01416245847940445,0.013914704322814941,0.01262306421995163,0.012309115380048752,0.014194399118423462,0.020070429891347885,0.020529184490442276,0.01991688460111618,0.017399661242961884,0.01582140102982521,0.010853689163923264,0.017373986542224884,0.014538303017616272,0.014632564038038254,0.012077465653419495,0.013601049780845642,0.013636626303195953,0.009427625685930252,0.0062767378985881805,0.004864558577537537,0.004786629229784012,0.004845920950174332,0.006324641406536102,0.005059525370597839,0.0050676800310611725,0.0034774281084537506,0.0019088387489318848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3422516994178295
17,0.009132221341133118,0.00908314436674118,0.012160070240497589,0.015212077647447586,0.011681810021400452,0.011476315557956696,0.010237008333206177,0.00988684594631195,0.009714480489492416,0.011640839278697968,0.014209195971488953,0.01346588134765625,0.01293088123202324,0.01755201816558838,0.016421504318714142,0.01783515140414238,0.015944264829158783,0.013114579021930695,0.012229088693857193,0.008866611868143082,0.007518947124481201,0.006326697766780853,0.006232887506484985,0.006080895662307739,0.005726505070924759,0.003686513751745224,0.0025442875921726227,0.000638175755739212,0.00038300082087516785,0.0017833448946475983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2937152460217476
18,0.009182043373584747,0.011209938675165176,0.010980993509292603,0.012965366244316101,0.014855470508337021,0.016995958983898163,0.014516040682792664,0.013233695179224014,0.013834543526172638,0.014200475066900253,0.011785410344600677,0.013750988990068436,0.012396428734064102,0.011246461421251297,0.008670136332511902,0.012715492397546768,0.010469187051057816,0.01023343950510025,0.012678045779466629,0.0120653435587883,0.01027229055762291,0.008710291236639023,0.009748846292495728,0.00855531170964241,0.006712619215250015,0.005276389420032501,0.003867167979478836,0.00290476530790329,0.0023696422576904297,0.0002086535096168518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30661143735051155
19,0.009219206869602203,0.012399766594171524,0.013279687613248825,0.013130534440279007,0.016038697212934494,0.015846867114305496,0.014578688889741898,0.015394087880849838,0.01392257958650589,0.015325311571359634,0.014026250690221786,0.012903373688459396,0.012248095124959946,0.00975501537322998,0.01268477737903595,0.012916486710309982,0.013377171009778976,0.011209473013877869,0.00965963676571846,0.011996351182460785,0.010043837130069733,0.010311204940080643,0.009137697517871857,0.00457928329706192,0.005012884736061096,0.005546208471059799,0.0034138672053813934,0.0021686702966690063,0.0019983798265457153,0.00021440908312797546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3123385012149811
20,0.009146671742200851,0.010077040642499924,0.013283979147672653,0.01416703313589096,0.013912729918956757,0.01464822143316269,0.016616690903902054,0.012983117252588272,0.014938272535800934,0.011411882936954498,0.01428515836596489,0.015660978853702545,0.015224728733301163,0.013744447380304337,0.015168454498052597,0.01465224102139473,0.013112042099237442,0.013787627220153809,0.014647815376520157,0.01416650041937828,0.012188322842121124,0.008576303720474243,0.007118482142686844,0.005241841077804565,0.0012370459735393524,0.0029319114983081818,0.002638567239046097,0.0021788328886032104,0.0018169619143009186,0.00018437206745147705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31974827498197556
21,0.009214658290147781,0.007882483303546906,0.012068666517734528,0.014099188148975372,0.013940103352069855,0.01364998146891594,0.012376826256513596,0.01522553339600563,0.015832796692848206,0.014615248888731003,0.018477264791727066,0.02134905755519867,0.019896801561117172,0.06210927665233612,0.04699520766735077,0.0379435196518898,0.031377144157886505,0.04775049537420273,0.04778140410780907,0.03277037665247917,0.032861437648534775,0.041775405406951904,0.032368287444114685,0.02598847821354866,0.02488519996404648,0.012667860835790634,0.011122692376375198,0.009735692292451859,0.006599947810173035,0.004709616303443909,0.002628527581691742,0.00027307868003845215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009722590446472
