Contains move time for player Roxanne; opponent is DynamicBoard4
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.006053857505321503,0.0064212121069431305,0.00566401332616806,0.005443543195724487,0.005315244197845459,0.005199771374464035,0.005042184144258499,0.004863966256380081,0.004687465727329254,0.004554063081741333,0.004335131496191025,0.004129882901906967,0.003946870565414429,0.0036888904869556427,0.003497641533613205,0.0031519420444965363,0.0030252672731876373,0.002873368561267853,0.002612840384244919,0.0023398101329803467,0.002083614468574524,0.0018536485731601715,0.0016799978911876678,0.0014759041368961334,0.001298956573009491,0.0010855309665203094,0.0008786506950855255,0.0007162280380725861,0.00048079714179039,0.00029697641730308533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09869727119803429
2,0.0059188418090343475,0.005750931799411774,0.005618136376142502,0.005474157631397247,0.005396388471126556,0.005097188055515289,0.005140438675880432,0.0048084259033203125,0.0046596042811870575,0.004457291215658188,0.0042990222573280334,0.004060138016939163,0.003933917731046677,0.0036860480904579163,0.003537166863679886,0.0033006779849529266,0.0031337998807430267,0.0028724409639835358,0.0026106275618076324,0.002411462366580963,0.0022063590586185455,0.0019527412950992584,0.0016908720135688782,0.0015782229602336884,0.001361694186925888,0.0011810921132564545,0.0009300932288169861,0.000720486044883728,0.0004843473434448242,0.00028294697403907776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0985555611550808
3,0.005915582180023193,0.005732297897338867,0.0056043341755867004,0.005465202033519745,0.005348861217498779,0.005135048180818558,0.005034569650888443,0.004865467548370361,0.004684902727603912,0.004454027861356735,0.004318006336688995,0.004116185009479523,0.003959238529205322,0.003747381269931793,0.0035234354436397552,0.003322713077068329,0.0031375959515571594,0.0029526501893997192,0.002722863107919693,0.002448439598083496,0.0022375956177711487,0.0020107105374336243,0.0018528550863265991,0.001690637320280075,0.0014758072793483734,0.0012129247188568115,0.0009071119129657745,0.0007022134959697723,0.00047355517745018005,0.00028756633400917053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09933977946639061
4,0.005971912294626236,0.005817137658596039,0.005603976547718048,0.005457580089569092,0.005360551178455353,0.005264207720756531,0.005021862685680389,0.004928629845380783,0.004698127508163452,0.004546497017145157,0.0043409354984760284,0.004128940403461456,0.0038456991314888,0.0037060603499412537,0.003442727029323578,0.0032338425517082214,0.0030853338539600372,0.0029057636857032776,0.0026794373989105225,0.0024631619453430176,0.002316150814294815,0.0020585395395755768,0.001925785094499588,0.0016904287040233612,0.0014563016593456268,0.0012147203087806702,0.0010208562016487122,0.0007713325321674347,0.0005179308354854584,0.0002965293824672699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09977095946669579
5,0.005964554846286774,0.0057691894471645355,0.005639713257551193,0.005392726510763168,0.005277242511510849,0.005043674260377884,0.004899110645055771,0.004662372171878815,0.004539616405963898,0.004342813044786453,0.004305310547351837,0.004035480320453644,0.003844514489173889,0.0036180540919303894,0.003434140235185623,0.0032129138708114624,0.0029876530170440674,0.0028049610555171967,0.0025322325527668,0.0024307630956172943,0.0021992139518260956,0.002105865627527237,0.0018588975071907043,0.0016257204115390778,0.0013773664832115173,0.0011303983628749847,0.0008770860731601715,0.000646054744720459,0.0006192103028297424,0.00042249634861946106,0.0001574680209159851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09775681421160698
6,0.006008267402648926,0.0058601014316082,0.005654092878103256,0.00546959787607193,0.005287405103445053,0.005067326128482819,0.004925426095724106,0.0047819241881370544,0.004620589315891266,0.004481367766857147,0.004283584654331207,0.0041074007749557495,0.003972332924604416,0.0038160644471645355,0.003645036369562149,0.0034332536160945892,0.003261260688304901,0.003053087741136551,0.0027903802692890167,0.0026259049773216248,0.0024362467229366302,0.002231419086456299,0.0019526109099388123,0.0017269179224967957,0.0017968155443668365,0.0012415200471878052,0.001021306961774826,0.0008954815566539764,0.0006681978702545166,0.0004130899906158447,0.00013747066259384155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10166548192501068
7,0.005986984819173813,0.005766090005636215,0.005656085908412933,0.0055427029728889465,0.005349207669496536,0.005061332136392593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03336240351200104
8,0.006025079637765884,0.005795195698738098,0.00560355931520462,0.005496099591255188,0.005256954580545425,0.00520840659737587,0.005100950598716736,0.0049360208213329315,0.004712063819169998,0.004524528980255127,0.004254959523677826,0.004025619477033615,0.003862876445055008,0.0038196519017219543,0.003614358603954315,0.0034621059894561768,0.0032083652913570404,0.003018110990524292,0.002812027931213379,0.002646278589963913,0.002430863678455353,0.0022157058119773865,0.0020267926156520844,0.0016838572919368744,0.0014735348522663116,0.0012358352541923523,0.0010703988373279572,0.0007671751081943512,0.0005049556493759155,0.00027706846594810486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10106940194964409
9,0.006009306758642197,0.00582074373960495,0.005684796720743179,0.005439579486846924,0.005356520414352417,0.005324985831975937,0.005063969641923904,0.004949469119310379,0.004784487187862396,0.004543032497167587,0.004291005432605743,0.0040693990886211395,0.0039390213787555695,0.003710079938173294,0.0035534240305423737,0.0032872408628463745,0.00304446741938591,0.002844061702489853,0.002719685435295105,0.002602238208055496,0.0023881196975708008,0.00222913920879364,0.0019072480499744415,0.0016768760979175568,0.0014412663877010345,0.0012060031294822693,0.0009678006172180176,0.0007223561406135559,0.0005266070365905762,0.00029749050736427307,0.00014996901154518127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10055039077997208
10,0.005957718938589096,0.005765829235315323,0.0056829750537872314,0.005467329174280167,0.005915295332670212,0.005160558968782425,0.004964761435985565,0.004950355738401413,0.004750628024339676,0.004572082310914993,0.004175577312707901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057363111525774
11,0.0059680454432964325,0.0057988241314888,0.005630921572446823,0.005462445318698883,0.005440041422843933,0.0052225589752197266,0.005100730806589127,0.004948277026414871,0.004833344370126724,0.004539694637060165,0.004395797848701477,0.00414314866065979,0.003923378884792328,0.0038114823400974274,0.0035069435834884644,0.003253776580095291,0.0030672773718833923,0.0027782730758190155,0.002532031387090683,0.0023810304701328278,0.0022738203406333923,0.002022434026002884,0.0017775297164916992,0.0015166662633419037,0.0012891069054603577,0.0010976232588291168,0.000868968665599823,0.000674419105052948,0.0004922822117805481,0.0002551153302192688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09900598973035812
