Contains move time for player Gambler; opponent is Roxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.009339503943920135,0.008387729525566101,0.007167946547269821,0.0066702961921691895,0.006152790039777756,0.005107846111059189,0.005019530653953552,0.0048100389540195465,0.004420582205057144,0.004267975687980652,0.004199206829071045,0.003974512219429016,0.0038284584879875183,0.003443188965320587,0.003327626734972,0.0030672959983348846,0.0029712803661823273,0.00293886661529541,0.0027118250727653503,0.0024500414729118347,0.0021904557943344116,0.0019793808460235596,0.001798488199710846,0.0015981271862983704,0.001324046403169632,0.001110319048166275,0.000929076224565506,0.0006589628756046295,0.00038875266909599304,0.00012498721480369568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10635913908481598
2,0.005889326333999634,0.005813170224428177,0.005552083253860474,0.005377374589443207,0.0052086710929870605,0.004989836364984512,0.004826020449399948,0.004677392542362213,0.004510793834924698,0.00425560399889946,0.004049576818943024,0.0038834623992443085,0.0037614889442920685,0.0035937726497650146,0.003445051610469818,0.003251548856496811,0.0030922740697860718,0.0028877444565296173,0.00272350013256073,0.002523660659790039,0.0023178234696388245,0.0021215230226516724,0.0018946677446365356,0.0016660913825035095,0.0014784373342990875,0.0012214481830596924,0.0009539537131786346,0.0006861574947834015,0.0004439838230609894,0.00030128657817840576,0.00015596672892570496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09755369275808334
3,0.005788717418909073,0.005662575364112854,0.005507368594408035,0.00533222034573555,0.005247935652732849,0.0050547122955322266,0.004841763526201248,0.004640296101570129,0.004372064024209976,0.004180528223514557,0.003980252891778946,0.00381532683968544,0.00363125279545784,0.0034984350204467773,0.003326665610074997,0.0031267069280147552,0.002911776304244995,0.0026910491287708282,0.002454865723848343,0.0022274143993854523,0.0019981414079666138,0.001796666532754898,0.0017601102590560913,0.0015351437032222748,0.0013024285435676575,0.0010246708989143372,0.0008266717195510864,0.0005646198987960815,0.0003561563789844513,0.0001545548439025879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09361109137535095
4,0.005807314068078995,0.005602113902568817,0.005394000560045242,0.005326282232999802,0.005277689546346664,0.0070812031626701355,0.006438758224248886,0.005795285105705261,0.00529094785451889,0.004861246794462204,0.0047743357717990875,0.004496525973081589,0.004297904670238495,0.004069246351718903,0.003884240984916687,0.003971561789512634,0.0037385039031505585,0.0032774172723293304,0.002770267426967621,0.002587202936410904,0.0022356100380420685,0.0020177215337753296,0.0018075667321681976,0.0015788301825523376,0.0013167373836040497,0.001108553260564804,0.0008995160460472107,0.0007029585540294647,0.00043489038944244385,0.00016666576266288757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1070110984146595
5,0.005806896835565567,0.005660124123096466,0.005529914051294327,0.005314592272043228,0.005156699568033218,0.00501587986946106,0.004904579371213913,0.004705224186182022,0.0044545382261276245,0.004270896315574646,0.004130672663450241,0.0038720406591892242,0.0036781765520572662,0.0034521780908107758,0.0032342225313186646,0.0030319876968860626,0.0027969777584075928,0.00259273499250412,0.002483755350112915,0.0023253262042999268,0.0022186152637004852,0.0018783807754516602,0.0016503632068634033,0.001409631222486496,0.001145102083683014,0.0010729730129241943,0.0008318834006786346,0.0006028488278388977,0.00038719549775123596,0.00012017413973808289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09373458474874496
6,0.00575956329703331,0.0055852048099040985,0.005498606711626053,0.005315873771905899,0.005202982574701309,0.0050208680331707,0.004861138761043549,0.004672590643167496,0.004572484642267227,0.004365798085927963,0.004160884767770767,0.0039019137620925903,0.0037745311856269836,0.0035568922758102417,0.003368079662322998,0.003122609108686447,0.0029621683061122894,0.0028800778090953827,0.002706564962863922,0.002459157258272171,0.002247307449579239,0.001991022378206253,0.0018066801130771637,0.001592930406332016,0.001391541212797165,0.0011305063962936401,0.0008556246757507324,0.0006267540156841278,0.00037540122866630554,0.0001512877643108368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09591704607009888
7,0.005802404135465622,0.005611825734376907,0.005499210208654404,0.005277901887893677,0.005155015736818314,0.005012240260839462,0.004815392196178436,0.00465242937207222,0.004463180899620056,0.0042130425572395325,0.003978125751018524,0.0038674212992191315,0.003843408077955246,0.0036701709032058716,0.0034747906029224396,0.0032706744968891144,0.003077622503042221,0.002948194742202759,0.002649974077939987,0.002447761595249176,0.002211436629295349,0.0020773112773895264,0.0018380321562290192,0.0016227029263973236,0.0013604313135147095,0.0011207647621631622,0.0008729100227355957,0.0006493628025054932,0.00040349364280700684,0.00013311579823493958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09602034837007523
8,0.006025455892086029,0.005744479596614838,0.005571138113737106,0.005447991192340851,0.005347993224859238,0.005216296762228012,0.004908319562673569,0.00475374236702919,0.004656050354242325,0.004442676901817322,0.004104066640138626,0.0039072185754776,0.0036430396139621735,0.003363095223903656,0.0031458400189876556,0.0030242837965488434,0.002844739705324173,0.0026302486658096313,0.0023985281586647034,0.002301465719938278,0.0021021999418735504,0.0019177459180355072,0.001699548214673996,0.0014356300234794617,0.0012742020189762115,0.001017499715089798,0.0008468478918075562,0.0006258487701416016,0.00039892271161079407,0.00016197934746742249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09495709463953972
9,0.006075091660022736,0.006388567388057709,0.006348412483930588,0.006360940635204315,0.006068907678127289,0.005964536219835281,0.005658704787492752,0.005219746381044388,0.005134474486112595,0.004855126142501831,0.00460236519575119,0.0044464655220508575,0.004327703267335892,0.004067182540893555,0.0037964358925819397,0.0035885758697986603,0.0033825673162937164,0.0032194852828979492,0.003084857016801834,0.0028149522840976715,0.0025942660868167877,0.0022756271064281464,0.0020226798951625824,0.001707717776298523,0.0014470294117927551,0.0011886470019817352,0.0009668245911598206,0.0007412619888782501,0.0004499778151512146,0.00017229095101356506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10897142067551613
10,0.006572388112545013,0.0063581205904483795,0.006201509386301041,0.006037537008523941,0.005779672414064407,0.005677845329046249,0.0054840706288814545,0.005263917148113251,0.004979390650987625,0.004856660962104797,0.004716258496046066,0.0043264590203762054,0.004152700304985046,0.004160497337579727,0.0035538896918296814,0.003303859382867813,0.0030829794704914093,0.003050234168767929,0.0028699301183223724,0.0025860145688056946,0.0022664591670036316,0.002096470445394516,0.001882307231426239,0.0016194842755794525,0.0014215297996997833,0.0011940672993659973,0.0009177997708320618,0.0006476119160652161,0.00042490288615226746,0.00016447901725769043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10564904659986496
