Contains move time for player Roxanne; opponent is Greedy
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.006131727248430252,0.005714006721973419,0.005637571215629578,0.005478978157043457,0.005294028669595718,0.005099985748529434,0.004946257919073105,0.004680104553699493,0.0046553052961826324,0.004664022475481033,0.004284873604774475,0.004107866436243057,0.003932654857635498,0.003761298954486847,0.003483537584543228,0.00331781804561615,0.003167852759361267,0.002953682094812393,0.0028016231954097748,0.002529531717300415,0.002400234341621399,0.002178128808736801,0.0019243508577346802,0.0016845464706420898,0.0014440789818763733,0.0012490972876548767,0.0010342001914978027,0.0007881559431552887,0.0005547255277633667,0.00027919188141822815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10017943754792213
2,0.005902901291847229,0.005785100162029266,0.005649108439683914,0.00552826002240181,0.00521412119269371,0.005206592381000519,0.0051330216228961945,0.004992898553609848,0.004649464040994644,0.004619777202606201,0.004285760223865509,0.004002071917057037,0.003922082483768463,0.003760203719139099,0.0035938099026679993,0.0034036897122859955,0.003243453800678253,0.003013070672750473,0.002769649028778076,0.002502657473087311,0.0022959373891353607,0.0021144896745681763,0.001894194632768631,0.0016677603125572205,0.001419711858034134,0.0012219026684761047,0.0009865276515483856,0.000774238258600235,0.0005266070365905762,0.0002899877727031708,0.00015919655561447144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10052824765443802
3,0.005937319248914719,0.005979213863611221,0.005577586591243744,0.00548616424202919,0.005304079502820969,0.0052695684134960175,0.005058031529188156,0.004922434687614441,0.004693713039159775,0.004399590194225311,0.00425584614276886,0.00408409908413887,0.004049006849527359,0.003892958164215088,0.0036624856293201447,0.0035120397806167603,0.0033340752124786377,0.0029989629983901978,0.0027638524770736694,0.0025208517909049988,0.0022190362215042114,0.002046428620815277,0.0018292814493179321,0.0015964247286319733,0.001417301595211029,0.001242712140083313,0.000986248254776001,0.0007472187280654907,0.0005601085722446442,0.0003159530460834503,0.0001672878861427307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10082988068461418
4,0.0060157328844070435,0.00581534206867218,0.005813971161842346,0.005483545362949371,0.005285847932100296,0.005215860903263092,0.004986289888620377,0.004817843437194824,0.004684217274188995,0.0044708251953125,0.004376649856567383,0.004154521971940994,0.003954041749238968,0.003759589046239853,0.0035963691771030426,0.0033617913722991943,0.003126222640275955,0.0028961412608623505,0.002700135111808777,0.002440560609102249,0.00228692963719368,0.0020698346197605133,0.0018003322184085846,0.0015570484101772308,0.0013540573418140411,0.0012058652937412262,0.0009632371366024017,0.0007402747869491577,0.0005149692296981812,0.0002821795642375946,0.00015543773770332336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09988566488027573
5,0.005873914808034897,0.005719635635614395,0.005488358438014984,0.005388639867305756,0.005346432328224182,0.0051763951778411865,0.00497431680560112,0.004794567823410034,0.004705242812633514,0.004496634006500244,0.004454057663679123,0.0041201189160346985,0.003993552178144455,0.0038796551525592804,0.0036387592554092407,0.0034735016524791718,0.003208894282579422,0.002976641058921814,0.002795446664094925,0.0025618523359298706,0.0023692958056926727,0.0021000616252422333,0.0019453354179859161,0.0016522519290447235,0.0014882907271385193,0.0012909434735774994,0.0010425448417663574,0.0007659010589122772,0.0005442388355731964,0.00028755515813827515,0.00015297532081604004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10070601105690002
6,0.0059491656720638275,0.005765341222286224,0.005558967590332031,0.005495540797710419,0.005424622446298599,0.005054548382759094,0.005076330155134201,0.004971440881490707,0.004612836986780167,0.004391241818666458,0.004403788596391678,0.004217527806758881,0.004058919847011566,0.0038274675607681274,0.0036833472549915314,0.00352390855550766,0.003247477114200592,0.0030478499829769135,0.00275508314371109,0.00253286212682724,0.0022663362324237823,0.0019923970103263855,0.0017913579940795898,0.0016345381736755371,0.0014375485479831696,0.0011615343391895294,0.0010016858577728271,0.0007776208221912384,0.0005490817129611969,0.0004155561327934265,0.0002926439046859741,0.00015864893794059753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10107721760869026
7,0.005879409611225128,0.005730688571929932,0.005549419671297073,0.005478899925947189,0.005334537476301193,0.005103800445795059,0.004987537860870361,0.004859566688537598,0.004593595862388611,0.004626013338565826,0.004369135946035385,0.004111241549253464,0.004017945379018784,0.0037912651896476746,0.003636252135038376,0.0033743344247341156,0.0032039880752563477,0.002994224429130554,0.002849902957677841,0.002563394606113434,0.0023029111325740814,0.0021506324410438538,0.001849547028541565,0.0016568675637245178,0.0014297626912593842,0.0012630000710487366,0.0010781548917293549,0.0008479170501232147,0.0005767121911048889,0.00048199668526649475,0.00016633421182632446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10085899010300636
8,0.006054777652025223,0.005891311913728714,0.005664292722940445,0.005572587251663208,0.005431856960058212,0.005186542868614197,0.005034200847148895,0.004987433552742004,0.004853934049606323,0.0046285539865493774,0.00445348396897316,0.004159178584814072,0.003983158618211746,0.0037850625813007355,0.0035854801535606384,0.0034472234547138214,0.003216080367565155,0.003029290586709976,0.0026924647390842438,0.0024163909256458282,0.002344910055398941,0.0020189620554447174,0.001766163855791092,0.0016447342932224274,0.001486506313085556,0.0011929310858249664,0.0010260790586471558,0.0007578916847705841,0.0005485005676746368,0.00029316172003746033,0.00016539543867111206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10131854191422462
9,0.006037142127752304,0.005876947194337845,0.0056507885456085205,0.005467340350151062,0.005440309643745422,0.0051682814955711365,0.005133926868438721,0.004878047853708267,0.004789039492607117,0.004499394446611404,0.004319939762353897,0.004082381725311279,0.0040354542434215546,0.003805641084909439,0.0036092810332775116,0.0034203454852104187,0.0032616257667541504,0.0030120834708213806,0.0027995556592941284,0.0025705546140670776,0.002361048012971878,0.0021582134068012238,0.0019468069076538086,0.0018504597246646881,0.001606486737728119,0.0013760291039943695,0.0011518411338329315,0.0008748993277549744,0.0006748512387275696,0.00040297210216522217,0.00015514716506004333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10241683572530746
10,0.005945753306150436,0.005774222314357758,0.005643196403980255,0.005390148609876633,0.005227625370025635,0.005088984966278076,0.005099039524793625,0.00482521578669548,0.0047346241772174835,0.00446072593331337,0.004303596913814545,0.004028014838695526,0.003797590732574463,0.0036426223814487457,0.0033842958509922028,0.003375384956598282,0.0032120533287525177,0.0030100084841251373,0.002700991928577423,0.0024676695466041565,0.0023058801889419556,0.0020769350230693817,0.0018802620470523834,0.0016719698905944824,0.00142645463347435,0.0012302473187446594,0.0010551773011684418,0.0007775798439979553,0.0005368143320083618,0.00028981640934944153,0.0001536235213279724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09951652586460114
