Contains move time for player DynamicRoxanne; opponent is Dynamic_Roxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0025220419999953947,0.0024710830000032047,0.0023999999999944066,0.0024685829999953057,0.0022759590000021035,0.0021870409999991125,0.0021165840000065828,0.0020757500000030404,0.001941249999987349,0.0018554580000085252,0.0017695840000016005,0.0016693750000058571,0.0015927919999967344,0.0015630420000007916,0.0014870830000006663,0.0014265829999970947,0.0013063749999986385,0.001194458000000509,0.00112704200000735,0.0010607499999935044,0.0009744999999981019,0.0008690829999977723,0.0007489169999956857,0.000671500000009928,0.0005907909999933736,0.0005054579999921316,0.000384875000008833,0.00027841600000044764,0.0002165419999897722,0.00012058299999750943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04187149899998133
2,0.0025193339999987074,0.002442040999994788,0.0024129170000009026,0.002323541999999179,0.002276125000008733,0.002212917000008474,0.0021673749999990832,0.0023511659999968515,0.0020020410000114452,0.0019312909999911199,0.0018674169999997048,0.0018194579999999405,0.0017024160000005395,0.0016487500000010868,0.0015356669999988526,0.0014162089999985028,0.0013328339999958416,0.0012697909999985768,0.0011632920000010927,0.0010608329999968191,0.0009846659999936946,0.0009415829999994685,0.0007900420000055419,0.0006919169999974883,0.0005814999999955717,0.0005043750000055525,0.0004010840000034932,0.00027412499999002193,0.00018095900000503207,6.57080000081578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042871375000004264
3,0.0025109170000092718,0.0024821250000002237,0.002413209000010852,0.002373791000010783,0.0022817920000051117,0.002227417000000287,0.002176249999990887,0.0021183749999948986,0.0020266660000061165,0.001922542000002636,0.0019171250000056261,0.0016848749999951451,0.0016411660000130723,0.0015750830000058613,0.0014588340000045719,0.0013946250000032023,0.0013560830000045598,0.0012731249999973215,0.0011709580000029973,0.001039250000005154,0.0009230000000002292,0.000823958000012226,0.000730332999992811,0.0006450419999879387,0.0005006669999971791,0.00045829199999047887,0.00040929200000050514,0.00041299999999466763,0.0003108749999967131,0.00019199999999841566,0.00015908400000341771,6.733300000405507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042677084000047216
4,0.002559290999997188,0.0025202080000070737,0.0024462499999913234,0.0024200410000077,0.0023697499999997262,0.002275667000006365,0.002264457999999081,0.002170083999999406,0.0021014999999948714,0.0020449999999954116,0.0019388749999933452,0.0018366250000099171,0.0017723750000016025,0.0016648749999887968,0.0015115000000065493,0.0014124580000043352,0.0013544589999980872,0.0012094579999910593,0.0011717910000044185,0.0010920829999889747,0.0009765000000072632,0.0009127499999976862,0.000819125000006693,0.0007217090000040116,0.0006221670000030599,0.0005616659999958529,0.00045179100000325434,0.00035045900000341135,0.00024887499999692864,0.00013149999999484407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04393328999999824
5,0.0025127499999939573,0.00244612500000585,0.0023611249999930806,0.0023687919999986207,0.0023260410000034426,0.0022543329999962225,0.00219100000001049,0.002107000000009407,0.0020098339999918835,0.0019516250000037871,0.0018829170000032036,0.0017714589999968666,0.0017631250000107457,0.0016907090000017888,0.001593958000000839,0.0015116670000026033,0.0014492079999968155,0.0012544999999875017,0.001180625000003488,0.001111625000007166,0.0009496670000004315,0.0008798749999954225,0.0007600419999960195,0.0006647499999985484,0.000571665999999027,0.0004971250000096461,0.0003878340000085245,0.00029916699999432694,0.00021008400000255278,6.574999999031661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043024378000012575
6,0.0025164999999987003,0.0024926250000021355,0.0024586659999954463,0.0023649590000047738,0.002296709000006558,0.0022319169999889255,0.0021512910000041074,0.002090791000000536,0.0020188339999975824,0.0019520409999955746,0.0018842089999964173,0.0017297499999955335,0.0016659589999932223,0.0016043330000030664,0.0015332499999942684,0.001414917000005289,0.0013664169999998421,0.0012290829999983544,0.0011302919999991445,0.0010377499999947304,0.0009574999999983902,0.0008504580000021633,0.0007636250000047085,0.0006760830000018814,0.0006637500000010732,0.0004940419999996948,0.0003807499999908259,0.0002821249999982456,0.00021995900000604252,0.00012383400000715028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042582418999984384
7,0.0025923750000060863,0.002463667000000669,0.0024282910000010816,0.0023368749999974625,0.002267583000005402,0.002176665999996885,0.0021811250000070004,0.002155708000003642,0.002090667000004487,0.001981207999989465,0.0018597090000014305,0.001870124999996392,0.0017322080000070628,0.001567207999997322,0.0015309590000072149,0.0013675419999970018,0.001328416999996307,0.001259707999992088,0.001132583000000409,0.0010492080000119586,0.0009768339999993714,0.0008763329999936786,0.0007920420000004924,0.0007007920000035028,0.0006312499999978627,0.0005220839999964255,0.0004284170000090626,0.0003100410000058673,0.00019912499999463762,0.00013779100000022027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04294654100002049
8,0.0026726660000093716,0.002579249999996591,0.0025514160000028596,0.002478083000013953,0.002402458000005936,0.0024139589999947475,0.0023562090000126545,0.0022227500000013833,0.002179708999989316,0.0021229590000046983,0.0019515829999932066,0.0019036670000076583,0.0018257079999983716,0.0017573749999968413,0.001643958000002499,0.0015265830000004144,0.001472208999999225,0.0013666659999955755,0.001171041000006312,0.0011895840000022417,0.0010761249999973188,0.0009517909999914309,0.0008204999999890106,0.0007186250000046357,0.0006169579999948382,0.0004956659999919566,0.00037991599999998016,0.00027950000000487307,0.00017995899999334597,7.229199999869707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045379164999999944
9,0.002665333999999575,0.002578833999990593,0.002529124999995247,0.002502665999998044,0.0023663329999976668,0.00232766599999934,0.0022308749999950805,0.002161916999995128,0.0020470420000009426,0.0019127499999882502,0.0018427079999980833,0.0018382500000058144,0.00170137500001033,0.001645709000001716,0.001559874999998101,0.0014837499999913462,0.001341624999994906,0.0012673330000012584,0.0011644169999982523,0.0010887500000080763,0.0009930000000082373,0.0008712499999887768,0.0008129579999973657,0.0007289580000104934,0.000622624999991217,0.0005062080000044489,0.00042987500000890577,0.00031937500000367436,0.0002056250000066484,7.504100000232938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04382124899998985
10,0.0026548750000046084,0.002606874999997899,0.0024520000000052278,0.0024631250000055616,0.0023860000000013315,0.002272125000004621,0.0022564579999908574,0.002227457999993021,0.0021348750000100836,0.0020271669999942787,0.0019425829999875077,0.0018112499999887177,0.0017341660000056436,0.0016719590000064954,0.0015757080000042833,0.001464459000004581,0.0014155829999964453,0.0013089589999992768,0.0012342919999923652,0.001092542000009189,0.0010032080000001997,0.0009000839999941945,0.0007784999999955744,0.0006905420000009599,0.0005848750000012615,0.0004946659999944814,0.00039037499999494685,0.0002934580000015785,0.0001758749999964948,7.566700000438686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044119708999986074
11,0.0025823329999923317,0.0025433750000019018,0.0024071249999906286,0.0024293330000091373,0.002307874999999626,0.0022559169999993856,0.002236291000002666,0.002174416000002566,0.0020981659999961266,0.0019434170000067752,0.0018186249999985193,0.0017564160000063112,0.0017002919999953292,0.0015863750000022492,0.001449082999997131,0.0013810829999982843,0.001304832999991845,0.0012830000000008113,0.0011949169999923015,0.0011155000000115933,0.0010165420000021186,0.0008758339999985765,0.0007285840000008648,0.0006459579999926746,0.0005637919999941232,0.00045608300000310464,0.0003496669999947244,0.00024366699999234243,0.00016091700000231413,6.949999999505962e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04267891599997142
