Contains move time for player DynamicRoxanne; opponent is Greedy
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0026835420000006494,0.0025097089999999156,0.0024697089999996535,0.0024071250000003985,0.002294291000000115,0.0023149160000004443,0.0022161670000002687,0.002098667000000276,0.00198408299999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02097820900000169
2,0.0026282909999997273,0.002507791999999398,0.0024442499999999256,0.0023552090000000803,0.0023038749999999553,0.002276042000000089,0.00223416700000012,0.002134208000000193,0.0020368330000000157,0.0019930830000003397,0.0018666249999998996,0.0018756250000002694,0.0017565420000007492,0.001657042000000608,0.0015611670000001965,0.0015555420000001874,0.0014144170000003342,0.0013131250000002481,0.0011737500000004175,0.0011181660000003646,0.0010279999999998068,0.0008861669999999933,0.0007540420000005099,0.0006892500000006407,0.0005817500000002696,0.0005167090000002261,0.00039716599999994884,0.00029283299999960377,0.00019058300000018846,0.0001331669999995455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04367541800000385
3,0.002582166999999913,0.002496124999999516,0.0024592090000004063,0.0023611670000001084,0.0023284169999993054,0.0022708750000006717,0.0021721669999994475,0.002092458999999991,0.002160457999999643,0.0020155420000005364,0.0019703749999999687,0.0018905000000000172,0.0017792499999993439,0.0017761250000001283,0.0016370409999995061,0.001677833999999656,0.001449707999999994,0.0013539159999993444,0.0013532080000002722,0.0012415829999996575,0.0010490409999999173,0.0009208330000003428,0.0008076250000002005,0.0006915830000000511,0.0006407499999996347,0.0005176669999995553,0.00047183299999975503,0.0003184159999998215,0.0002535830000001127,0.00019949999999990808,7.658400000032373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04501554099999705
4,0.002575000000000216,0.002501416999999506,0.0024422500000005343,0.0023657500000000553,0.002279874999999265,0.002226334000000385,0.00214937500000012,0.002116374999999948,0.002087250000000651,0.002080291999999595,0.0019955409999994345,0.001911084000000507,0.0018727080000005003,0.001721374999999803,0.001614541000000358,0.001533124999999913,0.0014295410000002562,0.001338333999999719,0.0012151249999998726,0.001114916999999771,0.0010042910000001015,0.0009045839999997085,0.0008552910000005909,0.0007430409999997778,0.0006686670000002337,0.000563334000000637,0.00042908299999933064,0.00032966699999992244,0.0002460000000006346,0.00013575000000010107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04444991700000145
5,0.0025739590000002366,0.0024975830000002475,0.0024514580000003505,0.00240541699999941,0.0023001659999994928,0.0022951249999998424,0.002221375000000414,0.0021312079999997735,0.0020742919999996445,0.0020682920000005822,0.0019886669999999995,0.0018626250000002287,0.0017507500000002452,0.001662749999999491,0.0015380000000000393,0.0014415840000001623,0.0013855000000004836,0.0013090420000008152,0.0012495409999999652,0.001127499999999948,0.0010362920000002163,0.0009441249999992962,0.0008547080000003149,0.0007742500000000874,0.0006498330000006547,0.0005820839999994831,0.0004509580000000568,0.0003282499999999189,0.00022220899999947363,0.00012987500000072316,6.733299999961417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04437475100000121
6,0.002574916999999566,0.0024940419999994745,0.0024479169999995776,0.0024011670000003704,0.0023314580000004526,0.002251709000000268,0.0021917499999997148,0.0020995839999997656,0.0020752090000000223,0.0018956249999995123,0.0019300829999995273,0.0018705409999997258,0.0017216249999991717,0.001603500000000757,0.0015399580000003965,0.0015206669999994205,0.0014524170000003167,0.0013467089999998905,0.0012409999999993815,0.0011313749999999345,0.0010432500000003841,0.0009454159999995326,0.0008239169999999518,0.0007332920000004961,0.0006658749999992608,0.0005414169999999885,0.00045974999999920385,0.00036658300000080857,0.0002985000000004234,0.00019137499999999363,7.087500000046987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04426150299999776
7,0.0025717080000005055,0.0025131659999999556,0.0024433750000003585,0.0023975840000005633,0.0023096670000004593,0.0022331669999999804,0.0022157079999995943,0.002120459000000352,0.0020352080000005657,0.0019484580000002083,0.0018621250000006029,0.0017820840000002391,0.001727332999999831,0.0016429580000005828,0.0015971659999998167,0.001515249999999746,0.0014409999999998035,0.0013272920000000354,0.0012566249999999002,0.0010950830000000522,0.0009678749999997294,0.0008815829999999636,0.0008052499999999796,0.0007542919999998787,0.0006491249999998061,0.0005535419999995739,0.0004380419999998608,0.0003390830000000733,0.00023104100000015393,0.0001343330000000975,7.34170000002976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04386299900000257
8,0.002564583000000731,0.0024875839999998206,0.002464624999999998,0.002357458000000534,0.0023459160000003365,0.0023000839999998135,0.0021786249999999896,0.0021306250000003857,0.0020342919999993825,0.0019935829999999655,0.0019122079999993602,0.0018280420000005293,0.0017318749999999383,0.0017083749999997622,0.001633707999999956,0.0015487500000004317,0.001486333999999978,0.0013687500000001407,0.0012620830000003025,0.001183249999999525,0.0010393750000003976,0.0009703329999997123,0.0008856660000002847,0.0008090409999992332,0.000709624999999825,0.0006238339999997677,0.0005072909999999098,0.0003774579999999972,0.0003324170000000848,0.00018937499999971408,7.34170000002976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045038582000000105
9,0.002558417000000368,0.0024813329999995304,0.0024143329999999352,0.002384457999999867,0.0023202499999994686,0.00232870800000029,0.0021255000000000024,0.0021866250000002196,0.0021297499999999303,0.001965042000000139,0.0018957920000000072,0.001837457999999792,0.0018502499999994981,0.0017591249999995284,0.0017112919999995313,0.001557875000000486,0.0014586249999997136,0.0014198749999998483,0.0013279169999993456,0.0011834580000007477,0.0010799170000002078,0.000994791000000106,0.0009274169999997639,0.000805624999999921,0.0007143329999994563,0.0005689999999995976,0.00048108300000038184,0.0003450410000001014,0.00022820800000022956,0.00013479199999988367,7.495899999998556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045251248999997884
10,0.0026751250000005555,0.002585290999999934,0.002564957999999784,0.00255312499999949,0.0022850840000003814,0.0022780000000004463,0.002182541000000704,0.002193291000000208,0.0020533330000001015,0.0019519579999993653,0.001846916999999948,0.0017475840000003018,0.0016756249999998474,0.0015697089999999747,0.0015439999999999898,0.0014650410000003333,0.0014242080000004265,0.0013492910000003633,0.0012916669999993857,0.0011754579999996295,0.0010873750000000015,0.000995582999999911,0.0008478749999998314,0.0007357079999996685,0.0006146669999997911,0.0005348329999996793,0.0004420410000003372,0.000398458000000268,0.00028833299999941886,0.00023066600000021253,0.00011816700000011338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0447059120000004
