Contains move time for player Gambler; opponent is DynamicRoxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0026132919999923843,0.0025140409999977464,0.0024413750000036316,0.0023719170000049417,0.002289374999989491,0.0022336250000023483,0.002158666999989123,0.0020659580000028654,0.001993082999987905,0.001996040999998172,0.00189341600000148,0.0018272080000087954,0.0016739169999908654,0.001612125000008291,0.001566124999996532,0.001463666999995894,0.0014175830000056067,0.0013000829999896268,0.0012012080000118885,0.0011022079999918333,0.0010509579999933294,0.0009485420000032718,0.0008692499999938263,0.0007614160000031234,0.0006453750000048331,0.000566207999995072,0.00046950000000833825,0.00034183300000734107,0.00022099999999625197,0.00011516700000413493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043724162999978944
2,0.002581167000002438,0.0025076250000068967,0.0025552919999967116,0.0023339170000014064,0.002288500000005911,0.00221145899999442,0.0021452080000017304,0.0020322499999991805,0.0019691659999949707,0.0018842089999964173,0.0017872500000066793,0.0017183329999994612,0.0016111669999929745,0.0015594589999921027,0.0014605000000074142,0.0013161250000024438,0.0013637090000031549,0.0012967500000087284,0.0011157089999898062,0.0011142500000005384,0.0010358339999925192,0.0009613750000028176,0.000865750000002663,0.0007664589999905047,0.0006623330000081751,0.0005590420000061158,0.0004330419999973856,0.00035058400000309575,0.00024366700000655328,0.00012850000000241835,6.962499999474403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04292825600001038
3,0.0025842909999909125,0.0024836250000106475,0.0024532079999914913,0.0023761670000084223,0.0022785419999991063,0.0022899590000093895,0.002132916999997292,0.0020377910000064503,0.0019748329999913494,0.0019073330000054511,0.00185879200000727,0.0017410419999919213,0.0016966669999902706,0.0015757919999970227,0.0014897080000082497,0.0014755830000012793,0.0013791249999997035,0.0012730830000009519,0.0012098330000043234,0.0010823329999993803,0.0010234580000059168,0.0009205000000065411,0.0008171249999975316,0.000684957999993685,0.0005551250000053187,0.00047470900000234906,0.0004017500000088603,0.0002984580000031656,0.00022154199999135926,0.00011874999999861302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042816999000024225
4,0.0026344159999922567,0.0025414589999996906,0.002512125000009746,0.0024371669999965206,0.0023354169999976193,0.002251958000002219,0.0022143749999941065,0.002136249999992401,0.002069958999996402,0.001934042000002023,0.0018735829999911857,0.0017538749999914671,0.0016684579999974858,0.0015857079999932466,0.0015582500000022037,0.0014663749999925813,0.0013974170000068398,0.0012986250000039945,0.001203625000002262,0.0011000410000008287,0.000990999999999076,0.0009026250000090386,0.0008151669999989508,0.000745333000011783,0.0006209160000025804,0.0005172079999908874,0.0004051660000072843,0.00029575000000647833,0.00020508299999733026,0.00011295800000254985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04358433099999104
5,0.002565958000005253,0.002489167000007342,0.002419333999995388,0.0023303749999996626,0.0022827500000062173,0.002217458000004058,0.0021775000000019418,0.0021246249999933298,0.002038874999996665,0.0019609999999943284,0.0018604999999922711,0.0017795839999905638,0.001776417000002084,0.0016812079999937168,0.0016176670000049853,0.0014925410000046213,0.0014030420000068489,0.0012895420000091917,0.0011945830000001934,0.0010652079999999842,0.00098683299999891,0.0009079579999990983,0.0008294159999877593,0.0007190830000070036,0.0006477499999988368,0.0005272079999940615,0.0004574579999996331,0.00034483400000340225,0.00021954199999640878,0.00010987499999259853,6.262500001241733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043579915999998775
6,0.0025696249999924703,0.002510250000000269,0.0024706669999972064,0.0023814580000021124,0.00233308299999635,0.0022352919999946153,0.0021784580000030473,0.0020895420000073273,0.001987665999990895,0.0019174170000013646,0.0018514580000044134,0.0017672910000072761,0.001670250000003648,0.001586874999986776,0.0015144160000062357,0.001440708000004065,0.0013494170000001304,0.0012603750000010905,0.0011919159999962403,0.0010953749999913498,0.0010229579999929683,0.0009178749999989577,0.0008233340000032285,0.0007399590000005674,0.000625124999999116,0.0005287500000008549,0.0004394169999955011,0.00031883399999799167,0.00019995899999969424,0.0001013340000071139,6.945799999868996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04318854199998157
7,0.0025718750000010004,0.0024897079999988136,0.002422291999991444,0.002340666999998575,0.0022742919999956257,0.0022019590000041944,0.002156416000005379,0.00206283400000018,0.0019988330000018095,0.0019247500000005857,0.0017997909999962758,0.0017724590000085527,0.0016717499999998608,0.0016117499999950269,0.001521791999991251,0.0013979999999946813,0.0013193749999942384,0.001228541000003247,0.0011480829999896969,0.0010564999999900238,0.0009933340000003454,0.0009174170000108006,0.0008494579999904772,0.0007344580000108181,0.0007040419999952974,0.0005734169999982441,0.0004758339999995087,0.00034316699999692446,0.00022624999999720785,0.00011374999999702595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04290279399995711
8,0.002662958000001936,0.0025838329999885445,0.0025614169999954584,0.002457542000001922,0.002425416999997765,0.002358125000000655,0.0021961250000117616,0.002180375000008894,0.002069208000008871,0.0019745000000028767,0.0018444170000009308,0.0018352499999991778,0.0016168750000105092,0.0015632920000001604,0.0014584580000018832,0.0013262079999947218,0.0012634590000004664,0.0011464579999937996,0.0010454999999893744,0.0009869999999949641,0.0009018749999967213,0.0007891249999971706,0.0007097080000022515,0.0006079580000033502,0.0006322499999953379,0.0005672089999961827,0.00042262499999878855,0.00036533299999064184,0.00026583300000027066,0.00016479200000674155,5.287499999440115e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04303599999998653
9,0.002576582999992638,0.0024789160000011634,0.0024738749999926313,0.0023973330000046644,0.0023464589999946384,0.0022799999999989495,0.002300833000006719,0.0021129579999978887,0.0020719999999982974,0.0020222499999960064,0.0019270420000054855,0.0017792499999984557,0.0016926659999967342,0.0015980830000046353,0.0015375409999904832,0.0014123339999940754,0.001341624999994906,0.0012559170000088216,0.001148624999999015,0.0011554999999958682,0.0010475830000018505,0.0009430420000029471,0.0008508330000012165,0.0007497499999971069,0.000658999999998855,0.0005575419999956921,0.0004555000000010523,0.00032674999999926513,0.0002570840000117869,0.00012699999999199463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043883873999973844
10,0.0025948749999997744,0.0024954160000021375,0.0024053329999986772,0.002395125000006715,0.0023400829999928874,0.0023131669999969517,0.0021478749999914726,0.002149957999989738,0.0019908750000041664,0.001938541000001237,0.0018804999999986194,0.001829125000000431,0.0017290830000007418,0.00161666700000751,0.001531458000002317,0.0013849580000027117,0.0013301670000060994,0.0012815829999937023,0.0012265830000046662,0.0011168750000081218,0.0010414999999994734,0.0009396669999972573,0.0008633750000086593,0.0007778330000007827,0.0006844580000091582,0.0005489169999890464,0.0004292499999962729,0.00034462499999676766,0.00023091600000668677,0.00012037499999451029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04367916300000729
