Contains move time for player Gambler; opponent is Roxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0025337079999872003,0.0024894159999746535,0.002432665999975825,0.0023910840000098688,0.0023126250000018445,0.002229374999984657,0.002138416000008192,0.002067667000005713,0.001996375000004491,0.0018829159999995682,0.0017838750000009895,0.0017231249999838383,0.0016095000000007076,0.0015874579999888283,0.0015082090000078097,0.0013909170000090398,0.0013185829999997623,0.0012415420000024824,0.0011624589999996715,0.001039499999990312,0.0009540000000072268,0.0008523329999832185,0.0007215839999901164,0.0006861660000083702,0.0005565829999909511,0.00044987500001525405,0.0003437919999953465,0.00023733300000117197,0.00021220800002197393,0.00012058300001172029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041973872999960804
2,0.0025691250000079435,0.0024816670000120666,0.0024274579999996604,0.00237979199999927,0.0023420830000020487,0.0022704160000159845,0.002191957999997385,0.0021673749999990832,0.0020601670000246486,0.0019732920000024023,0.0018806250000125146,0.0018075419999945552,0.001730332999983375,0.0016505830000141941,0.0015568750000056752,0.0014964579999912075,0.0014069169999970654,0.0013767920000020695,0.0012832089999790242,0.0011530419999985497,0.001044584000027271,0.0009387080000067272,0.0008427079999933085,0.0007489590000204771,0.0006288330000074893,0.0005314169999905971,0.00041408399999909307,0.0003224579999994148,0.0001968329999897378,0.00013383399999611356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04400812700006895
3,0.002596707999998671,0.0025166249999983847,0.0024556249999818647,0.0024587500000166074,0.0023288339999965046,0.0022561669999845435,0.002189624999999751,0.0021204589999967993,0.0020837920000076338,0.001998165999992807,0.0018805830000019341,0.001833750000002965,0.00173404100002017,0.00163183300000469,0.001552958000019089,0.001450209000012137,0.001359665999984827,0.0012888750000001892,0.0011802919999865935,0.0011278329999981906,0.001028833000020768,0.0009592499999939719,0.0008437920000119448,0.0007339160000014999,0.0006039579999992384,0.0005122080000035112,0.00040120799999954215,0.00029662500000426917,0.00019012500001736043,7.48330000135411e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04368953900007
4,0.002583000000015545,0.00251979099999744,0.0024781669999924816,0.002433917000018937,0.002317541999985906,0.002282291000000214,0.002174332999999251,0.002129959000001236,0.0020322500000133914,0.0019712909999896056,0.0018173329999910948,0.0017247080000117876,0.0015829580000001897,0.0015228750000062519,0.0014920000000131495,0.0014445419999731257,0.0013897910000082447,0.0013167910000220218,0.0012571659999878193,0.0011618749999797728,0.0010043750000079399,0.000895291000006182,0.0008462910000162083,0.0007144999999866286,0.0005957079999916459,0.00049070800000095,0.00040137500002401794,0.0002886250000244672,0.0001542079999978796,0.00012170799999466908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043145369000058054
5,0.002581375000005437,0.002510333000003584,0.002459041999998135,0.0024330420000069353,0.00231475000001069,0.0022402090000070984,0.0021579590000158078,0.002025250000002643,0.001972125000008873,0.0018438749999916126,0.0017748749999952906,0.0017457079999871894,0.0016897920000076283,0.0015716249999968568,0.0014749579999886464,0.001396917000022313,0.0013369999999781612,0.0012606659999789827,0.001196165999999721,0.0010934579999855032,0.0009694170000216218,0.0008802080000123169,0.0007690420000017184,0.0006840000000067903,0.0005821249999939937,0.00048329200001262507,0.0004006249999974898,0.00029591700001674326,0.00019462500000599903,7.241700001259233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042410793000073
6,0.0025860419999901296,0.002534292000007099,0.0024585419999993974,0.0023605410000016036,0.0022742920000098366,0.0022149170000034246,0.0021736249999833035,0.0020420419999993555,0.001985832999991999,0.0018645000000105938,0.0018065000000149212,0.00176433300001122,0.0016772090000074513,0.001640459000014971,0.0015703750000000127,0.001483583000009503,0.0014396249999890642,0.0013268749999895135,0.001218249999993759,0.0011172499999929641,0.0010205420000204413,0.0009444590000100561,0.0008310000000051332,0.00071129100001599,0.0006240829999910602,0.0005077919999791902,0.000388874999998734,0.0003095829999892885,0.0001918330000023616,6.770799998889743e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043136251000021275
7,0.0025707920000002105,0.002535750000021153,0.0024267089999909786,0.002384208999984594,0.002312708000005159,0.002232499999990978,0.00216583299999229,0.0020889999999837983,0.0020665419999943424,0.0019762080000020887,0.0018829170000174145,0.0017915420000065296,0.0016928750000033688,0.0016051249999975425,0.001528790999998364,0.0013915000000110922,0.0013056669999969017,0.0012704590000112148,0.0011798339999984364,0.0010694590000071003,0.0010367909999899894,0.000924209000004339,0.0008326669999974001,0.0007391249999955107,0.0006361249999997654,0.0005536669999912647,0.00047108300000786585,0.0003253750000169475,0.00019708400000695292,7.558300001164753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04327012900003524
8,0.002575124999992795,0.0024964590000138287,0.0024461670000164304,0.002375707999988208,0.0023153749999949014,0.002211999999985892,0.002129500000023654,0.0020847090000017943,0.00198341699999105,0.0018977080000013302,0.0018107079999936104,0.0017177080000010392,0.0016712499999869124,0.0016098750000139717,0.0015119580000089172,0.0014169999999751326,0.0013423750000072232,0.001252207999982602,0.0011838750000094933,0.0011259580000171354,0.0010820830000000115,0.0009428749999926822,0.0007990000000006603,0.0007232499999929587,0.0006001669999875503,0.0004615000000001146,0.00034666700000229866,0.00025620900001399605,0.00017170799998211805,5.274999998050589e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04259529199995882
9,0.0025525830000106,0.0024664169999937258,0.0024214159999758067,0.002356416999987232,0.0022823749999929532,0.0022206659999994827,0.0021553340000082244,0.0020515000000216332,0.001995958999998493,0.0018845840000096814,0.0017742500000110795,0.0017111250000141354,0.0016645419999861133,0.0016472499999906631,0.0015821669999809274,0.001432582999996157,0.0013480409999999665,0.0012564590000181397,0.001157709000011664,0.0010744590000228982,0.0009670419999849855,0.0009055419999981495,0.0008007079999856614,0.0007071249999910378,0.0005827499999782049,0.00048670799998262737,0.0004048750000151813,0.00028016699999966477,0.00016700000000469117,6.862499998305793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04240637799995284
10,0.0026205830000094466,0.002458458000006658,0.0023849170000005415,0.002332542000004878,0.00228316700000164,0.002215332999981001,0.0020866250000040054,0.002033457999999655,0.0018634589999919626,0.0018112500000029286,0.0017116249999844513,0.0016942090000213739,0.0016611249999982647,0.0015638750000164237,0.0014999169999896367,0.0013802919999932328,0.0013717079999935322,0.0012629580000123042,0.0011651670000105696,0.0010784579999949528,0.0009894169999995484,0.0008796669999924234,0.0007920420000004924,0.0007186660000115808,0.0005899589999955879,0.0005027500000096552,0.00039266699999984667,0.00028512500000488217,0.00018208299999855626,5.7499999996935e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04186900200002697
