Contains move time for player Greedy; opponent is Dynamic_Roxanne
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0025383750000003147,0.0024464589999997344,0.0024371670000000734,0.002398750000000227,0.0023049580000007452,0.00227574999999991,0.0021626250000004177,0.0020543330000002413,0.0019381250000005679,0.0018395839999998387,0.001741625000000191,0.0016459170000002743,0.0015792079999998876,0.0014865409999993418,0.001440083000000314,0.0013325000000001808,0.0012488749999999271,0.0012090000000002377,0.0010957910000000126,0.001055917000000406,0.0009513329999997211,0.0009050830000001397,0.0008214999999998085,0.000701957999999614,0.0005796250000003056,0.0004766670000000417,0.0003867079999997358,0.0002691659999998208,0.00017362500000039915,7.054200000045086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04156779000000288
2,0.0025204169999994974,0.0024405410000003513,0.0024451670000003034,0.0023547920000002165,0.0022742090000003046,0.002289625000000406,0.0021133330000004946,0.0019801670000001437,0.0019612499999999145,0.0017996670000002268,0.0017241249999999653,0.0016539590000004267,0.0015833339999993257,0.0014824589999999915,0.001437875000000588,0.0013814170000001624,0.0012872079999999286,0.0012101250000000618,0.001107417000000055,0.001029292000000126,0.000911582999999716,0.0008293340000005145,0.0008140409999999321,0.0007125419999995941,0.0006217089999998038,0.0005070419999997355,0.00039891700000005414,0.0002707090000004797,0.0001813750000003722,6.966699999999548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04139329800000269
3,0.0026120409999998984,0.002571500000000171,0.0025504999999999,0.0024381659999992422,0.0025046670000001825,0.0021400839999996535,0.00207145899999972,0.001998084000000233,0.0018723329999996707,0.0018851669999992993,0.0017285000000004658,0.001712083000000142,0.0016039580000004605,0.0015178340000003843,0.0014397090000004553,0.001418666999999374,0.0013095419999995528,0.0012167499999993225,0.0011145419999998296,0.0009894169999995484,0.0008886249999999762,0.0007821659999995845,0.0006924999999995407,0.00061166700000026,0.0005081250000005255,0.00039487499999957265,0.00038333300000026327,0.0002845420000001653,0.00018995799999999008,0.0001676249999995605,5.2207999999609456e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041650626999996554
4,0.002504041999999984,0.0025276669999998447,0.0023733330000004216,0.002342833000000155,0.0022319170000004718,0.0022169999999999135,0.0021133330000004946,0.0020080839999998545,0.0018352090000002264,0.001785707999999886,0.0017007079999995511,0.0016985409999996648,0.0015471250000000936,0.0014348330000002463,0.0013285830000002719,0.001353625000000136,0.0013090000000000046,0.001267417000000215,0.0011450829999999357,0.0010052089999996738,0.0009329170000000886,0.0008234160000002433,0.000753291999999739,0.0006732079999993701,0.0006066660000003665,0.0005172500000005797,0.00041124999999997414,0.000299166999999656,0.00021200000000032304,0.00012141599999981878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041079832000001204
5,0.0025092919999991636,0.0024397079999998184,0.0024711249999995744,0.0023436659999998,0.002293292000000058,0.002183083000000252,0.0020697499999995372,0.001978166999999864,0.001899916000000168,0.0018203330000003959,0.0017690410000001933,0.0016953330000006872,0.001609124999999878,0.0014997079999998775,0.0014106250000001097,0.0013276669999999768,0.0012404999999997557,0.001149542000000281,0.0011466250000005118,0.0010983749999997627,0.0010192500000005822,0.0009044170000001017,0.0007918330000000751,0.0006939580000002721,0.0006074159999993611,0.000505291999999713,0.0003774579999999972,0.00031029099999990706,0.00016624999999947931,6.587500000065916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04139691299999981
6,0.0025761669999999626,0.00248233299999967,0.0024039999999994066,0.0023332500000003975,0.002238458000000776,0.0021535000000003635,0.0021373329999994084,0.0020556249999996723,0.001896374999999395,0.0018147079999994986,0.001715500000000425,0.001595167000000508,0.0015708749999996385,0.0015347089999995234,0.0014447500000001057,0.001350291000000503,0.0012663330000002304,0.0011680419999997582,0.0011636660000000631,0.0010421249999996718,0.0009596670000000529,0.0008677080000003556,0.000771499999999925,0.0006444999999999368,0.0005758330000000811,0.00046441699999988373,0.0003800830000004751,0.0002570830000001578,0.00017349999999982657,5.679100000044457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04109428900000012
7,0.00252054200000007,0.0024571660000001216,0.002404958000000512,0.0023773330000000925,0.002333375000000082,0.0022030419999996553,0.0021062920000005647,0.0019657500000000994,0.001876792000000016,0.0018323329999994087,0.001699582999999727,0.001650999999999847,0.0015444159999997709,0.0014906659999995853,0.0014780829999994083,0.0014080840000003647,0.0013057089999994886,0.001206834000000434,0.001083417000000253,0.0010006249999996442,0.0009327910000003214,0.0008362090000000322,0.0007202079999997224,0.0006057919999999939,0.0005160410000000226,0.0004481670000000548,0.00035699999999927456,0.000258207999999982,0.0001608750000006154,5.80420000000359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408393329999992
8,0.0025142919999998625,0.0024758750000000163,0.0024346250000002456,0.0023202500000003567,0.0022720840000003406,0.002163417000000223,0.0020549170000006,0.0019882909999999754,0.0019078749999996703,0.0018711250000000845,0.0017862500000003223,0.0016284159999999659,0.0015513750000000215,0.0014542920000000237,0.0013977919999996757,0.0013545000000005913,0.0013136659999997136,0.0012559579999997794,0.0011359579999998815,0.0010272919999998464,0.0009503750000003919,0.0008530420000001371,0.0007594590000001844,0.000666708000000682,0.0005515830000000221,0.0004590420000001316,0.0003449590000004221,0.00024287500000053086,0.00015508400000019407,6.47499999999468e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04095612700000384
9,0.0025332919999998538,0.002452292000000078,0.0024999169999997406,0.002422832999999791,0.0023205000000006137,0.0022816660000000155,0.0022759580000002444,0.002096041999999798,0.0019852499999997164,0.001985916999999837,0.0019132079999995,0.0018667079999996616,0.0016702500000000953,0.0015963340000002546,0.001542416999999574,0.001498499999999403,0.0014181669999997482,0.001319915999999921,0.0011930420000005881,0.0010747919999998246,0.000953041999999904,0.0008542499999997233,0.000772083000000201,0.000731416999999901,0.0006218330000002936,0.0005630409999994868,0.00040329200000055465,0.0002900000000005676,0.0001912920000002316,6.883300000026793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04339608399999939
10,0.0025182500000004993,0.0024641250000003723,0.0024471249999997724,0.0023626249999999516,0.0024087499999998485,0.0023657919999999777,0.0023095000000008525,0.0020298329999999254,0.0019548750000000226,0.001832165999999802,0.0017831250000002186,0.0016919999999993607,0.0016225829999996222,0.0016255000000002795,0.0014764999999998807,0.0013360840000000707,0.0012442919999999802,0.0011509589999993963,0.0011217910000000941,0.0010849159999999358,0.000989957999999902,0.0009039589999995101,0.0008014169999999154,0.0007228329999993122,0.000559749999999859,0.0005020000000000024,0.0003805000000003389,0.0002643329999996169,0.000170625000000868,7.045800000060609e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042196623999999794
