Contains move time for player Roxanne; opponent is Gambler
Colums refer to move number, rows to game number
game,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,total
1,0.0026601659999982985,0.0025208330000054957,0.0024495830000148544,0.00243716699998231,0.002395500000005768,0.0023459160000243173,0.00230404200001999,0.002183042000012847,0.0021320829999922353,0.002072958000013614,0.0020073750000051405,0.0018992919999902824,0.0017702090000000226,0.001699708000018063,0.0015970409999965796,0.0015610410000022057,0.0014241249999997763,0.0013675830000181577,0.00125274999999192,0.0011727920000055292,0.0010440840000001117,0.0009559159999810163,0.0008917079999832822,0.0007787499999949432,0.0006581669999832229,0.0005838329999789948,0.00046995799999649535,0.00035654199999157754,0.0002977919999977985,0.00019079200001215213,7.062499997800842e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04555137299999501
2,0.0026626659999919866,0.0026532910000014454,0.0025502080000023852,0.0024874160000081247,0.0023677920000011454,0.00230795799998873,0.002200250000015558,0.002138999999999669,0.002065333999979657,0.0019920830000046408,0.001906208999997716,0.0018285419999983787,0.0017032910000125412,0.001554707999986249,0.0015003330000240567,0.0014443340000127591,0.0013599170000020422,0.001279834000001756,0.0011942090000047756,0.0010773749999941629,0.0010202910000032261,0.0009696250000104101,0.0008582500000215987,0.0007678339999870332,0.0006440420000046743,0.000539833000004819,0.00041274999998108797,0.00032616699999721277,0.00021945800000366944,9.895799999526389e-05,6.691600000863218e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04419887400004541
3,0.002636583000025894,0.00254920800000491,0.0025176670000064405,0.002483791000003066,0.0024549999999976535,0.002338541000000305,0.002293333000011444,0.002195375000013655,0.0021357500000078744,0.0020988329999909183,0.001962125000005699,0.0019041250000100263,0.0017448340000214557,0.0017188340000018343,0.0016207089999795699,0.0014964169999984733,0.0014356659999918975,0.0013715830000080587,0.0012791249999963838,0.0011818749999861211,0.0010406669999838414,0.0009809999999959018,0.0008734580000009373,0.0007570420000035938,0.0006552080000119531,0.0005472499999825686,0.0004268330000058995,0.00031845899999893845,0.00023325000000795626,0.00011908300001550742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04537162400006878
4,0.002657333000001927,0.0025836249999997563,0.002511832999999797,0.002445332999997163,0.0024102499999969496,0.0022942080000234455,0.002242584000015313,0.0021713330000068254,0.0020745840000131466,0.0020128329999806738,0.0019263749999822721,0.0018929999999954816,0.0018029579999847556,0.0017065840000043409,0.0016289579999977377,0.0015305000000012114,0.0014245420000236209,0.0012817920000145477,0.0012370420000138438,0.001177041999994799,0.0011108749999948486,0.0009551670000007562,0.0008802499999944757,0.0007963330000109181,0.0006669999999928677,0.0005710829999827638,0.0004389170000251852,0.0003429159999939202,0.00024633300000687086,0.00018449999998892963,7.241700001259233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045278500000051736
5,0.002640582999987373,0.0025735419999932674,0.002510749999999007,0.002469208999997363,0.0023999590000016724,0.0023365410000053544,0.0022780840000109492,0.0021671659999924486,0.0021325409999803924,0.00205762500002038,0.001958583000003955,0.0018469999999979336,0.0018491669999889382,0.0017594169999881615,0.0016588750000039454,0.0015620419999891055,0.0014784169999870755,0.0014157909999994445,0.0012805829999820162,0.0011266250000119271,0.001071708000011995,0.0009608329999934995,0.0008600000000171804,0.0007291249999923366,0.000622958999997536,0.0005677500000160762,0.0004441250000013497,0.0003339579999988018,0.00023375000000669388,0.00012383399999293943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545054199996912
6,0.0026407919999940077,0.0025543330000061815,0.002484624999993912,0.002463250000005246,0.002414458999993485,0.002323915999994597,0.002277750000018841,0.0021737499999971988,0.0021542920000001686,0.002129457999984652,0.0020140830000059395,0.0019327500000088094,0.0018401250000010805,0.0017217920000121012,0.0015650830000026872,0.0014700419999940095,0.0013584999999807224,0.0013234999999838237,0.0012164159999770163,0.0011553750000246055,0.0010046669999894675,0.0009380829999940943,0.0008443749999855754,0.0007327500000258169,0.0006617079999955422,0.0005490839999993113,0.00040295900001297014,0.00034304199999724005,0.0002355830000055903,0.00012462499998378007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04505116699996847
7,0.0026463330000012775,0.0025677909999899384,0.0024982089999809887,0.0024452080000116894,0.0023927080000021306,0.0023351669999840396,0.0022249170000065988,0.0021893329999898015,0.002133292000024767,0.002007208999998511,0.001978334000000359,0.0019203749999974207,0.0018349169999964943,0.0017352079999852776,0.0016465829999958714,0.0015642919999834248,0.0015032919999953265,0.0013792919999957576,0.0013098329999934322,0.0012007089999883647,0.0010960000000181935,0.0009404999999844676,0.0008724160000213033,0.0007826249999993706,0.0006156250000231012,0.0005404999999996107,0.00043325000001459557,0.0003262080000183687,0.000235375000016802,0.00013066600001820916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04548616700003549
8,0.0026456250000137516,0.0025732500000117398,0.0025189579999960188,0.0024675000000229375,0.002447125000003325,0.0023329580000108763,0.002213291000003892,0.002229459000005818,0.0021026250000204527,0.002051708999999846,0.0019749170000125105,0.0018983340000033877,0.001811624999987771,0.0016814580000072965,0.00164695899999856,0.0015667499999949541,0.0014776670000173908,0.0013634579999859398,0.0013025410000011561,0.0011590840000224034,0.0010379999999940992,0.0009585829999991802,0.0008324999999729243,0.0008630840000023454,0.0006363749999991342,0.0005363340000030803,0.0004652920000012273,0.0003444999999828724,0.00023049999998647763,0.00013049999998315798,7.254100000864128e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04557350200005317
9,0.0026075409999748445,0.002522666000004392,0.0025010419999773603,0.0024460829999952693,0.002376958000013474,0.0023324580000121387,0.0022334590000241406,0.002150416999995741,0.00207149999999956,0.0019891669999765327,0.001884374999974625,0.001792917000017269,0.0017321249999895372,0.0016070420000176,0.001529750000003105,0.0014323329999967882,0.001333875000000262,0.0013036250000197924,0.0012212919999967653,0.0010915000000011332,0.0010037080000131482,0.0009058329999902526,0.0008334169999955066,0.0007554999999968004,0.0006607910000013817,0.0005414169999937712,0.0004556250000007367,0.00032729199998016156,0.00025554200001920435,0.000140250000015385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04403949999999668
10,0.002654750000004924,0.0025430830000061633,0.0024481250000008004,0.002427500000010241,0.0023807499999861648,0.0023080830000026253,0.002226541999988285,0.0021800419999919995,0.0021453330000156257,0.0020955420000063896,0.0020354160000124466,0.0018927499999961128,0.0018045829999948637,0.001675083000009181,0.001587625000013304,0.0014780410000128086,0.0013718749999895863,0.0012894169999810856,0.0012199170000144477,0.0011214159999894946,0.0010513339999818072,0.0009317909999992935,0.000889833000002227,0.0007650000000012369,0.000646249999988413,0.0005242910000049505,0.000419166999989784,0.0003108749999967131,0.0002320000000111122,0.00013308399999800713,7.345899999222638e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04486295699999232
11,0.002674208000001954,0.0025822919999995975,0.0025070000000084747,0.0024116669999898477,0.002394667000004347,0.0023403329999780453,0.0022723330000076203,0.002220125000008011,0.0021483329999796297,0.0020773749999989377,0.001981916999994837,0.0018603750000067976,0.0017709169999875485,0.0016678750000096443,0.0015978749999874253,0.0014984170000218455,0.0014131249999991269,0.0012922499999774573,0.0011932090000073003,0.0011006249999923057,0.000986416999978701,0.0009475829999985308,0.0008128329999976813,0.0007281249999948614,0.0006102920000046197,0.0005207499999926313,0.0004204999999899428,0.00031512499998598287,0.00020241699999701268,0.00010083399999416542,7.212499997422128e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044721918999869104
